i	token	mention	gold
78737	Dreizehntes		
78738	Kapitel		
78739	Völlig		(mention_id=10200|references=(entity=(entity_id=generic_1070|fullname=Einander fremde und gleichgültige Menschen|gender=u|specialcase_entity=generic)))
78740	fremde		(mention_id=10201|references=(entity=(entity_id=generic_1071|fullname=Einander fremde und gleichgültige Menschen|gender=u|specialcase_entity=generic)))
78741	und		
78742	gegeneinander		
78743	gleichgültige		
78744	Menschen	10289	(mention_id=10202|references=(entity=(entity_id=generic_1072|fullname=Einander fremde und gleichgültige Menschen|gender=u|specialcase_entity=generic)))
78745	,		
78746	wenn		
78747	sie	10290	(mention_id=10203|references=(entity=(entity_id=generic_1073|fullname=Einander fremde und gleichgültige Menschen|gender=u|specialcase_entity=generic)))
78748	eine		
78749	Zeitlang		
78750	zusammenleben		
78751	,		
78752	kehren		
78753	ihr	10291	(mention_id=10204|references=(entity=(entity_id=generic_1074|fullname=Einander fremde und gleichgültige Menschen|gender=u|specialcase_entity=generic)))
78754	Inneres		
78755	wechselseitig		
78756	heraus		
78757	,		
78758	und		
78759	es		
78760	muß		
78761	eine		
78762	gewisse		
78763	Vertraulichkeit		
78764	entstehen		
78765	.		
78766	Um		
78767	so		
78768	mehr		
78769	läßt		
78770	sich		
78771	erwarten		
78772	,		
78773	daß		
78774	unsern	10292	(mention_id=10205|references=(entity=(entity_id=entity_0195|fullname=Leser|gender=u)),(entity=(entity_id=entity_0016|fullname=Erzählinstanz|gender=u)))
78775	beiden		
78776	Freunden	10293	(mention_id=10206|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78777	,		
78778	indem		
78779	sie	10294	(mention_id=10207|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78780	wieder		
78781	nebeneinander		
78782	wohnten		
78783	,		
78784	täglich		
78785	und		
78786	stündlich		
78787	zusammen		
78788	umgingen		
78789	,		
78790	gegenseitig		
78791	nichts		
78792	verborgen		
78793	blieb		
78794	.		
78795	Sie	10295	(mention_id=10208|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78796	wiederholten		
78797	das		
78798	Andenken		
78799	ihrer	10296	(mention_id=10209|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78800	früheren		
78801	Zustände		
78802	,		
78803	und		
78804	der		
78805	Major	10297	(mention_id=10210|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78806	verhehlte		
78807	nicht		
78808	,		
78809	daß		
78810	Charlotte	10298	(mention_id=10211|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
78811	Eduarden	10299	(mention_id=10212|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78812	,		
78813	als		
78814	er	10300	(mention_id=10213|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78815	von		
78816	Reisen		
78817	zurückgekommen		
78818	,		
78819	Ottilien	10301	(mention_id=10214|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
78820	zugedacht		
78821	,		
78822	daß		
78823	sie	10302	(mention_id=10215|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
78824	ihm	10303	(mention_id=10216|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78825	das		
78826	schöne		
78827	Kind	10304	(mention_id=10217|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
78828	in		
78829	der		
78830	Folge		
78831	zu		
78832	vermählen		
78833	gemeint		
78834	habe		
78835	.		
78836	Eduard	10305	(mention_id=10218|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78837	,		
78838	bis		
78839	zur		
78840	Verwirrung		
78841	entzückt		
78842	über		
78843	diese		
78844	Entdeckung		
78845	,		
78846	sprach		
78847	ohne		
78848	Rückhalt		
78849	von		
78850	der		
78851	gegenseitigen		
78852	Neigung		
78853	Charlottens	10306	(mention_id=10219|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
78854	und		
78855	des		
78856	Majors	10307	(mention_id=10220|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78857	,		
78858	die		
78859	er	10308	(mention_id=10221|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78860	,		
78861	weil		
78862	es		
78863	ihm	10309	(mention_id=10222|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78864	gerade		
78865	bequem		
78866	und		
78867	günstig		
78868	war		
78869	,		
78870	mit		
78871	lebhaften		
78872	Farben		
78873	ausmalte		
78874	.		
78875	Ganz		
78876	leugnen		
78877	konnte		
78878	der		
78879	Major	10310	(mention_id=10223|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78880	nicht		
78881	und		
78882	nicht		
78883	ganz		
78884	eingestehen		
78885	;		
78886	aber		
78887	Eduard	10311	(mention_id=10224|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78888	befestigte		
78889	,		
78890	bestimmte		
78891	sich	10312	(mention_id=10225|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78892	nur		
78893	mehr		
78894	.		
78895	Er	10313	(mention_id=10226|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78896	dachte		
78897	sich	10314	(mention_id=10227|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78898	alles		
78899	nicht		
78900	als		
78901	möglich		
78902	,		
78903	sondern		
78904	als		
78905	schon		
78906	geschehen		
78907	.		
78908	Alle		
78909	Teile	10315	(mention_id=10228|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)),(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78910	brauchten		
78911	nur		
78912	in		
78913	das		
78914	zu		
78915	willigen		
78916	,		
78917	was		
78918	sie	10316	(mention_id=10229|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)),(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78919	wünschten		
78920	;		
78921	eine		
78922	Scheidung		
78923	war		
78924	gewiß		
78925	zu		
78926	erlangen		
78927	;		
78928	eine		
78929	baldige		
78930	Verbindung		
78931	sollte		
78932	folgen		
78933	,		
78934	und		
78935	Eduard	10317	(mention_id=10230|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78936	wollte		
78937	mit		
78938	Ottilien	10318	(mention_id=10231|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
78939	reisen		
78940	.		
78941	Unter		
78942	allem		
78943	,		
78944	was		
78945	die		
78946	Einbildungskraft		
78947	sich		
78948	Angenehmes		
78949	ausmalt		
78950	,		
78951	ist		
78952	vielleicht		
78953	nichts		
78954	Reizenderes		
78955	,		
78956	als		
78957	wenn		
78958	Liebende	10319	(mention_id=10232|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=generic_1075|fullname=Liebende allgemein|gender=u|specialcase_entity=generic)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
78959	,		
78960	wenn		
78961	junge		
78962	Gatten	10320	(mention_id=10233|references=(entity=(entity_id=generic_1076|fullname=junge Gatten|gender=u|specialcase_entity=generic)))
78963	ihr	10321	(mention_id=10234|references=(entity=(entity_id=generic_1077|fullname=junge Gatten|gender=u|specialcase_entity=generic)))
78964	neues		
78965	,		
78966	frisches		
78967	Verhältnis		
78968	in		
78969	einer		
78970	neuen		
78971	,		
78972	frischen		
