ID_general;fullname;gender;possible_identity;members;members_names;specialcase;borderline;comment_entity;ID_chapter_2;ID_chapter_3;ID_chapter_4;ID_chapter_5;ID_chapter_6;ID_chapter_7;ID_chapter_8;ID_chapter_9;ID_chapter_10;ID_chapter_11;ID_chapter_12;ID_chapter_13;ID_chapter_14;ID_chapter_15;ID_chapter_16;ID_chapter_17;ID_chapter_18;ID_chapter_19;ID_chapter_20;ID_chapter_21;ID_chapter_22;ID_chapter_23;ID_chapter_24;ID_chapter_25;ID_chapter_26
entity_0001;Christoph Armbruster;m;;;;;;;Christoph Armbruster;Christoph;Christoph Armbruster;Ammeries Vater;Ammeries Vater;Ammeries Vater;Christoph Armbruster;Christoph Armbruster;Christoph Armbruster;Ammeries Vater;Christoph;Christoph Armbruster;Christoph Armbruster;Christoph Armbruster;Christoph Armbruster;Christoph;Christoph Armbruster;Christoph Armbruster;Christoph Armbruster;Christoph Armbruster;Bürgermeister;Bürgermeister Armbruster;Christoph;;
entity_0002;Gontrud Hegewald;f;;;;;;;Gontrud Hegewald;Trudi;Trudi;Trudi;Trudi;Trudi;Trudi;Trudi;Trudi;Trudi ;Trudi;Trudi;Trudi;Trudi;Trudi Armbruster;Trudi;Trudi ;Trudi ;Trudi ;Trudi;Trudi;Trudi;Trudi;Trudi;
entity_0003;Magdalene Armbruster;f;;;;;;;Madlen Armbruster;Madlen ;Madlen;Madlen;Ammeries Mutter;Madlen;Madlen;;Madlen;Ammeries Mutter;Madlen;Madlen;;Madlen;Frau Armbruster;Madlen;Madlen Armbruster;Madlen;Madlen;Madlen;;;Madlen;Madlen;
entity_0004;Ammerie Armbruster;f;;;;;;;Ammerie;Ammerie;Ammerie;Ammerie;Ammerie;Ammerie;;;Ammerie;Ammerie;Ammerie;;;Ammerie;Ammerie;Ammerie;Ammerie Armbruster;Ammerie;Ammerie;Ammerie;Ammerie;;Ammerie;Ammerie;
entity_0005;Peter Armbruster;m;;;;;;;Peter Armbruster;;Peter Armbruster;;;;;;;;;;;Peter;;;Peter Armbruster;Peter;;Peter;Peter;Peter Armbruster;Peter Armbruster;;
entity_0006;Kaspar;m;;;;;;;Kaspar;Kaschper;Schneckenkaschper;;Schneckenkaschper;Schneckenkaschper;Kaspar;Kaschper;Kaspar;Kaschper;Kaspar;Schneckenkaschper;Kaspar;Schneckenkaschper;;;Kaspar;Kaspar;Kaspar;Kaspar;Kaspar;Schneckenkaschper;Kaspar;Kaspar;
entity_0007;Familie Armbruster;mf;;entity_0001,entity_0003,entity_0004,entity_0005,entity_0008,entity_0016,entity_0017;"Christoph Armbruster;Madlen Armbruster;Peter Armbruster;Ammerie Armbruster;Elsbeth Armbruster;Jüngerer Enkel von Christoph Armbruster;Älterer Enkel von Christoph Armbruster";group;;;Familie Armbruster;Familie Armbruster;Familie Armbruster;Familie Armbruster;Familie Armbruster;Familie Armbruster;Familie Armbruster;;Christoph Armbrusters Familie;Familie Armbruster;Familie Armbruster;;Familie Armbruster;Familie Armbruster;Familie Armbruster;Familie Armbruster;Familie Armbruster;Familie Armbruster;;Familie Armbruster;Familie Armbruster;;Familie Armbruster;Familie Armbruster;
entity_0008;Elsbeth Armbruster;f;;;;;;;Elsbeth;Elsbeth;Elsbeth;;;;;;;;Elsbeth;;;;;;Elsbeth;Elsbeth;;Elsbeth;;;Elsbeth;;
entity_0009;Franz Gersbacher;m;;;;;;;;;Franz;Franz Gersbacher;Franz Gersbacher;Franz;Franz;Franz Gersbacher;Franz;Franz;Franz;Franz;Franz Gersbacher;Franz Gersbacher;Franz Gersbacher;Franz;Franz Gersbacher;Franz;Franz Gersbacher;Franz;Franz;Franz;Franz;Christoph;
entity_0010;Steffen Gersbacher;m;;;;;;;;;Steffen;;Steffen Gersbacher;Steffen;;Steffen Gersbacher;;;Steffen;;;;;;Steffen Gersbacher;;;Steffen;Steffen;Steffen;Steffen;Steffen;
entity_0011;Agnete Gersbacher;f;;;;;;;;;Frau Gersbacher;;;Agnete;;Agnete Gersbacher;Franz' Mutter;;Frau Agnete;;;Agnete Gersbacher;Frau Gersbacher;Agnete Gersbacher;Agnete Gersbacher;;;;;Agnete;;Agnete;
entity_0012;Florian Gersbacher;m;;;;;;;Florian Gersbacher;;Florian Gersbacher;Gersbacher;Florian Gersbacher;Gersbacher;;Gersbacher (Vater);Florian Gersbacher;Gersbacher;Florian Gersbacher;;;Florian Gersbacher;Florian Gersbacher;Florian Gersbacher;Florian Gersbacher;;Florian Gersbacher;;;Florian Gersbacher;Florian Gersbacher;Florian Gersbacher;
entity_0013;Familie Gersbacher;mf;;entity_0009,entity_0010,entity_0011,entity_0012;Floran Gersbacher,Agnete Gersbacher,Steffen Gersbacher,Franz Gersbacher;group;;;;;Familie Gersbacher;Familie Gersbacher;Familie Gersbacher;Familie Gersbacher;;Familie Gersbacher;Familie Gersbacher;Familie Gersbacher;Familie Gersbacher;;;Familie Gersbacher;Familie Gersbacher;;;;;Familie Gersbacher;Familie Gersbacher;;Familie Gersbacher;Familie Gersbacher;
entity_0014;Lutz Hebenstreit;m;;;;;;;Lutz Hebenstreit;;Lutz Hebenstreit;;;Lutz;;;;;;Lutz Hebenstreit;Lutz Hebenstreit;Lutz Hebenstreit;;Lutz Hebenstreit;Lutz Hebenstreit;;Lutz;;;Lutz Hebenstreit;Lutz Hebenstreit;Lutz Hebenstreit;
entity_0015;Hammichel von Gimmeldingen;m;;;;;;;Großvater von Kaspar;;;;Hammichel;Hammichel;Hammichel von Gimmeldingen;Hammichel von Gimmeldingen;Hammichel;Hammichel;Hammichel;Hammichel;Hammichel;Hammichel;Hammichel;;Hammichel;Hammichel;Hammichel;Hammichel;Hammichel;Hammichel;;;
entity_0016;Älterer Enkel von Christoph Armbruster;m;;;;;;;Älterer Enkel von Christoph Armbruster;;;;;;;;;;;;;Christophs älterer Enkel;;;;;;;;;;;
entity_0017;Jüngerer Enkel von Christoph Armbruster;m;;;;;;;Jüngerer Enkel von Christoph Armbruster;;;;;;;;;;;;;Christophs jüngerer Enkel;;;;;;;;;;;
entity_0018;Reichsfreiherr Dietrich von Remchingen;m;;;;;;;Dietrich von Remchingen;Freiherr;;;;Reichsfreiherr;Dietrich von Remchingen;;;;Dieter von Remchingen;Dieter;Dieter von Remchingen;Freiherr;Dietrich von Remchingen;Freiherr von Remchingen;Reichsfreiherr;Dietrich von Remchingen;Dietrich von Remchingen;;;Dietrich von Remchingen;Freiherr von Remchingen;Freiherr von Remchingen;
entity_0019;Wachenheimer;mf;;entity_0007,entity_0013,entity_0026,entity_0014,x;"Lutz Hebenstreit;Florian Gersbacher;Pater Bumpus;Urschelx";group;;;Wachenheimer;Wachenheimer;Wachenheimer;;;Wachenheimer;;;;;Bewohner Wachenheims;Wachenheimer Bürger;Einwohner*innen von Wachenheim;Wachenheimer;Wachenheimer;Wachenheimer;Wachenheimer;Wachenheimer;Wachenheimer;;Wachenheimer;Einwohnerschaft Wachenheims;Stadtgemeinde;Wachenheimer;
entity_0020;Christophs Verbündete;mf;;entity_0014,entity_0042,x;Lutz Hebenstreit,ehrliche Weinbauern,x;group;;;;;;;;;;;;;;;Feinde von Hammichel;;;;gut gesinnte Wachenheimer;gut gesinnte Wachenheimer;;;Gegner Hammichels;ehrenwerte Bürgerschaft;;;
entity_0021;Christophs Gegner;mf;;entity_0015,entity_0043,x;Hammichel,Hammichels Weinbauern,x;group;;;Christophs Gegner;;;;;aufgehetzte Wachenheimer;;;;;;;Freunde von Hammichel;;;;Gegner des Bürgermeisters;;Feinde Armbrusters;;Parteigänger Hammichels;Mißvergnügte Einwohnerschaft Wachenheims;;;
