i	token	is_section_start	gold	pred
32690	Als	1		
32691	Moorfeld	0	(mention_id=3625|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=3594|references=(entity=(entity_id=18|fullname=Moorfeld|gender=m)))
32692	diesen	0		
32693	Zettel	0		
32694	las	0		
32695	,	0		
32696	mochte	0		
32697	er	0	(mention_id=3626|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=3595|references=(entity=(entity_id=18|fullname=Moorfeld|gender=m)))
32698	sich	0	(mention_id=3627|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=3596|references=(entity=(entity_id=18|fullname=Moorfeld|gender=m)))
32699	wohl	0		
32700	,	0		
32701	wie	0		
32702	jeder	0		
32703	Gebildete	0		(mention_id=3597|references=(entity=(entity_id=generic_0001|fullname=Gebildete im Allgemeinen|gender=u|specialcase_entity=generic)))
32704	gethan	0		
32705	hätte	0		
32706	,	0		
32707	vorstellen	0		
32708	,	0		
32709	daß	0		
32710	damit	0		
32711	ein	0		
32712	anderes	0		
32713	,	0		
32714	als	0		
32715	das	0		
32716	Publikum	0	(mention_id=3628|references=(entity=(entity_id=generic_2838|fullname=gebildetes Publikum|gender=u|specialcase_entity=generic)))	(mention_id=3598|references=(entity=(entity_id=25|fullname=das Publikum|gender=u|specialcase_entity=group)))
32717	seiner	0	(mention_id=3629|references=(entity=(entity_id=generic_2789|fullname=Publikum im Theater|gender=u|specialcase_entity=generic)))	(mention_id=3599|references=(entity=(entity_id=25|fullname=das Publikum|gender=u|specialcase_entity=group)))
32718	Farbe	0		
32719	in's	0		
32720	Auge	0		
32721	gefaßt	0		
32722	sei	0		
32723	.	0		
32724	Das	0		
32725	aber	0		
32726	ist	0		
32727	die	0		
32728	feine	0		
32729	Menschenkenntniß	0		
32730	des	0		
32731	Marktbudenstyls	0		(mention_id=3600|references=(entity=(entity_id=24|fullname=Verfasser des Marktbudenstyls|gender=m|specialcase_entity=nonfact)))
32732	,	0		
32733	daß	0		
32734	er	0		(mention_id=3601|references=(entity=(entity_id=24|fullname=Verfasser des Marktbudenstyls|gender=m|specialcase_entity=nonfact)))
32735	mit	0		
32736	pfiffiger	0		
32737	Barbarei	0		
32738	scheinbar	0		
32739	an	0		
32740	die	0		
