i	token	is_section_start	gold	pred
28011	7.	1		
28012	Und	0		
28013	der	0		
28014	Hochzeitstag	0		
28015	kam	0		
28016	.	0		
28017	Anders	0		
28018	wie	0		
28019	sonst	0		
28020	ein	0		
28021	solches	0		
28022	Freudenfest	0		
28023	hub	0		
28024	er	0		
28025	an	0		
28026	.	0		
28027	Es	0		
28028	war	0		
28029	unheimlich	0		
28030	still	0		
28031	in	0		
28032	dem	0		
28033	Hause	0		
28034	,	0		
28035	das	0		
28036	noch	0		
28037	in	0		
28038	tiefster	0		
28039	Trauer	0		
28040	stand	0		
28041	.	0		
28042	Die	0		
28043	Zimmerflucht	0		
28044	hatte	0		
28045	man	0		
28046	geöffnet	0		
28047	und	0		
28048	erwärmt	0		
28049	und	0		
28050	über	0		
28051	Trudchens	0	(mention_id=4015|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=4015|references=(entity=(entity_id=26|fullname=Trudchen|gender=f)))
28052	Tür	0		
28053	hing	0		
28054	eine	0		
28055	Girlande	0		
28056	aus	0		
28057	ernstem	0		
28058	Tannengrün	0		
28059	.	0		
28060	Gestern	0		
28061	war	0		
28062	unermüdlich	0		
28063	die	0		
28064	Klingel	0		
28065	gezogen	0		
28066	worden	0		
28067	,	0		
28068	und	0		
28069	ein	0		
28070	kostbares	0		
28071	Geschenk	0		
28072	nach	0		
28073	dem	0		
28074	andern	0		
28075	eingetroffen	0		
28076	,	0		
28077	und	0		
28078	die	0		
28079	ganze	0		
28080	Pracht	0		
28081	an	0		
28082	schwerem	0		
28083	Silberzeug	0		
28084	,	0		
28085	Majoliken	0		
28086	,	0		
28087	Teppichen	0		
28088	und	0		
28089	anderen	0		
28090	kostbaren	0		
28091	Dingen	0		
28092	hatte	0		
28093	man	0		
28094	auf	0		
28095	eine	0		
28096	lange	0		
28097	Tafel	0		
28098	gestellt	0		
28099	im	0		
28100	Erkerzimmer	0		
28101	.	0		
28102	Ein	0		
28103	Gärtnerbursche	0	(mention_id=4016|references=(entity=(entity_id=entity_0208|fullname=Gärtnerbursche|gender=m)))	(mention_id=4016|references=(entity=(entity_id=12|fullname=Gärtnerbursche|gender=m)))
28104	hantierte	0		
28105	noch	0		
28106	leise	0		
28107	im	0		
28108	Saal	0		
28109	,	0		
28110	um	0		
28111	den	0		
28112	improvisierten	0		
28113	Altar	0		
28114	mit	0		
28115	Orangenbäumen	0		
28116	zu	0		
28117	dekorieren	0		
28118	.	0		
28119	Der	0		
28120	feine	0		
28121	Duft	0		
28122	von	0		
28123	Räucherwerk	0		
28124	schwebte	0		
28125	in	0		
28126	der	0		
28127	Luft	0		
28128	und	0		
28129	die	0		
28130	Flammen	0		
28131	des	0		
28132	Kamins	0		
28133	spiegelten	0		
28134	sich	0		
28135	in	0		
28136	den	0		
28137	Glasbehängen	0		
28138	des	0		
28139	Kronleuchters	0		
28140	und	0		
28141	dem	0		
28142	glänzenden	0		
28143	Parkett	0		
28144	des	0		
28145	Fußbodens	0		
28146	.	0		
28147	Draußen	0		
28148	aber	0		
28149	wehte	0		
28150	trügerische	0		
28151	,	0		
28152	weiche	0		
28153	Luft	0		
28154	.	0		
28155	Es	0		
28156	war	0		
28157	der	0		
28158	erste	0		
28159	März	0		
28160	.	0		
28161	Frau	0	(mention_id=4017|references=(entity=(entity_id=entity_0005|fullname=Ottilie Baumhagen|gender=f)))	(mention_id=4017|references=(entity=(entity_id=9|fullname=Frau Baumhagen|gender=f)))
28162	Baumhagen	0	(mention_id=4017|references=(entity=(entity_id=entity_0005|fullname=Ottilie Baumhagen|gender=f)))	(mention_id=4017|references=(entity=(entity_id=9|fullname=Frau Baumhagen|gender=f)))
28163	hatte	0		
28164	schon	0		
28165	seit	0		
28166	dem	0		
28167	Morgen	0		
28168	geweint	0		
28169	und	0		
28170	gestöhnt	0		
28171	,	0		
28172	und	0		
28173	zwischen	0		
28174	den	0		
28175	Anordnungen	0		
28176	für	0		
28177	die	0		
28178	Trauung	0		
28179	waren	0		
28180	Befehle	0		
28181	erlassen	0		
28182	,	0		
28183	die	0		
28184	Reise	0		
28185	betreffend	0		
28186	.	0		
28187	Die	0		
28188	großen	0		
28189	häuserartigen	0		
28190	Koffer	0		
28191	standen	0		
28192	fertig	0		
28193	gepackt	0		
28194	in	0		
28195	der	0		
28196	Garderobe	0		
28197	.	0		
28198	Übermorgen	0		
28199	sollte	0		
28200	es	0		
28201	fortgehen	0		
28202	;	0		
28203	zunächst	0		
28204	nach	0		
28205	Heidelberg	0		
28206	zu	0		
28207	einem	0		
28208	berühmten	0		
28209	Arzt	0	(mention_id=4018|references=(entity=(entity_id=entity_0209|fullname=berühmter Arzt|gender=m)))	(mention_id=4018|references=(entity=(entity_id=2|fullname=Arzt|gender=m|specialcase_entity=nonfact)))
28210	.	0		
28211	Um	0		
28212	Trudchens	0	(mention_id=4019|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=4019|references=(entity=(entity_id=26|fullname=Trudchen|gender=f)))
28213	Aussteuer	0		
28214	hatte	0		
28215	sich	0	(mention_id=4020|references=(entity=(entity_id=entity_0005|fullname=Ottilie Baumhagen|gender=f)))	(mention_id=4020|references=(entity=(entity_id=26|fullname=Trudchen|gender=f)))
28216	die	0		
28217	Mutter	0	(mention_id=4021|references=(entity=(entity_id=entity_0005|fullname=Ottilie Baumhagen|gender=f)))	(mention_id=4021|references=(entity=(entity_id=9|fullname=Frau Baumhagen|gender=f)))
28218	nicht	0		
28219	bekümmern	0		
28220	können	0		
28221	,	0		
28222	mochte	0		
28223	sie	0	(mention_id=4022|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=4022|references=(entity=(entity_id=26|fullname=Trudchen|gender=f)))
28224	sich	0	(mention_id=4023|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=4023|references=(entity=(entity_id=26|fullname=Trudchen|gender=f)))
28225	die	0		
28226	Einrichtung	0		
28227	selbst	0		
28228	aussuchen	0		
28229	.	0		
28230	Trudchens	0	(mention_id=4024|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=4024|references=(entity=(entity_id=26|fullname=Trudchen|gender=f)))
28231	Geschmack	0		
