i	token	mention	is_section_start	gold
85	Erstes		1	
86	Buch		0	
87	Erstes		0	
88	Kapitel		0	
89	Ich	11	0	(mention_id=12|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
90	war		0	
91	achtzehn		0	
92	Jahr		0	
93	alt		0	
94	,		0	
95	und		0	
96	die		0	
97	ganze		0	
98	Welt		0	
99	lag		0	
100	wie		0	
101	ein		0	
102	Paradies		0	
103	vor		0	
104	mir	12	0	(mention_id=13|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
105	.		0	
106	Meine	13	0	(mention_id=14|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
107	Familie		0	
108	,		0	
109	meine	14	0	(mention_id=15|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
110	Figur		0	
111	,		0	
112	mein	15	0	(mention_id=16|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
113	Vermögen		0	
114	,		0	
115	alles		0	
116	versprach		0	
117	mir	16	0	(mention_id=17|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
118	die		0	
119	glänzendsten		0	
120	Aussichten		0	
121	.		0	
122	Meine	17	0	(mention_id=18|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
123	Aeltern	18	0	(mention_id=19|references=(entity=(entity_id=entity_0017|fullname=Gustavs Eltern|gender=mf|specialcase_entity=group)))
124	waren		0	
125	sehr		0	
126	frühzeitig		0	
127	gestorben		0	
128	,		0	
129	und		0	
130	ich	19	0	(mention_id=20|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
131	wurde		0	
132	bey		0	
133	einer		0	
134	Tante	20	0	(mention_id=21|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
135	erzogen		0	
136	.		0	
137	Sie	21	0	(mention_id=22|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
138	war		0	
139	seit		0	
140	vielen		0	
141	Jahren		0	
142	Wittwe	22	0	(mention_id=23|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
143	und		0	
144	außerordentlich		0	
145	reich		0	
146	.		0	
147	Meine	23	0	(mention_id=24|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
148	Vormünder		0	(mention_id=25|references=(entity=(entity_id=entity_0015|fullname=Gustavs Vormünder|gender=m|specialcase_entity=group)))
149	hatten		0	
150	mich	24	0	(mention_id=26|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
151	ihr	25	0	(mention_id=27|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
152	gänzlich		0	
153	überlassen		0	
154	,		0	
155	und		0	
156	sie	26	0	(mention_id=28|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
157	machte		0	
158	ihren	27	0	(mention_id=29|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
159	Abgott	28	0	(mention_id=30|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
160	aus		0	
161	mir	29	0	(mention_id=31|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
162	.		0	
163	Meine	30	0	(mention_id=32|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
164	Figur		0	
165	war		0	
166	bezaubernd		0	
167	,		0	
168	und		0	
169	ich	31	0	(mention_id=33|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
170	floß		0	
171	von		0	
172	Gesundheit		0	
173	über		0	
174	.		0	
175	Ich	32	0	(mention_id=34|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
176	schien		0	
177	alle		0	
178	Reitze		0	
179	der		0	
180	Jugend		0	
181	und		0	
182	die		0	
183	ganze		0	
184	Kraft		0	
185	eines		0	
186	Mannes	33	0	(mention_id=35|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
187	zu		0	
188	haben		0	
189	.		0	
190	Aber		0	
191	mein	34	0	(mention_id=36|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
192	Temperament		0	
193	war		0	
194	noch		0	
195	unentwickelt		0	
196	,		0	
197	und		0	
198	ein		0	
199	rasches		0	
200	Pferd		0	
201	war		0	
202	mir	35	0	(mention_id=37|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
203	lieber		0	
204	,		0	
205	als		0	
206	alle		0	
207	Mädchen	36	0	(mention_id=38|references=(entity=(entity_id=generic_0131|fullname=generic_0010|gender=u|specialcase_entity=generic)))
208	in		0	
209	der		0	
210	Welt		0	
211	.		0	
212	Doch		0	
213	die		0	
214	Natur		0	
215	blieb		0	
216	ihrem		0	
217	Plane		0	
218	getreu		0	
219	,		0	
220	und		0	
221	mein	37	0	(mention_id=39|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
222	ganzes		0	
223	Wesen		0	
224	verwandelte		0	
225	sich		0	
226	.		0	
227	Ein		0	
228	neues		0	
229	Blut		0	
230	schien		0	
231	meine	38	0	(mention_id=40|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
232	Adern		0	
233	zu		0	
234	durchströhmen		0	
235	,		0	
236	ein		0	
237	neues		0	
238	Herz		0	
239	in		0	
240	meiner	39	0	(mention_id=41|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
241	Brust		0	
242	zu		0	
243	klopfen		0	
244	.		0	
245	Alle		0	
246	Bilder		0	
247	des		0	
248	Lebens		0	
249	schienen		0	
250	mir	40	0	(mention_id=42|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
251	gleichsam		0	
252	aus		0	
253	der		0	
254	Dämmerung		0	
255	hervorzutreten		0	
256	,		0	
257	und		0	
258	eine		0	
259	Menge		0	
260	unbekannter		0	
261	Empfindungen		0	
262	wachten		0	
263	plötzlich		0	
264	in		0	
265	meiner	41	0	(mention_id=43|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
266	Seele		0	
267	auf		0	
268	.		0	
269	Ohne		0	
270	zu		0	
271	wissen		0	
272	,		0	
273	was		0	
274	mir	42	0	(mention_id=44|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
275	fehlte		0	
276	,		0	
277	fing		0	
278	ich	43	0	(mention_id=45|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
279	an		0	
280	eine		0	
281	Leere		0	
282	,		0	
283	eine		0	
284	Unruhe		0	
285	,		0	
286	eine		0	
287	Sehnsucht		0	
288	zu		0	
289	fühlen		0	
290	,		0	
291	die		0	
292	mich	44	0	(mention_id=46|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
293	unglücklich		0	
294	machte		0	
295	.		0	
296	Alle		0	
297	meine	45	0	(mention_id=47|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
298	vorigen		0	
299	Beschäftigungen		0	
300	,		0	
301	alle		0	
302	meine	46	0	(mention_id=48|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
303	bisherigen		0	
304	Vergnügungen		0	
305	konnten		0	
306	mich	47	0	(mention_id=49|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
307	nicht		0	
308	mehr		0	
309	befriedigen		0	
310	.		0	
311	Alle		0	
312	meine	48	0	(mention_id=50|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
313	Gedanken		0	
314	und		0	
315	Empfindungen		0	
316	schienen		0	
317	einem		0	
318	geheimnißvollen		0	
319	Ziele		0	
320	zuzufliegen		0	
321	,		0	
322	und		0	
323	alle		0	
324	Pulse		0	
325	meines	49	0	(mention_id=51|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
326	Körpers		0	
327	klopften		0	
328	demselben		0	
329	mit		0	
330	Ungeduld		0	
331	entgegen		0	
332	.		0	
333	Plötzlich		0	
334	fingen		0	
335	die		0	
336	Weiber		0	(mention_id=52|references=(entity=(entity_id=generic_0132|fullname=generic_0011|gender=u|specialcase_entity=generic)))
337	an		0	
338	mir	50	0	(mention_id=53|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
339	interessant		0	
340	zu		0	
341	werden		0	
342	,		0	
343	und		0	
344	es		0	
345	bedurfte		0	
346	nur		0	
347	eines		0	
348	Gegenstandes		0	
349	,		0	
350	um		0	
351	diese		0	
352	unbestimmte		0	
353	Neigung		0	
