i	token	is_section_start	gold	pred
52705	12.	1		
52706	Drei	0		
52707	Tage	0		
52708	später	0		
52709	fuhr	0		
52710	die	0		
52711	Niendorfer	0		(mention_id=7477|references=(entity=(entity_id=21|fullname=Niendorfer Equipage|gender=mf|specialcase_entity=group)))
52712	Equipage	0		
52713	vor	0		
52714	das	0		
52715	Gittertor	0		
52716	von	0		
52717	»	0		
52718	Waldruhe	0		
52719	«	0		
52720	.	0		
52721	Sie	0		
52722	hielt	0		
52723	dort	0		
52724	eine	0		
52725	Viertelstunde	0		
52726	im	0		
52727	grellsten	0		
52728	Schein	0		
52729	der	0		
52730	Nachmittagssonne	0		
52731	,	0		
52732	so	0		
52733	daß	0		
52734	sich	0		(mention_id=7478|references=(entity=(entity_id=12|fullname=Gärtnerkinder|gender=mf|specialcase_entity=group)))
52735	die	0		
52736	Gärtnerkinder	0	(mention_id=7458|references=(entity=(entity_id=entity_0289|fullname=Gärtnerkinder|gender=u|specialcase_entity=group)))	(mention_id=7479|references=(entity=(entity_id=12|fullname=Gärtnerkinder|gender=mf|specialcase_entity=group)))
52737	nicht	0		
52738	satt	0		
52739	zu	0		
52740	sehen	0		
52741	vermochten	0		
52742	an	0		
52743	der	0		
52744	aufsprühenden	0		
52745	Farbenpracht	0		
52746	von	0		
52747	Tante	0	(mention_id=7459|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))	(mention_id=7480|references=(entity=(entity_id=24|fullname=Rosa|gender=f)))
52748	Rosas	0	(mention_id=7459|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))	(mention_id=7480|references=(entity=(entity_id=24|fullname=Rosa|gender=f)))
52749	veilchenfarbenem	0		
52750	Sonnenschirm	0		
52751	und	0		
52752	den	0		
52753	roten	0		
52754	Straußfedern	0		
52755	,	0		
52756	die	0		
52757	auf	0		
52758	Adelheids	0	(mention_id=7460|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))	(mention_id=7481|references=(entity=(entity_id=1|fullname=Adelheid|gender=f|specialcase_entity=nonfact)))
52759	Sommerhütchen	0		
52760	lagen	0		
52761	und	0		
52762	sich	0		
52763	effektvoll	0		
52764	mit	0		
52765	dem	0		
52766	dunklen	0		
52767	Kraushaar	0		
52768	vermischten	0		
52769	,	0		
52770	das	0		
52771	wie	0		
52772	in	0		
52773	Fransen	0		
52774	über	0		
52775	der	0		
52776	jungen	0		
52777	Stirn	0		
52778	hing	0		
52779	.	0		
52780	Auch	0		
52781	dem	0		
52782	Herrn	0	(mention_id=7461|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))	(mention_id=7482|references=(entity=(entity_id=2|fullname=Amtsrichter|gender=m)))
52783	Amtsrichter	0	(mention_id=7461|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))	(mention_id=7482|references=(entity=(entity_id=2|fullname=Amtsrichter|gender=m)))
52784	mußte	0		
52785	dieser	0		
52786	Anblick	0		
52787	behagen	0		
52788	,	0		
52789	denn	0		
52790	er	0	(mention_id=7462|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))	(mention_id=7483|references=(entity=(entity_id=2|fullname=Amtsrichter|gender=m)))
52791	verwandte	0		
52792	kein	0		
52793	Auge	0		
52794	von	0		
52795	dem	0		
52796	anmutigen	0		
52797	Visavis	0		(mention_id=7484|references=(entity=(entity_id=2|fullname=Amtsrichter|gender=m)))
52798	.	0		
52799	»	0		
52800	Frau	0	(mention_id=7463|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=7485|references=(entity=(entity_id=19|fullname=Linden|gender=f)))
52801	Linden	0	(mention_id=7463|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=7485|references=(entity=(entity_id=19|fullname=Linden|gender=f)))
52802	bedauert	0		
52803	;	0		
52804	sie	0	(mention_id=7464|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=7486|references=(entity=(entity_id=19|fullname=Linden|gender=f)))
52805	ist	0		
52806	nicht	0		
52807	wohl	0		
52808	genug	0		
52809	,	0		
52810	um	0		
52811	Besuch	0		
52812	empfangen	0		
52813	zu	0		
52814	können	0		
52815	«	0		
52816	,	0		
52817	berichtete	0		
52818	Johanne	0	(mention_id=7465|references=(entity=(entity_id=entity_0012|fullname=Johanne|gender=f)))	(mention_id=7487|references=(entity=(entity_id=15|fullname=Johanne|gender=f)))
52819	mit	0		
52820	niedergeschlagenen	0		
52821	Augen	0		
52822	.	0		
52823	Zwei	0		
52824	der	0		
52825	Insassen	0	(mention_id=7466|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)),(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))	(mention_id=7488|references=(entity=(entity_id=14|fullname=Insassen des Wagens|gender=mf|specialcase_entity=group)))
52826	des	0		
52827	Wagens	0		
52828	sahen	0		
52829	sich	0	(mention_id=7467|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)),(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))	(mention_id=7489|references=(entity=(entity_id=14|fullname=Insassen des Wagens|gender=mf|specialcase_entity=group)))
52830	enttäuscht	0		
52831	an	0		
52832	,	0		
52833	und	0		
52834	der	0		
52835	Amtsrichter	0	(mention_id=7468|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))	(mention_id=7490|references=(entity=(entity_id=2|fullname=Amtsrichter|gender=m)))
52836	suchte	0		
52837	in	0		
52838	der	0		
52839	Brusttasche	0		
52840	nach	0		
52841	seinem	0	(mention_id=7469|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))	(mention_id=7491|references=(entity=(entity_id=2|fullname=Amtsrichter|gender=m)))
52842	Visitenkartenetui	0		
52843	:	0		
52844	»	0		
52845	So	0		
52846	!	0		
52847	«	0		
52848	Er	0	(mention_id=7470|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))	(mention_id=7492|references=(entity=(entity_id=2|fullname=Amtsrichter|gender=m)))
52849	händigte	0		
52850	der	0		
52851	Dienerin	0	(mention_id=7471|references=(entity=(entity_id=entity_0012|fullname=Johanne|gender=f)))	(mention_id=7493|references=(entity=(entity_id=5|fullname=Dienerin|gender=f)))
52852	die	0		
52853	umgebogene	0		
52854	Karte	0		
52855	ein	0		
52856	.	0		
52857	»	0		
52858	Und	0		
52859	hier	0		
52860	ist	0		
52861	ein	0		
52862	Brief	0		
52863	,	0		
52864	ein	0		
52865	wichtiger	0		
52866	Brief	0		
52867	–	0		
52868	verstehen	0		
52869	Sie	0	(mention_id=7472|references=(entity=(entity_id=entity_0012|fullname=Johanne|gender=f)))	(mention_id=7494|references=(entity=(entity_id=15|fullname=Johanne|gender=f)))
52870	,	0		
52871	Johanne	0	(mention_id=7473|references=(entity=(entity_id=entity_0012|fullname=Johanne|gender=f)))	(mention_id=7495|references=(entity=(entity_id=15|fullname=Johanne|gender=f)))
52872	?	0		
52873	Empfehlen	0		
52874	Sie	0	(mention_id=7474|references=(entity=(entity_id=entity_0012|fullname=Johanne|gender=f)))	(mention_id=7496|references=(entity=(entity_id=15|fullname=Johanne|gender=f)))
52875	mich	0	(mention_id=7475|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))	(mention_id=7497|references=(entity=(entity_id=15|fullname=Johanne|gender=f)))
52876	,	0		
52877	und	0		
52878	ich	0	(mention_id=7476|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))	(mention_id=7498|references=(entity=(entity_id=15|fullname=Johanne|gender=f)))
52879	wünschte	0		
52880	gute	0		
52881	Besserung	0		
52882	.	0		
52883	«	0		
52884	»	0		
52885	Ich	0	(mention_id=7477|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))	(mention_id=7499|references=(entity=(entity_id=15|fullname=Johanne|gender=f)))
52886	auch	0		
52887	«	0		
52888	,	0		
52889	sagte	0		
52890	schüchtern	0		
52891	das	0		
52892	Fräulein	0	(mention_id=7478|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))	(mention_id=7500|references=(entity=(entity_id=9|fullname=Fräulein|gender=f)))
52893	.	0		
52894	Tante	0	(mention_id=7479|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))	(mention_id=7501|references=(entity=(entity_id=24|fullname=Rosa|gender=f)))
52895	Rosa	0	(mention_id=7479|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))	(mention_id=7501|references=(entity=(entity_id=24|fullname=Rosa|gender=f)))
52896	aber	0		
52897	schwieg	0		
52898	,	0		
52899	und	0		
52900	da	0		
52901	man	0		
52902	genauer	0		
52903	hinsah	0		
52904	,	0		
52905	schlief	0		
52906	sie	0	(mention_id=7480|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))	(mention_id=7502|references=(entity=(entity_id=24|fullname=Rosa|gender=f)))
52907	,	0		
52908	und	0		
52909	das	0		
52910	alte	0		
52911	runzlige	0		
52912	Gesichtchen	0		
52913	wackelte	0		
52914	seltsam	0		
52915	über	0		
52916	der	0		
52917	großen	0		
52918	Hutschleife	0		
52919	.	0		
52920	»	0		
52921	Borrmann	0	(mention_id=7481|references=(entity=(entity_id=entity_0288|fullname=Kutscher Borrmann|gender=m)))	(mention_id=7503|references=(entity=(entity_id=4|fullname=Borrmann|gender=m)))
52922	,	0		
52923	fahren	0		
52924	Sie	0	(mention_id=7482|references=(entity=(entity_id=entity_0288|fullname=Kutscher Borrmann|gender=m)))	(mention_id=7504|references=(entity=(entity_id=4|fullname=Borrmann|gender=m)))
52925	ja	0		
52926	recht	0		
52927	langsam	0		
52928	,	0		
52929	wenn	0		
52930	wir	0	(mention_id=7483|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)),(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))	(mention_id=7505|references=(entity=(entity_id=4|fullname=Borrmann|gender=m)),(entity=(entity_id=2|fullname=Amtsrichter|gender=m)))
52931	in	0		
52932	den	0		
52933	Wald	0		
52934	kommen	0		
52935	«	0		
52936	,	0		
52937	flüsterte	0		
52938	der	0		
52939	Amtsrichter	0	(mention_id=7484|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))	(mention_id=7506|references=(entity=(entity_id=2|fullname=Amtsrichter|gender=m)))
52940	,	0		
52941	»	0		
52942	Fräulein	0	(mention_id=7485|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))	(mention_id=7507|references=(entity=(entity_id=24|fullname=Rosa|gender=f)))
52943	Rosa	0	(mention_id=7485|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))	(mention_id=7507|references=(entity=(entity_id=24|fullname=Rosa|gender=f)))
52944	schläft	0		
52945	.	0		
52946	«	0		
52947	Und	0		
52948	der	0		
52949	Kutscher	0	(mention_id=7486|references=(entity=(entity_id=entity_0288|fullname=Kutscher Borrmann|gender=m)))	(mention_id=7508|references=(entity=(entity_id=16|fullname=Kutscher|gender=m)))
52950	schnalzte	0		
52951	mit	0		
52952	der	0		
52953	Zunge	0		
52954	und	0		
52955	fuhr	0		
52956	auf	0		
52957	dem	0		
52958	weichen	0		
52959	Graswege	0		
52960	schier	0		
52961	lautlos	0		
52962	dahin	0		
52963	.	0		
52964	Johanne	0	(mention_id=7487|references=(entity=(entity_id=entity_0012|fullname=Johanne|gender=f)))	(mention_id=7509|references=(entity=(entity_id=15|fullname=Johanne|gender=f)))
52965	sah	0		
52966	nur	0		
52967	noch	0		
52968	,	0		
52969	daß	0		
52970	der	0		
52971	Herr	0	(mention_id=7488|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))	(mention_id=7510|references=(entity=(entity_id=2|fullname=Amtsrichter|gender=m)))
52972	Amtsrichter	0	(mention_id=7488|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))	(mention_id=7510|references=(entity=(entity_id=2|fullname=Amtsrichter|gender=m)))
52973	von	0		
52974	der	0		
52975	Mitte	0		
52976	des	0		
52977	Sitzes	0		
52978	dem	0		
52979	jungen	0		
