i	text
85	Erstes
86	Buch
87	Erstes
88	Kapitel
89	Ich
90	war
91	achtzehn
92	Jahr
93	alt
94	,
95	und
96	die
97	ganze
98	Welt
99	lag
100	wie
101	ein
102	Paradies
103	vor
104	mir
105	.
106	Meine
107	Familie
108	,
109	meine
110	Figur
111	,
112	mein
113	Vermögen
114	,
115	alles
116	versprach
117	mir
118	die
119	glänzendsten
120	Aussichten
121	.
122	Meine
123	Aeltern
124	waren
125	sehr
126	frühzeitig
127	gestorben
128	,
129	und
130	ich
131	wurde
132	bey
133	einer
134	Tante
135	erzogen
136	.
137	Sie
138	war
139	seit
140	vielen
141	Jahren
142	Wittwe
143	und
144	außerordentlich
145	reich
146	.
147	Meine
148	Vormünder
149	hatten
150	mich
151	ihr
152	gänzlich
153	überlassen
154	,
155	und
156	sie
157	machte
158	ihren
159	Abgott
160	aus
161	mir
162	.
163	Meine
164	Figur
165	war
166	bezaubernd
167	,
168	und
169	ich
170	floß
171	von
172	Gesundheit
173	über
174	.
175	Ich
176	schien
177	alle
178	Reitze
179	der
180	Jugend
181	und
182	die
183	ganze
184	Kraft
185	eines
186	Mannes
187	zu
188	haben
189	.
190	Aber
191	mein
192	Temperament
193	war
194	noch
195	unentwickelt
196	,
197	und
198	ein
199	rasches
200	Pferd
201	war
202	mir
203	lieber
204	,
205	als
206	alle
207	Mädchen
208	in
209	der
210	Welt
211	.
212	Doch
213	die
214	Natur
215	blieb
216	ihrem
217	Plane
218	getreu
219	,
220	und
221	mein
222	ganzes
223	Wesen
224	verwandelte
225	sich
226	.
227	Ein
228	neues
229	Blut
230	schien
231	meine
232	Adern
233	zu
234	durchströhmen
235	,
236	ein
237	neues
238	Herz
239	in
240	meiner
241	Brust
242	zu
243	klopfen
244	.
245	Alle
246	Bilder
247	des
248	Lebens
249	schienen
250	mir
251	gleichsam
252	aus
253	der
254	Dämmerung
255	hervorzutreten
256	,
257	und
258	eine
259	Menge
260	unbekannter
261	Empfindungen
262	wachten
263	plötzlich
264	in
265	meiner
266	Seele
267	auf
268	.
269	Ohne
270	zu
271	wissen
272	,
273	was
274	mir
275	fehlte
276	,
277	fing
278	ich
279	an
280	eine
281	Leere
282	,
283	eine
284	Unruhe
285	,
286	eine
287	Sehnsucht
288	zu
289	fühlen
290	,
291	die
292	mich
293	unglücklich
294	machte
295	.
296	Alle
297	meine
298	vorigen
299	Beschäftigungen
300	,
301	alle
302	meine
303	bisherigen
304	Vergnügungen
305	konnten
306	mich
307	nicht
308	mehr
309	befriedigen
310	.
311	Alle
312	meine
313	Gedanken
314	und
315	Empfindungen
316	schienen
317	einem
318	geheimnißvollen
319	Ziele
320	zuzufliegen
321	,
322	und
323	alle
324	Pulse
325	meines
326	Körpers
327	klopften
328	demselben
329	mit
330	Ungeduld
331	entgegen
332	.
333	Plötzlich
334	fingen
335	die
336	Weiber
337	an
338	mir
339	interessant
340	zu
341	werden
342	,
343	und
344	es
345	bedurfte
346	nur
347	eines
348	Gegenstandes
349	,
350	um
351	diese
352	unbestimmte
353	Neigung
