	i	text	gold
0	85	Erstes	
1	86	Buch	
2	87	Erstes	
3	88	Kapitel	
4	89	Ich	(mention_id=1|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
5	90	war	
6	91	achtzehn	
7	92	Jahr	
8	93	alt	
9	94	,	
10	95	und	
11	96	die	
12	97	ganze	
13	98	Welt	
14	99	lag	
15	100	wie	
16	101	ein	
17	102	Paradies	
18	103	vor	
19	104	mir	(mention_id=2|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
20	105	.	
21	106	Meine	(mention_id=3|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
22	107	Familie	(mention_id=4|references=(entity=(entity_id=figur_0006|fullname=Gustavs Familie|gender=f|specialcase_entity=group)))
23	108	,	
24	109	meine	(mention_id=5|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
25	110	Figur	
26	111	,	
27	112	mein	(mention_id=6|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
28	113	Vermögen	
29	114	,	
30	115	alles	
31	116	versprach	
32	117	mir	(mention_id=7|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
33	118	die	
34	119	glänzendsten	
35	120	Aussichten	
36	121	.	
37	122	Meine	(mention_id=8|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
38	123	Aeltern	(mention_id=9|references=(entity=(entity_id=figur_0005|fullname=Gustavs Eltern|gender=f|specialcase_entity=group)))
39	124	waren	
40	125	sehr	
41	126	frühzeitig	
42	127	gestorben	
43	128	,	
44	129	und	
45	130	ich	(mention_id=10|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
46	131	wurde	
47	132	bey	
48	133	einer	
49	134	Tante	(mention_id=11|references=(entity=(entity_id=figur_0011|fullname=Tante|gender=f)))
50	135	erzogen	
51	136	.	
52	137	Sie	(mention_id=12|references=(entity=(entity_id=figur_0011|fullname=Tante|gender=f)))
53	138	war	
54	139	seit	
55	140	vielen	
56	141	Jahren	
57	142	Wittwe	(mention_id=13|references=(entity=(entity_id=figur_0011|fullname=Tante|gender=f)))
58	143	und	
59	144	außerordentlich	
60	145	reich	
61	146	.	
62	147	Meine	(mention_id=14|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
63	148	Vormünder	(mention_id=15|references=(entity=(entity_id=figur_0012|fullname=Vormünder|gender=m|specialcase_entity=group)))
64	149	hatten	
65	150	mich	(mention_id=16|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
66	151	ihr	(mention_id=17|references=(entity=(entity_id=figur_0011|fullname=Tante|gender=f)))
67	152	gänzlich	
68	153	überlassen	
69	154	,	
70	155	und	
71	156	sie	(mention_id=18|references=(entity=(entity_id=figur_0011|fullname=Tante|gender=f)))
72	157	machte	
73	158	ihren	(mention_id=19|references=(entity=(entity_id=figur_0011|fullname=Tante|gender=f)))
74	159	Abgott	(mention_id=20|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
75	160	aus	
76	161	mir	(mention_id=21|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
77	162	.	
78	163	Meine	(mention_id=22|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
79	164	Figur	
80	165	war	
81	166	bezaubernd	
82	167	,	
83	168	und	
84	169	ich	(mention_id=23|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
85	170	floß	
86	171	von	
87	172	Gesundheit	
88	173	über	
89	174	.	
90	175	Ich	(mention_id=24|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
91	176	schien	
92	177	alle	
93	178	Reitze	
94	179	der	
95	180	Jugend	
96	181	und	
97	182	die	
98	183	ganze	
99	184	Kraft	
100	185	eines	
101	186	Mannes	(mention_id=25|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)),(entity=(entity_id=generic_0001|fullname=generic_0001|gender=u|specialcase_entity=generic)))
102	187	zu	
103	188	haben	
104	189	.	
105	190	Aber	
106	191	mein	(mention_id=26|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
107	192	Temperament	
108	193	war	
109	194	noch	
110	195	unentwickelt	
111	196	,	
112	197	und	
113	198	ein	
114	199	rasches	
115	200	Pferd	
116	201	war	
117	202	mir	(mention_id=27|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
118	203	lieber	
119	204	,	
120	205	als	
121	206	alle	
122	207	Mädchen	(mention_id=28|references=(entity=(entity_id=generic_0002|fullname=generic_0002|gender=u|specialcase_entity=generic)))
123	208	in	
124	209	der	
125	210	Welt	
126	211	.	
127	212	Doch	
128	213	die	
129	214	Natur	
130	215	blieb	
131	216	ihrem	
132	217	Plane	
133	218	getreu	
134	219	,	
135	220	und	
136	221	mein	(mention_id=29|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
137	222	ganzes	
138	223	Wesen	
139	224	verwandelte	
140	225	sich	
141	226	.	
142	227	Ein	
143	228	neues	
144	229	Blut	
145	230	schien	
146	231	meine	(mention_id=30|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
147	232	Adern	
148	233	zu	
149	234	durchströhmen	
150	235	,	
151	236	ein	
152	237	neues	
153	238	Herz	
154	239	in	
155	240	meiner	(mention_id=31|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
156	241	Brust	
157	242	zu	
158	243	klopfen	
159	244	.	
160	245	Alle	
161	246	Bilder	
162	247	des	
163	248	Lebens	
164	249	schienen	
165	250	mir	(mention_id=32|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
166	251	gleichsam	
167	252	aus	
168	253	der	
169	254	Dämmerung	
170	255	hervorzutreten	
171	256	,	
172	257	und	
173	258	eine	
174	259	Menge	
175	260	unbekannter	
176	261	Empfindungen	
177	262	wachten	
178	263	plötzlich	
179	264	in	
180	265	meiner	(mention_id=33|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
181	266	Seele	
182	267	auf	
183	268	.	
184	269	Ohne	
185	270	zu	
186	271	wissen	
187	272	,	
188	273	was	
189	274	mir	(mention_id=34|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
190	275	fehlte	
191	276	,	
192	277	fing	
193	278	ich	(mention_id=35|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
194	279	an	
195	280	eine	
196	281	Leere	
197	282	,	
198	283	eine	
199	284	Unruhe	
200	285	,	
201	286	eine	
202	287	Sehnsucht	
203	288	zu	
204	289	fühlen	
205	290	,	
206	291	die	
207	292	mich	(mention_id=36|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
208	293	unglücklich	
209	294	machte	
210	295	.	
211	296	Alle	
212	297	meine	(mention_id=37|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
213	298	vorigen	
214	299	Beschäftigungen	
215	300	,	
216	301	alle	
217	302	meine	(mention_id=38|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
218	303	bisherigen	
219	304	Vergnügungen	
220	305	konnten	
221	306	mich	(mention_id=39|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
222	307	nicht	
223	308	mehr	
224	309	befriedigen	
225	310	.	
226	311	Alle	
227	312	meine	(mention_id=40|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
228	313	Gedanken	
229	314	und	
230	315	Empfindungen	
231	316	schienen	
232	317	einem	
233	318	geheimnißvollen	
234	319	Ziele	
235	320	zuzufliegen	
236	321	,	
237	322	und	
238	323	alle	
239	324	Pulse	
240	325	meines	(mention_id=41|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
241	326	Körpers	
242	327	klopften	
243	328	demselben	
244	329	mit	
245	330	Ungeduld	
246	331	entgegen	
247	332	.	
248	333	Plötzlich	
249	334	fingen	
250	335	die	
