i	text	is_section_start
0	Caroline	1
1	Auguste	0
2	Fischer	0
3	Gustavs	0
4	Verirrungen	0
5	Ein	0
6	Roman	0
7	[	0
8	Vorbemerkung	0
9	]	0
10	Man	0
11	erzählt	0
12	uns	0
13	oft	0
14	,	0
15	was	0
16	die	0
17	Menschen	0
18	sind	0
19	;	0
20	man	0
21	beschreibt	0
22	uns	0
23	noch	0
24	öfter	0
25	–	0
26	vielleicht	0
27	ein	0
28	wenig	0
29	zu	0
30	oft	0
31	wie	0
32	sie	0
33	seyn	0
34	sollen	0
35	;	0
36	aber	0
37	man	0
38	sagt	0
39	uns	0
40	,	0
41	wie	0
42	mich	0
43	dünkt	0
44	,	0
45	noch	0
46	immer	0
47	nicht	0
48	oft	0
49	genug	0
50	:	0
51	auf	0
52	welche	0
53	Weise	0
54	sie	0
55	das	0
56	werden	0
57	,	0
58	was	0
59	sie	0
60	sind	0
61	.	0
62	Ist	0
63	diese	0
64	letzte	0
65	Bemerkung	0
66	richtig	0
67	,	0
68	so	0
69	hoffe	0
70	ich	0
71	,	0
72	sie	0
73	werde	0
74	eine	0
75	Entschuldigung	0
76	für	0
77	die	0
78	Herausgabe	0
79	des	0
80	gegenwärtigen	0
81	kleinen	0
82	Romans	0
83	enthalten	0
84	.	0
85	Erstes	1
86	Buch	0
87	Erstes	0
88	Kapitel	0
89	Ich	0
90	war	0
91	achtzehn	0
92	Jahr	0
93	alt	0
94	,	0
95	und	0
96	die	0
97	ganze	0
98	Welt	0
99	lag	0
100	wie	0
101	ein	0
102	Paradies	0
103	vor	0
104	mir	0
105	.	0
106	Meine	0
107	Familie	0
108	,	0
109	meine	0
110	Figur	0
111	,	0
112	mein	0
113	Vermögen	0
114	,	0
115	alles	0
116	versprach	0
117	mir	0
118	die	0
119	glänzendsten	0
120	Aussichten	0
121	.	0
122	Meine	0
123	Aeltern	0
124	waren	0
125	sehr	0
126	frühzeitig	0
127	gestorben	0
128	,	0
129	und	0
130	ich	0
131	wurde	0
132	bey	0
133	einer	0
134	Tante	0
135	erzogen	0
136	.	0
137	Sie	0
138	war	0
139	seit	0
140	vielen	0
141	Jahren	0
142	Wittwe	0
143	und	0
144	außerordentlich	0
145	reich	0
146	.	0
147	Meine	0
148	Vormünder	0
149	hatten	0
150	mich	0
151	ihr	0
152	gänzlich	0
153	überlassen	0
154	,	0
155	und	0
156	sie	0
157	machte	0
158	ihren	0
159	Abgott	0
160	aus	0
161	mir	0
162	.	0
163	Meine	0
164	Figur	0
165	war	0
166	bezaubernd	0
167	,	0
168	und	0
169	ich	0
170	floß	0
171	von	0
172	Gesundheit	0
173	über	0
174	.	0
175	Ich	0
176	schien	0
177	alle	0
178	Reitze	0
179	der	0
180	Jugend	0
181	und	0
182	die	0
183	ganze	0
184	Kraft	0
185	eines	0
186	Mannes	0
187	zu	0
188	haben	0
189	.	0
190	Aber	0
191	mein	0
192	Temperament	0
193	war	0
194	noch	0
195	unentwickelt	0
196	,	0
197	und	0
198	ein	0
199	rasches	0
200	Pferd	0
201	war	0
202	mir	0
203	lieber	0
204	,	0
205	als	0
206	alle	0
207	Mädchen	0
208	in	0
209	der	0
210	Welt	0
211	.	0
212	Doch	0
213	die	0
214	Natur	0
215	blieb	0
216	ihrem	0
217	Plane	0
218	getreu	0
219	,	0
220	und	0
221	mein	0
222	ganzes	0
223	Wesen	0
224	verwandelte	0
225	sich	0
226	.	0
227	Ein	0
228	neues	0
229	Blut	0
230	schien	0
231	meine	0
232	Adern	0
233	zu	0
234	durchströhmen	0
235	,	0
236	ein	0
237	neues	0
238	Herz	0
239	in	0
240	meiner	0
241	Brust	0
242	zu	0
243	klopfen	0
244	.	0
245	Alle	0
246	Bilder	0
247	des	0
248	Lebens	0
249	schienen	0
250	mir	0
251	gleichsam	0
252	aus	0
253	der	0
254	Dämmerung	0
255	hervorzutreten	0
256	,	0
257	und	0
258	eine	0
259	Menge	0
260	unbekannter	0
261	Empfindungen	0
262	wachten	0
263	plötzlich	0
264	in	0
265	meiner	0
266	Seele	0
267	auf	0
268	.	0
269	Ohne	0
270	zu	0
271	wissen	0
272	,	0
273	was	0
274	mir	0
275	fehlte	0
276	,	0
277	fing	0
278	ich	0
279	an	0
280	eine	0
281	Leere	0
282	,	0
283	eine	0
284	Unruhe	0
285	,	0
286	eine	0
287	Sehnsucht	0
288	zu	0
289	fühlen	0
290	,	0
291	die	0
292	mich	0
293	unglücklich	0
294	machte	0
295	.	0
296	Alle	0
297	meine	0
298	vorigen	0
299	Beschäftigungen	0
300	,	0
301	alle	0
302	meine	0
303	bisherigen	0
304	Vergnügungen	0
305	konnten	0
306	mich	0
307	nicht	0
308	mehr	0
309	befriedigen	0
310	.	0
311	Alle	0
312	meine	0
313	Gedanken	0
314	und	0
315	Empfindungen	0
316	schienen	0
317	einem	0
318	geheimnißvollen	0
319	Ziele	0
320	zuzufliegen	0
321	,	0
322	und	0
323	alle	0
324	Pulse	0
325	meines	0
326	Körpers	0
327	klopften	0
328	demselben	0
329	mit	0
330	Ungeduld	0
331	entgegen	0
332	.	0
333	Plötzlich	0
334	fingen	0
335	die	0
336	Weiber	0
337	an	0
338	mir	0
339	interessant	0
340	zu	0
341	werden	0
342	,	0
343	und	0
344	es	0
345	bedurfte	0
346	nur	0
347	eines	0
348	Gegenstandes	0
349	,	0
350	um	0
351	diese	0
352	unbestimmte	0
353	Neigung	0
354	zu	0
355	entwickeln	0
356	.	0
357	Zweytes	0
358	Kapitel	0
359	Der	0
360	glückliche	0
361	Zeitpunkt	0
362	war	0
363	näher	0
364	,	0
365	als	0
366	ich	0
367	dachte	0
368	.	0
369	Eine	0
370	halbe	0
371	Stunde	0
372	von	0
373	unserm	0
374	Guthe	0
375	lag	0
376	ein	0
377	Städtchen	0
378	,	0
379	das	0
380	von	0
381	jeher	0
382	sehr	0
383	viel	0
384	Anziehendes	0
385	für	0
386	mich	0
387	gehabt	0
388	hatte	0
389	.	0
390	Oft	0
391	fand	0
392	ich	0
393	mich	0
394	mitten	0
395	zwischen	0
396	den	0
397	kleinen	0
398	reinlichen	0
399	Häusern	0
400	,	0
401	ohne	0
402	zu	0
403	wissen	0
404	,	0
405	wie	0
406	ich	0
407	dahin	0
408	gekommen	0
409	war	0
410	.	0
411	Träumend	0
412	ging	0
413	ich	0
414	dann	0
415	in	0
416	den	0
417	Gasthof	0
418	,	0
419	ließ	0
420	mein	0
421	Essen	0
422	unter	0
423	die	0
424	große	0
425	Linde	0
426	bringen	0
427	,	0
428	und	0
429	bezahlte	0
430	der	0
431	dicken	0
432	Wirthin	0
433	gern	0
434	die	0
435	doppelte	0
436	Zeche	0
437	;	0
438	wenn	0
439	sie	0
440	mir	0
441	nur	0
442	erlaubte	0
443	,	0
444	so	0
445	wenig	0
446	als	0
447	möglich	0
448	auf	0
449	ihr	0
450	Geschwätz	0
451	zu	0
452	antworten	0
453	.	0
454	Nein	0
455	,	0
456	man	0
457	sage	0
458	,	0
459	was	0
460	man	0
461	wolle	0
462	!	0
463	es	0
464	giebt	0
465	Ahnungen	0
466	.	0
467	–	0
468	Unter	0
469	dieser	0
470	Linde	0
471	....	0
472	doch	0
473	welch	0
474	eine	0
475	Ausschweifung	0
476	!	0
477	Zurück	0
478	:	0
479	zu	0
480	dem	0
481	schönsten	0
482	Abende	0
483	meines	0
484	Lebens	0
485	!	0
486	Es	0
487	war	0
488	ein	0
489	Mayabend	0
490	.	0
491	Ich	0
492	drängte	0
493	mich	0
494	mit	0
495	meinem	0
496	Pferde	0
497	durch	0
498	duftende	0
499	Hecken	0
500	,	0
501	und	0
502	jeder	0
503	Athemzug	0
504	vermehrte	0
505	die	0
506	Lebensfülle	0
507	,	0
508	die	0
509	meine	0
510	Brust	0
511	mit	0
512	schmerzhaftem	0
513	Entzücken	0
514	hob	0
515	.	0
516	Achtzehn	0
517	Jahre	0
518	und	0
519	der	0
520	May	0
521	!	0
522	–	0
523	was	0
524	brauche	0
525	ich	0
526	mehr	0
527	zu	0
528	sagen	0
529	?	0
530	–	0
531	–	0
532	Schon	0
533	erblickte	0
534	ich	0
535	die	0
536	Linde	0
537	;	0
538	aber	0
539	es	0
540	war	0
541	nicht	0
542	mehr	0
543	die	0
544	sehnsüchtige	0
545	Träumerey	0
546	,	0
547	die	0
548	mich	0
549	vormals	0
550	bey	0
551	ihrem	0
552	Anblicke	0
553	ergriff	0
554	.	0
555	Ich	0
556	zitterte	0
557	vor	0
558	brennender	0
559	Ungeduld	0
560	,	0
561	und	0
562	sprengte	0
563	mit	0
564	dem	0
