i	token	is_section_start	gold	pred
28404	Eilftes	1		
28405	Kapitel	0		
28406	Eduard	0	(mention_id=3572|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=3630|references=(entity=(entity_id=4|fullname=Eduard|gender=m)))
28407	begleitete	0		
28408	den	0		
28409	Grafen	0	(mention_id=3573|references=(entity=(entity_id=entity_0086|fullname=Graf|gender=m)))	(mention_id=3631|references=(entity=(entity_id=8|fullname=Graf|gender=m)))
28410	auf	0		
28411	sein	0	(mention_id=3574|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=3632|references=(entity=(entity_id=8|fullname=Graf|gender=m)))
28412	Zimmer	0		
28413	und	0		
28414	ließ	0		
28415	sich	0	(mention_id=3575|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=3633|references=(entity=(entity_id=4|fullname=Eduard|gender=m)))
28416	recht	0		
28417	gern	0		
28418	durchs	0		
28419	Gespräch	0		
28420	verführen	0		
28421	,	0		
28422	noch	0		
28423	eine	0		
28424	Zeitlang	0		
28425	bei	0		
28426	ihm	0	(mention_id=3576|references=(entity=(entity_id=entity_0086|fullname=Graf|gender=m)))	(mention_id=3634|references=(entity=(entity_id=8|fullname=Graf|gender=m)))
28427	zu	0		
28428	bleiben	0		
28429	.	0		
28430	Der	0		
28431	Graf	0	(mention_id=3577|references=(entity=(entity_id=entity_0086|fullname=Graf|gender=m)))	(mention_id=3635|references=(entity=(entity_id=8|fullname=Graf|gender=m)))
28432	verlor	0		
28433	sich	0	(mention_id=3578|references=(entity=(entity_id=entity_0086|fullname=Graf|gender=m)))	(mention_id=3636|references=(entity=(entity_id=8|fullname=Graf|gender=m)))
28434	in	0		
28435	vorige	0		
28436	Zeiten	0		
28437	,	0		
28438	gedachte	0		
28439	mit	0		
28440	Lebhaftigkeit	0		
28441	an	0		
28442	die	0		
28443	Schönheit	0		
28444	Charlottens	0	(mention_id=3579|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=3637|references=(entity=(entity_id=3|fullname=Charlotte|gender=f)))
28445	,	0		
28446	die	0		
28447	er	0	(mention_id=3580|references=(entity=(entity_id=entity_0086|fullname=Graf|gender=m)))	(mention_id=3638|references=(entity=(entity_id=8|fullname=Graf|gender=m)))
28448	als	0		
28449	ein	0		
28450	Kenner	0	(mention_id=3581|references=(entity=(entity_id=entity_0086|fullname=Graf|gender=m)))	(mention_id=3639|references=(entity=(entity_id=8|fullname=Graf|gender=m)))
28451	mit	0		
28452	vielem	0		
28453	Feuer	0		
28454	entwickelte	0		
28455	:	0		
28456	»	0		
28457	Ein	0		
28458	schöner	0		
28459	Fuß	0		
28460	ist	0		
28461	eine	0		
28462	große	0		
28463	Gabe	0		
28464	der	0		
28465	Natur	0		
28466	.	0		
28467	Diese	0		
28468	Anmut	0		
28469	ist	0		
28470	unverwüstlich	0		
28471	.	0		
28472	Ich	0	(mention_id=3582|references=(entity=(entity_id=entity_0086|fullname=Graf|gender=m)))	(mention_id=3640|references=(entity=(entity_id=8|fullname=Graf|gender=m)))
28473	habe	0		
28474	sie	0	(mention_id=3583|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=3641|references=(entity=(entity_id=3|fullname=Charlotte|gender=f)))
28475	heute	0		
28476	im	0		
28477	Gehen	0		
28478	beobachtet	0		
28479	;	0		
28480	noch	0		
28481	immer	0		
28482	möchte	0		
28483	man	0		
28484	ihren	0	(mention_id=3584|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=3642|references=(entity=(entity_id=3|fullname=Charlotte|gender=f)))
28485	Schuh	0		
28486	küssen	0		
28487	und	0		
28488	die	0		
28489	zwar	0		
28490	etwas	0		
28491	barbarische	0		
28492	,	0		
28493	aber	0		
28494	doch	0		
28495	tief	0		
28496	gefühlte	0		
28497	Ehrenbezeugung	0		
28498	der	0		
28499	Sarmaten	0	(mention_id=3585|references=(entity=(entity_id=generic_0266|fullname=Sarmaten|gender=u|specialcase_entity=generic)))	(mention_id=3643|references=(entity=(entity_id=17|fullname=Sarmaten|gender=mf|specialcase_entity=group)))
28500	wiederholen	0		
28501	,	0		
28502	die	0	(mention_id=3586|references=(entity=(entity_id=generic_0267|fullname=Sarmaten|gender=u|specialcase_entity=generic)))	(mention_id=3644|references=(entity=(entity_id=17|fullname=Sarmaten|gender=mf|specialcase_entity=group)))
28503	sich	0	(mention_id=3587|references=(entity=(entity_id=generic_0268|fullname=Sarmaten|gender=u|specialcase_entity=generic)))	(mention_id=3645|references=(entity=(entity_id=17|fullname=Sarmaten|gender=mf|specialcase_entity=group)))
28504	nichts	0		
28505	Besseres	0		
28506	kennen	0		
28507	,	0		
28508	als	0		
28509	aus	0		
28510	dem	0		
28511	Schuh	0		
28512	einer	0		
28513	geliebten	0		
28514	und	0		
28515	verehrten	0		
28516	Person	0	(mention_id=3588|references=(entity=(entity_id=generic_0269|fullname=von Sarmaten geliebte und verehrte Person|gender=u|specialcase_entity=generic)))	(mention_id=3646|references=(entity=(entity_id=generic_0001|fullname=geliebte und verehrte Person im Allgemeinen|gender=u|specialcase_entity=generic)))
28517	ihre	0	(mention_id=3589|references=(entity=(entity_id=generic_0270|fullname=von Sarmaten geliebte und verehrte Person|gender=u|specialcase_entity=generic)))	(mention_id=3647|references=(entity=(entity_id=generic_0002|fullname=geliebte und verehrte Person im Allgemeinen|gender=u|specialcase_entity=generic)))
28518	Gesundheit	0		
28519	zu	0		
28520	trinken	0		
28521	.	0		
28522	«	0		
28523	Die	0		
28524	Spitze	0		
28525	des	0		
28526	Fußes	0		
28527	blieb	0		
28528	nicht	0		
28529	allein	0		
28530	der	0		
28531	Gegenstand	0		
28532	des	0		
28533	Lobes	0		
28534	unter	0		
28535	zwei	0		
28536	vertrauten	0		
28537	Männern	0	(mention_id=3590|references=(entity=(entity_id=entity_0086|fullname=Graf|gender=m)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=3648|references=(entity=(entity_id=8|fullname=Graf|gender=m)),(entity=(entity_id=4|fullname=Eduard|gender=m)))
28538	.	0		
28539	Sie	0	(mention_id=3591|references=(entity=(entity_id=entity_0086|fullname=Graf|gender=m)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=3649|references=(entity=(entity_id=8|fullname=Graf|gender=m)),(entity=(entity_id=4|fullname=Eduard|gender=m)))
28540	gingen	0		
28541	von	0		
28542	der	0		
28543	Person	0	(mention_id=3592|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=3650|references=(entity=(entity_id=3|fullname=Charlotte|gender=f)))
28544	auf	0		
28545	alte	0		
28546	Geschichten	0		
28547	und	0		
28548	Abenteuer	0		
28549	zurück	0		
28550	und	0		
28551	kamen	0		
28552	auf	0		
28553	die	0		
28554	Hindernisse	0		
28555	,	0		
28556	die	0		
28557	man	0		
28558	ehemals	0		
28559	den	0		
28560	Zusammenkünften	0		
28561	dieser	0		
28562	beiden	0		
28563	Liebenden	0	(mention_id=3593|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=3651|references=(entity=(entity_id=3|fullname=Charlotte|gender=f)),(entity=(entity_id=8|fullname=Graf|gender=m)))
28564	entgegengesetzt	0		
28565	,	0		
28566	welche	0		
28567	Mühe	0		
28568	sie	0	(mention_id=3594|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=3652|references=(entity=(entity_id=3|fullname=Charlotte|gender=f)),(entity=(entity_id=8|fullname=Graf|gender=m)))
28569	sich	0	(mention_id=3595|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=3653|references=(entity=(entity_id=3|fullname=Charlotte|gender=f)),(entity=(entity_id=8|fullname=Graf|gender=m)))
28570	gegeben	0		
28571	,	0		
28572	welche	0		
28573	Kunstgriffe	0		
