i	orig
0	Erstes
1	Buch
2	.
3	Erstes
4	Kapitel
5	.
6	„
7	Amerika
8	!
9	Welcher
10	Name
11	hat
12	einen
13	Inhalt
14	gleich
15	diesem
16	Namen
17	!
18	Wer
19	nicht
20	Dinge
21	der
22	gedachten
23	Welt
24	nennt
25	,
26	kann
27	in
28	der
29	wirklichen
30	Welt
31	nichts
32	Höheres
33	nennen
34	.
35	Das
36	Individuum
37	sagt
38	:
39	mein
40	besseres
41	Ich
42	,
43	der
44	Erdglobus
45	sagt
46	:
47	Amerika
48	.
49	Es
50	ist
51	der
52	Schlußfall
53	und
54	die
55	große
56	Cadenz
57	im
58	Concerte
59	der
60	menschlichen
61	Vollkommenheiten
62	.
63	Was
64	unmöglich
65	in
66	Europa
67	,
68	ist
69	möglich
70	in
71	Amerika
72	;
73	was
74	unmöglich
75	in
76	Amerika
77	,
78	das
79	erst
80	ist
81	unmöglich
82	!
83	Ich
84	sehe
85	hier
86	die
87	höchste
88	gesunde
89	Kraftentwicklung
90	des
91	volljährigen
92	Menschenkörpers
93	;
94	—
95	drüber
96	hinaus
97	liegt
98	Convulsion
99	und
100	Delirium
101	!
102	“
103	„
104	Amerika
105	!
106	heilige
107	Erstarrung
108	ergreift
109	mich
110	bei
111	deinem
112	Anblicke
113	.
114	Die
115	Schauer
116	der
117	Menschengröße
118	wehen
119	von
120	deinen
121	Ufern
122	.
123	Menschengröße
124	,
125	wer
126	kennt
127	dein
128	Gefühl
129	in
130	Europa
131	?
132	Karl
133	der
134	Große
135	,
136	Ludwig
137	der
138	Große
139	,
140	Friedrich
141	der
142	Große
143	—
144	das
145	sind
146	die
147	Menschengrößen
148	der
149	alten
150	Welt
151	.
152	Was
153	sonst
154	noch
155	groß
156	ist
157	neben
158	ihnen
159	,
160	wird
161	decorirt
162	oder
163	hingerichtet
164	!
165	—
166	O
167	weiche
168	zurück
169	,
170	Andenken
171	Europa's
172	,
173	vor
174	dem
175	blühenden
176	Bilde
177	dieser
178	jungen
179	Erde
180	!
181	Sei
182	mir
183	gegrüßt
184	,
185	Morgenstirn
186	,
187	Morgenantlitz
188	,
189	frische
190	,
191	schwellende
192	,
193	aufstrahlende
194	Schönheit
195	!
196	Ein
197	jugendlicher
198	Mensch
199	ist
200	die
201	Freude
202	des
203	älteren
204	,
205	aber
206	eine
207	jugendliche
208	Welt
209	,
210	—
211	ist
212	es
213	möglich
214	,
215	diesen
216	Wonnebegriff
217	in
218	ein
219	sterbliches
220	Herz
221	aufzunehmen
222	?
223	Glückliches
224	Land
225	!
226	mit
227	allen
228	Säften
229	unsrer
230	Geschichte
231	bist
232	du
233	genährt
234	,
235	aber
236	wir
237	sind
238	die
239	gröbsten
240	,
241	du
242	das
243	feinste
244	Gefäß
245	dieser
246	Säfte
247	.
248	Asien
249	die
250	Wurzel
251	,
252	Europa
253	der
254	Stamm
255	,
256	Amerika
257	Laub-
258	und
259	Blüthenkrone
260	—
261	so
262	gipfelt
263	sich
264	das
265	Wachsthum
266	der
267	Menschheit
268	.
269	Und
270	die
271	runzeligen
272	Rinden
273	Asiens
274	und
275	Europa's
276	durchkriecht
277	das
278	Insect
279	,
280	auf
281	Amerika's
282	Wipfel
283	wiegt
284	sich
285	der
286	freie
287	,
288	fröhliche
289	Vogel
290	!
291	In
292	unsern
293	geschichtlichen
294	Schlupfwinkeln
295	verpuppt
296	sich
297	die
298	graue
299	,
300	schläferige
301	Raupe
302	,
303	aus
304	Amerika's
305	Blüthenkelchen
306	trinkt
307	der
308	Schmetterling
309	seine
310	Psyche-Unsterblichkeit
311	!
312	“
313	„
314	Ein
315	Mann
316	von
317	riesigem
318	Leibe
319	kam
320	an
321	ein
322	Wasser
323	,
324	daran
325	fand
326	er
327	ein
328	Knäblein
329	spielen
330	.
331	Das
332	Knäblein
333	sagte
334	:
335	Mann
336	trag'
337	mich
338	über
339	das
340	Wasser
341	,
342	denn
343	deine
344	Schultern
345	sind
346	stark
347	.
348	Und
349	der
350	Mann
351	hob
352	das
353	kleine
354	,
355	federleichte
356	Körperchen
357	auf
358	,
359	und
360	trug
361	es
362	durchs
363	Wasser
364	.
365	Aber
366	im
367	Tragen
368	verwandelte
369	sich
370	das
371	Kind
372	in
373	eine
374	schwere
375	,
376	gewichtige
377	Last
378	.
379	Wie
380	geht
381	das
382	zu
383	?
384	wunderte
385	sich
386	der
387	Mann
388	,
389	trag'
390	ich
391	doch
392	ein
393	schmales
394	,
395	schmächtiges
396	Knäblein
397	!
398	Du
399	irrst
400	dich
401	,
402	antwortete
403	dieses
404	,
405	Himmel
406	und
407	Erde
408	trägst
409	du
410	auf
411	deinen
412	Schultern
413	.
414	—
