i	token	mention	is_section_start	gold
0	1.		1	
1	»		0	
2	Wahrhaftig		0	(mention_id=1|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
3	,		0	
4	Franz	1	0	(mention_id=2|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
5	,		0	
6	an		0	
7	deiner	2	0	(mention_id=3|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
8	Stelle		0	
9	wüßte		0	
10	ich	3	0	(mention_id=4|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
11	nicht		0	
12	,		0	
13	ob		0	
14	ich	4	0	(mention_id=5|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
15	lachen		0	
16	oder		0	
17	weinen		0	
18	sollte		0	
19	!		0	
20	Eine		0	
21	Erbschaft		0	
22	ist		0	
23	mir	5	0	(mention_id=6|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
24	immer		0	
25	als		0	
26	das		0	
27	Ziel		0	
28	meiner	6	0	(mention_id=7|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
29	Wünsche		0	
30	erschienen		0	
31	,		0	
32	aber		0	
33	wie		0	
34	mit		0	
35	jedem		0	
36	Dinge		0	
37	im		0	
38	menschlichen		0	
39	Leben		0	
40	–		0	
41	alles		0	
42	mit		0	
43	Unterschied		0	
44	.		0	
45	Franz	7	0	(mention_id=8|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
46	,		0	
47	wirklich		0	
48	,		0	
49	du	8	0	(mention_id=9|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
50	tust		0	
51	mir	9	0	(mention_id=10|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
52	leid		0	
53	!		0	
54	Da		0	
55	hast		0	
56	du	10	0	(mention_id=11|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
57	nun		0	
58	etwas		0	
59	Ererbtes		0	
60	am		0	
61	Halse		0	
62	,		0	
63	an		0	
64	das		0	
65	du	11	0	(mention_id=12|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
66	nie		0	
67	gedacht		0	
68	hast		0	
69	.		0	
70	Ein		0	
71	sogenanntes		0	
72	Gut		0	
73	,		0	
74	ein		0	
75	paar		0	
76	hundert		0	
77	Morgen		0	
78	Äckerchen		0	
79	und		0	
80	Wiesen		0	
81	,		0	
82	etwas		0	
83	Wald		0	
84	,		0	
85	einen		0	
86	verwilderten		0	
87	Garten		0	
88	,		0	
89	ein		0	
90	vernachlässigtes		0	
91	Wohnhaus		0	
92	,		0	
93	als		0	
94	Inventar		0	
95	vier		0	
96	gallige		0	
97	,		0	
98	spatlahme		0	
99	Andalusier	12	0	
100	,		0	
101	sechs		0	
102	spindeldürre		0	
103	Kühe		0	
104	und		0	
105	eine		0	
106	Tante	13	0	(mention_id=13|references=(entity=(entity_id=entity_0028|fullname=Fräulein Rosalie|gender=f)))
107	als		0	
108	Hauptsache		0	
109	,		0	
110	die	14	0	(mention_id=14|references=(entity=(entity_id=entity_0028|fullname=Fräulein Rosalie|gender=f)))
111	das		0	
112	Gallige		0	
113	und		0	
114	Spindeldürre		0	
115	in		0	
116	ihrer	15	0	(mention_id=15|references=(entity=(entity_id=entity_0028|fullname=Fräulein Rosalie|gender=f)))
117	angenehmen		0	
118	Persönlichkeit		0	
119	zu		0	
120	vereinigen		0	
121	scheint		0	
122	.		0	
123	–		0	
124	Menschenkind	16	0	(mention_id=16|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
125	,		0	
126	so		0	
127	ringe		0	
128	doch		0	
129	wenigstens		0	
130	die		0	
131	Hände		0	
132	oder		0	
133	schimpfe		0	
134	,		0	
135	oder		0	
136	tue		0	
137	irgend		0	
138	etwas		0	
139	dergleichen		0	
140	,		0	
141	aber		0	
142	stehe		0	
143	nicht		0	
144	so		0	
145	einher		0	
146	wie		0	
147	die		0	
148	stumme		0	
149	Verzweiflung		0	
150	selbst		0	
151	!		0	
152	«		0	
153	Amtsrichter	17	0	(mention_id=17|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
154	Weishaupt	17	0	(mention_id=17|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
155	sprach		0	
156	diese		0	
157	Worte		0	
158	im		0	
159	komischen		0	
160	Zorn		0	
161	zu		0	
162	seinem	18	0	(mention_id=18|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
163	gegenübersitzenden		0	
164	Freund	19	0	(mention_id=19|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
165	,		0	
166	dem		0	
167	Assessor	20	0	(mention_id=20|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
168	Linden	20	0	(mention_id=20|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
169	.		0	
170	Vor		0	
171	ihnen	21	0	(mention_id=21|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
172	auf		0	
173	dem		0	
174	Tische		0	
175	stand		0	
176	eine		0	
177	Rheinweinflasche		0	
178	nebst		0	
179	Gläsern		0	
180	,		0	
181	und		0	
182	auf		0	
183	dieser		0	
184	bereits		0	
185	geleerten		0	
186	Flasche		0	
187	hafteten		0	
188	die		0	
189	Augen		0	
190	des		0	
191	Angeredeten	22	0	(mention_id=22|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
192	mit		0	
193	nachdenklichem		0	
194	Ausdruck		0	
195	,		0	
196	als		0	
197	könne		0	
198	er	23	0	(mention_id=23|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
199	von		0	
200	dem		0	
201	Etikett		0	
202	eine		0	
203	Antwort		0	
204	ablesen		0	
205	.		0	
206	Es		0	
207	war		0	
208	ein		0	
209	großes		0	
210	Zimmer		0	
211	,		0	
212	in		0	
213	dem		0	
214	sich	24	0	(mention_id=24|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
215	die		0	
216	beiden	25	0	(mention_id=25|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
217	befanden		0	
218	,		0	
219	eine		0	
220	Art		0	
221	Gartensaal		0	
222	,		0	
223	unendlich		0	
224	altmodisch		0	
225	und		0	
226	einfach		0	
227	ausgestattet		0	
228	mit		0	
229	zwei		0	
230	birkenen		0	
231	Eckschränken		0	
232	,		0	
233	wie		0	
234	sie	26	0	
235	zu		0	
236	Großmutterzeiten		0	(mention_id=26|references=(entity=(entity_id=generic_0002|fullname=Großmutter|gender=u|specialcase_entity=generic)))
237	die		0	
238	jetzigen		0	
239	vornehmen		0	
240	Kredenztische		0	
241	vertraten		0	
242	und		0	
243	anstatt		0	
244	kostbarer		0	
245	Majoliken		0	
246	die		0	
247	vergoldeten		0	
248	buntbemalten		0	
249	Porzellantassen		0	
250	hinter		0	
251	ihren	27	0	
252	Glasscheiben		0	
253	sehen		0	
254	ließen		0	
255	,		0	
256	mit		0	
257	einem		0	
258	großen		0	
259	Sofa		0	
260	,		0	
261	dessen		0	
262	schwarzer		0	
263	Roßhaarbezug		0	
264	gar		0	
265	keinen		0	
266	Gedanken		0	
267	an		0	
268	ein		0	
269	behaglich-molliges		0	
270	Ruhestündchen		0	
271	aufkommen		0	
272	ließ		0	
273	,		0	
274	mit		0	
275	sechs		0	
276	rührend		0	
277	einfach		0	
278	konstruierten		0	
279	Rohrstühlen		0	
280	,		0	
281	die		0	
282	um		0	
283	den		0	
284	großen		0	
285	Tisch		0	
286	standen		0	
287	,		0	
288	und		0	
289	endlich		0	
290	mit		0	
291	mehr		0	
292	als		0	
293	zweifelhaften		0	
294	Familienporträten		0	
295	,		0	
296	unter		0	
297	denen		0	
298	besonders		0	
299	das		0	
300	Pastellbildnis		0	
301	einer		0	
302	blondgelockten		0	
303	jugendlichen		0	
304	Schönheit	28	0	(mention_id=27|references=(entity=(entity_id=entity_0023|fullname=Pastellbildnis einer blondgelockten jugendlichen Schönheit|gender=f)))
305	auffiel		0	
306	,		0	
307	deren	29	0	(mention_id=28|references=(entity=(entity_id=entity_0023|fullname=Pastellbildnis einer blondgelockten jugendlichen Schönheit|gender=f)))
308	unendlich		0	
309	kleiner		0	
310	Mund		0	
311	wie		0	
312	verlegen		0	
313	lächelte		0	
314	,		0	
315	als		0	
316	wollte		0	
317	sie	30	0	(mention_id=29|references=(entity=(entity_id=entity_0023|fullname=Pastellbildnis einer blondgelockten jugendlichen Schönheit|gender=f)))
318	sagen		0	
319	:		0	
320	»		0	
321	Glaubt		0	
322	mir	31	0	(mention_id=30|references=(entity=(entity_id=entity_0023|fullname=Pastellbildnis einer blondgelockten jugendlichen Schönheit|gender=f)))
323	nur		0	
324	,		0	
325	ganz		0	
326	so		0	
327	dumm		0	
328	habe		0	
329	ich	32	0	(mention_id=31|references=(entity=(entity_id=entity_0023|fullname=Pastellbildnis einer blondgelockten jugendlichen Schönheit|gender=f)))
330	in		0	
331	Wirklichkeit		0	
332	nicht		0	
333	ausgesehen		0	
334	!		0	
335	«		0	
336	Und		0	
337	über		0	
338	all		0	
339	dieses		0	
340	verbreiteten		0	
341	orangegelbe		0	
342	Fenstervorhänge		0	
343	ein		0	
344	eigentümlich		0	
345	unangenehmes		0	
346	Licht		0	
347	.		0	
348	Die		0	
349	Tür		0	
350	des		0	
351	Zimmers		0	
352	stand		0	
353	geöffnet		0	
354	und		0	
355	,		0	
356	wie		0	
357	entschädigend		0	
358	für		0	
359	alle		0	
360	Geschmacklosigkeiten		0	
361	,		0	
362	bot		0	
363	sich		0	
364	dem		0	
365	Auge		0	
366	eine		0	
367	wunderliebliche		0	
368	Aussicht		0	
369	.		0	
370	Hohe		0	
371	,		0	
372	bewaldete		0	
373	Bergkuppen		0	
374	,		0	
375	mit		0	
376	üppigem		0	
377	Laubwald		0	
378	bedeckt		0	
379	,		0	
380	dessen		0	
381	ernstes		0	
382	Grün		0	
383	der		0	
384	Herbst		0	
385	schon		0	
386	in		0	
387	leuchtende		0	
388	Farben		0	
389	verwandelt		0	
390	hatte		0	
391	,		0	
392	bildeten		0	
393	den		0	
394	Hintergrund		0	
395	.		0	
