i	token	mention	gold
118085	Zweites		
118086	Kapitel		
118087	.		
118088	Daß		
118089	unser	13749	(mention_id=13946|references=(entity=(entity_id=entity_0007|fullname=Erzählinstanz|gender=u)),(entity=(entity_id=entity_0008|fullname=Leser|gender=u)))
118090	Held	13750	(mention_id=13947|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118091	vierundzwanzig		
118092	Stunden		
118093	nach		
118094	diesem		
118095	Briefe		
118096	seinen	13751	(mention_id=13948|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118097	Grundbesitz		
118098	erworben		
118099	haben		
118100	würde		
118101	,		
118102	ahnte		
118103	ihm	13752	(mention_id=13949|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118104	in		
118105	jenem		
118106	Augenblicke		
118107	nicht		
118108	im		
118109	mindesten		
118110	noch		
118111	.		
118112	Der		
118113	wichtigste		
118114	Moment		
118115	,		
118116	der		
118117	eigentliche		
118118	Zielund		
118119	Mittelpunkt		
118120	seiner	13753	(mention_id=13950|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118121	amerikanischen		
118122	Reise		
118123	überraschte		
118124	ihn	13754	(mention_id=13951|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118125	so		
118126	—		
118127	wie		
118128	die		
118129	flüchtigste		
118130	Episode		
118131	eines		
118132	Wandertags		
118133	,		
118134	ja		
118135	,		
118136	fast		
118137	wie		
118138	ein		
118139	Stein		
118140	des		
118141	Anstoßes		
118142	am		
118143	Wege		
118144	.		
118145	Wir	13755	(mention_id=13952|references=(entity=(entity_id=entity_0007|fullname=Erzählinstanz|gender=u)))
118146	könnten		
118147	das		
118148	Ereigniß		
118149	wieder		
118150	aus		
118151	seinen	13756	(mention_id=13953|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118152	Briefen		
118153	erzählen		
118154	,		
118155	haben		
118156	aber		
118157	Grund		
118158	es		
118159	diesmal		
118160	nicht		
118161	zu		
118162	thun		
118163	.		
118164	Denn		
118165	da		
118166	es		
118167	unmittelbar		
118168	ein		
118169	Act		
118170	der		
118171	Großmuth		
118172	war		
118173	,		
118174	und		
118175	unser	13757	(mention_id=13954|references=(entity=(entity_id=entity_0007|fullname=Erzählinstanz|gender=u)),(entity=(entity_id=entity_0008|fullname=Leser|gender=u)))
118176	Freund	13758	(mention_id=13955|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118177	edel		
118178	genug		
118179	dachte		
118180	,		
118181	dieses		
118182	Umstands		
118183	mit		
118184	keiner		
118185	Sylbe		
118186	zu		
118187	erwähnen		
118188	,		
118189	so		
118190	würde		
118191	der		
118192	Briefton		
118193	nicht		
118194	nur		
118195	zur		
118196	Wiedergabe		
118197	der		
118198	eigentlichen		
118199	Gemüthsfärbung		
118200	nicht		
118201	beitragen		
118202	,		
118203	sondern		
118204	die		
118205	geschichtliche		
118206	Thatsache		
118207	selbst		
118208	wesentlich		
118209	entformen		
118210	.		
118211	Moorfeld	13759	(mention_id=13956|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118212	ritt		
118213	also		
118214	von		
118215	Pittsburg		
118216	die		
118217	schönen		
118218	Ufer		
118219	des		
118220	Ohio		
118221	hinab		
118222	.		
118223	Als		
118224	er	13760	(mention_id=13957|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118225	die		
118226	Gränze		
118227	Pennsylvaniens		
118228	bei		
118229	Beaver		
118230	erreichte		
118231	,		
118232	las		
118233	er	13761	(mention_id=13958|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118234	in		
118235	einem		
118236	Localblatte		
118237	dieser		
118238	Stadt		
118239	daß		
118240	in		
118241	einem		
118242	benachbarten		
118243	Orte		
118244	,		
118245	der		
118246	aber		
118247	schon		
118248	dem		
118249	Staate		
118250	Ohio		
118251	angehörte		
118252	und		
118253	sich		
118254	sehr		
118255	großartig		
118256	Neu-Lissabon		
118257	nannte		
118258	,		
118259	eine		
118260	Landauction		
118261	oder		
118262	sogenannter		
118263	Sheriff		
118264	sale		
118265	abgehalten		
118266	würde		
118267	.		
118268	Um		
118269	sich	13762	(mention_id=13959|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118270	eine		
118271	solche		
118272	Scene		
118273	„		
118274	einstweilen		
118275	“		
118276	,		
118277	wie		
118278	er	13763	(mention_id=13960|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118279	dachte		
118280	,		
118281	mit		
118282	anzusehen		
118283	,		
118284	wandte		
118285	er	13764	(mention_id=13961|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118286	nun		
118287	in		
118288	Beaver		
118289	vom		
118290	Flußthale		
118291	des		
118292	Ohio		
118293	sein	13765	(mention_id=13962|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118294	Pferd		
118295	ab		
118296	und		
118297	begab		
118298	sich	13766	(mention_id=13963|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118299	landeinwärts		
118300	auf		
118301	die		
118302	Straße		
118303	nach		
118304	New-Lisbon		
118305	.		
118306	Bald		
118307	verschwanden		
118308	die		
118309	Höhen		
118310	des		
118311	Ohio		
118312	mit		
118313	ihren		
118314	laubreichen		
118315	Eichwaldungen		
118316	hinter		
118317	seinem		(mention_id=13964|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118318	Rücken		
118319	und		
118320	das		
118321	Land		
118322	fing		
118323	an		
118324	,		
118325	in		
118326	niedrig		
118327	gestreckten		
118328	Hügelwellen		
118329	sich		
118330	abzuflachen		
118331	.		
118332	An		
118333	die		
118334	Stelle		
118335	des		
118336	Eichwuchses		
118337	traten		
118338	Weiden		
118339	,		
118340	Pappeln		
118341	und		
118342	Cypressen		
118343	,		
118344	welche		
118345	einen		
118346	Sumpfboden		
118347	bewaldeten		
118348	,		
118349	der		
118350	vielleicht		
118351	fruchtbar		
118352	,		
118353	vielleicht		
118354	auch		
118355	ungesund		
118356	war		
118357	.		
118358	Dazwischen		
118359	lagen		
118360	wie		
118361	Inseln		
118362	und		
118363	Halbinseln		
118364	dürre		
118365	Sandstriche		
118366	,		
118367	die		
118368	ihre		
118369	sterile		
118370	Natur		
118371	in		
118372	traurig-eintönigen		
118373	Fichtenwaldungen		
118374	ausdrückten		
118375	.		
118376	Die		
118377	Gegend		
118378	war		
118379	einsam		
118380	und		
118381	nichts		
118382	verrieth		
118383	die		
118384	Nähe		
118385	einer		
118386	Stadt		
118387	.		
118388	Im		
118389	halbgelichteten		
118390	Walddunkel		
118391	erblickte		
118392	der		
118393	Reisende	13767	(mention_id=13965|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118394	hin		
118395	und		
118396	wieder		
118397	einen		
118398	aufgeschichteten		
118399	Haufen		
118400	von		
118401	Baumstücken		
118402	,		
118403	welcher		
118404	im		
118405	Innern		
118406	hohl		
118407	war		
118408	und		
118409	eine		
118410	menschliche		
118411	Hütte		
118412	vorstellte		
118413	.		
118414	Gluckte		
118415	ein		
118416	Huhn		
118417	,		
118418	oder		
118419	grunzte		
118420	ein		
118421	Schwein		
118422	an		
118423	solchen		
118424	Grabes		
118425	Einöden		
118426	,		
118427	so		
118428	wurde		
118429	der		
118430	Localton		
118431	schon		
118432	sehr		
118433	warm		
118434	dadurch		
118435	.		
118436	Aber		
118437	plötzlich		
118438	singen		
118439	diese		
118440	Blockhäuser		
118441	an		
118442	einer		
118443	Stelle		
118444	,		
118445	wo		
118446	sie		
118447	etwas		
118448	dichter		
118449	standen		
118450	,		
118451	an		
118452	,		
118453	sich		
118454	Lissabon		
118455	zu		
118456	nennen		
118457	.		
118458	Es		
118459	war		
118460	eine		
118461	Ueberraschung		
118462	der		
118463	traurigsten		
118464	Art		
118465	,		
118466	als		
118467	sich	13768	(mention_id=13966|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118468	Moorfeld	13769	(mention_id=13967|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118469	nach		
118470	einer		
118471	Passage		
118472	durch		
118473	einen		
118474	hochstämmigen		
118475	Fichtenstrich		
118476	auf		
118477	einmal		
118478	im		
118479	Angesichte		
118480	dieser		
118481	sogenannten		
118482	Stadt		
118483	befand		
118484	.		
118485	Die		
118486	Sonne		
118487	verbreitete		
118488	ihr		
118489	Licht		
118490	über		
118491	eine		
118492	elende		
118493	Wüste		
118494	von		
118495	dürrem		
118496	Gras		
118497	,		
118498	trübseligen		
118499	Weiden		
118500	und		
118501	schmutzigen		
118502	Hütten		
118503	,		
118504	deren		
118505	Anblick		
118506	eher		
118507	einer		
118508	Colonie	13770	
118509	von		
118510	Selbstmördern	13771	(mention_id=13968|references=(entity=(entity_id=generic_4827|fullname=generic_1172|gender=u|specialcase_entity=generic)))
118511	glich		
118512	,		
118513	welche	13772	(mention_id=13969|references=(entity=(entity_id=generic_4828|fullname=generic_1173|gender=u|specialcase_entity=generic)))
118514	blos		
118515	zwischen		
118516	dem		
118517	Strick		
118518	und		
118519	dieser		
118520	Existenz		
118521	gewählt		
118522	hatten		
118523	.		
118524	Die		
118525	Vegetation		
118526	war		
118527	weit		
118528	und		
118529	breit		
118530	herum		
118531	mulsterig		
118532	,		
118533	übelriechend		
118534	und		
118535	von		
118536	jenem		
118537	eklen		
118538	Grün		
118539	,		
118540	wie		
118541	es		
118542	etwa		
118543	die		
118544	faule		
118545	Pflanzendecke		
118546	auf		
118547	stehenden		
118548	Wassern		
118549	zeigt		
118550	.		
118551	Die		
118552	Fußstapfen		
118553	der		
118554	Pferdehufe		
118555	oder		
118556	die		
118557	Wagenspuren		
118558	in		
118559	dem		
118560	schwammigen		
118561	Boden		
118562	standen		
118563	von		
118564	Pilzen		
118565	voll		
118566	,		
118567	ja		
118568	Moorfeld	13773	(mention_id=13970|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118569	konnte		
118570	Schwämme		
118571	und		
118572	Pilze		
118573	noch		
118574	reichlich		
118575	an		
118576	den		
118577	Wohnhäusern		
118578	sehen		
118579	,		
118580	wo		
118581	sie		
118582	aus		
118583	den		
118584	Ritzen		
118585	der		
118586	Wände		
118587	wie		
118588	Hexenkorallen		
118589	in		
118590	ganzen		
118591	Schnüren		
118592	und		
118593	Ketten		
118594	hervorquollen		
118595	.		
118596	Es		
118597	war		
118598	ein		
118599	schauderhafter		
118600	Fleck		
118601	Erde		
118602	:		
118603	weder		
118604	Wald		
118605	,		
118606	noch		
118607	Sumpf		
118608	,		
118609	noch		
118610	Haide		
118611	,		
118612	das		
118613	Ganze		
118614	schien		
118615	wie		
118616	ein		
118617	ungesunder		
118618	Magen		
118619	,		
118620	der		
118621	Essig		
118622	und		
118623	Calomel		
118624	getrunken		
118625	,		
118626	und		
118627	den		
118628	Anblick		
118629	seiner		
118630	inneren		
118631	Scenerie		
118632	an		
118633	die		
118634	Sonne		
118635	gewendet		
118636	hat		
118637	.		
118638	Solche		
118639	Stellen		
118640	konnte		
118641	im		
118642	praktischen		
118643	Amerika		
118644	nur		
118645	der		
118646	Humbug		
118647	besiedeln		
118648	.		
118649	Der		
118650	erste		
118651	Anbauer	13774	(mention_id=13971|references=(entity=(entity_id=entity_0792|fullname=Anbauer|gender=u|specialcase_entity=group)))
118652	hat		
118653	sein	13775	(mention_id=13972|references=(entity=(entity_id=entity_0792|fullname=Anbauer|gender=u|specialcase_entity=group)))
118654	Land		
118655	durch		
118656	Agentur		
118657	,		
118658	vielleicht		
118659	schon		
118660	in		
118661	Europa		
118662	,		
118663	gekauft		
118664	,		
118665	und		
118666	war		
118667	er	13776	(mention_id=13973|references=(entity=(entity_id=entity_0792|fullname=Anbauer|gender=u|specialcase_entity=group)))
118668	nicht		
118669	in		
118670	der		
118671	Lage		
118672	,		
118673	den		
118674	Verlust		
118675	zu		
118676	tragen		
118677	,		
118678	indem		
118679	er	13777	(mention_id=13974|references=(entity=(entity_id=entity_0792|fullname=Anbauer|gender=u|specialcase_entity=group)))
118680	es		
118681	wieder		
118682	aufgab		
118683	,		
118684	so		
118685	konnte		
118686	er	13778	(mention_id=13975|references=(entity=(entity_id=entity_0792|fullname=Anbauer|gender=u|specialcase_entity=group)))
118687	nur		
118688	vom		
118689	raschesten		
118690	Menschenzuwachs		
118691	Verbesserung		
118692	hoffen		
118693	.		
118694	Er	13779	(mention_id=13976|references=(entity=(entity_id=entity_0792|fullname=Anbauer|gender=u|specialcase_entity=group)))
118695	verführte		
118696	also		
118697	Andere	13780	(mention_id=13977|references=(entity=(entity_id=entity_0804|fullname=Andere Anbauer|gender=u|specialcase_entity=group)))
118698	,		
118699	welche	13781	(mention_id=13978|references=(entity=(entity_id=entity_0804|fullname=Andere Anbauer|gender=u|specialcase_entity=group)))
118700	in		
118701	der		
118702	gleichen		
118703	Lage		
118704	wieder		
118705	Andere	13782	(mention_id=13979|references=(entity=(entity_id=entity_0824|fullname=Wieder Andere Anbauer|gender=u|specialcase_entity=group)))
118706	verführten		
118707	;		
118708	so		
118709	verwandelte		
118710	sich		
118711	der		
118712	krankhafte		
118713	Landstrich		
118714	in		
118715	einen		
118716	Stadtbauplatz		
118717	und		
118718	auf		
118719	seiner		
118720	Oberfläche		
118721	schwebt		
118722	jetzt		
118723	eine		
118724	Anzahl		
118725	von		
118726	Menschen	13783	(mention_id=13980|references=(entity=(entity_id=entity_0800|fullname=Menschen in NeuLissabon|gender=u|specialcase_entity=group)))
118727	eine		
118728	Zeit		
118729	lang		
118730	zwischen		
118731	Tod		
118732	und		
118733	Leben		
118734	,		
118735	bis		
118736	es		
118737	sich		
118738	bleibend		
118739	entscheidet		
118740	,		
118741	ob		
118742	der		
118743	Ausfluß		
118744	des		
118745	Bodens		
118746	oder		
118747	der		
118748	Einfluß		
118749	des		
118750	Menschen	13784	(mention_id=13981|references=(entity=(entity_id=entity_0800|fullname=Menschen in NeuLissabon|gender=u|specialcase_entity=group)))
118751	die		
118752	Oberhand		
118753	davon		
118754	trägt		
118755	.		
118756	Siegt		
118757	der		
118758	Mensch	13785	(mention_id=13982|references=(entity=(entity_id=entity_0800|fullname=Menschen in NeuLissabon|gender=u|specialcase_entity=group)))
118759	,		
118760	so		
118761	wird		
118762	mit		
118763	Posaunenstößen		
118764	die		
118765	wunderbare		
118766	Culturkraft		
118767	des		
118768	Amerikaners	13786	(mention_id=13983|references=(entity=(entity_id=generic_4829|fullname=generic_1174|gender=u|specialcase_entity=generic)))
118769	durch		
118770	die		
118771	Welt		
118772	verkündigt		
118773	;		
118774	siegt		
118775	das		
118776	Naturgift		
118777	,		
118778	so		
118779	begräbt		
118780	eine		
118781	Handvoll		
118782	von		
118783	Humbugern	13787	(mention_id=13984|references=(entity=(entity_id=generic_4830|fullname=generic_1175|gender=u|specialcase_entity=generic)))
118784	im		
118785	tiefsten		
118786	Stillschweigen		
118787	seine		(mention_id=13985|references=(entity=(entity_id=generic_4831|fullname=generic_1176|gender=u|specialcase_entity=generic)))
118788	Leichen		
118789	,		
118790	während		
118791	der		
118792	Ueberrest		
118793	im		
118794	tiefsten		
118795	Stillschweigen		
118796	abzieht		
118797	,		
118798	—		
118799	Gras		
118800	wächst		
118801	über		
118802	die		
118803	Stätte		
118804	und		
118805	ihrer		
118806	wird		
118807	nicht		
118808	mehr		
118809	gedacht		
118810	.		
118811	Dies		
118812	waren		
118813	Moorfeld's	13788	(mention_id=13986|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118814	Betrachtungen		
118815	,		
118816	als		
118817	er	13789	(mention_id=13987|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118818	den		
