i	token	is_section_start	gold	pred
24400	6.	1		
24401	Acht	0		
24402	Tage	0		
24403	später	0		
24404	kehrten	0		
24405	die	0		
24406	Eisenschimmel	0		(mention_id=3396|references=(entity=(entity_id=31|fullname=die Eisenschimmel|gender=mf|specialcase_entity=group)))
24407	mit	0		
24408	dem	0		
24409	geschlossenen	0		
24410	Wagen	0		
24411	im	0		
24412	scharfen	0		
24413	Trabe	0		
24414	vom	0		
24415	Kirchhofe	0		
24416	zurück	0		
24417	.	0		
24418	Im	0		
24419	Fond	0		
24420	saß	0		
24421	neben	0		
24422	dem	0		
24423	Onkel	0	(mention_id=3398|references=(entity=(entity_id=entity_0008|fullname=Onkel Heinrich|gender=m)))	(mention_id=3397|references=(entity=(entity_id=17|fullname=Onkel Heinrich|gender=m)))
24424	Artur	0	(mention_id=3399|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))	(mention_id=3398|references=(entity=(entity_id=1|fullname=Artur Fredrich|gender=m)))
24425	Fredrich	0	(mention_id=3399|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))	(mention_id=3398|references=(entity=(entity_id=1|fullname=Artur Fredrich|gender=m)))
24426	mit	0		
24427	verweinten	0		
24428	Augen	0		
24429	;	0		
24430	gegenüber	0		
24431	Linden	0	(mention_id=3400|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=3399|references=(entity=(entity_id=11|fullname=Linden|gender=m)))
24432	.	0		
24433	Sie	0	(mention_id=3401|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)),(entity=(entity_id=entity_0008|fullname=Onkel Heinrich|gender=m)))	(mention_id=3400|references=(entity=(entity_id=11|fullname=Linden|gender=m)))
24434	hatten	0		
24435	Trauerflor	0		
24436	um	0		
24437	die	0		
24438	Hüte	0		
24439	und	0		
24440	Trauerflor	0		
24441	am	0		
24442	linken	0		
24443	Arm	0		
24444	.	0		
24445	Der	0		
24446	Winter	0		
24447	war	0		
24448	vor	0		
24449	dem	0		
24450	Scheiden	0		
24451	noch	0		
24452	einmal	0		
24453	in	0		
24454	voller	0		
24455	Herrlichkeit	0		
24456	erschienen	0		
24457	.	0		
24458	Es	0		
24459	schneite	0		
24460	,	0		
