ID_general;fullname;gender;possible_identity_with;members;members_names;specialcase;borderline_entity;comment_entity;ID_chapter_1;ID_chapter_2;ID_chapter_3;ID_chapter_4;ID_chapter_5;ID_chapter_6
entity_0001;Herausgeber;u;;;;;;;Herausgeber;;;;;
entity_0002;Gustav von S.;m;;;;;;;;Gustav;Gustav;Gustav;Gustav;Gustav
entity_0003;Marie;f;;;;;;;;Marie;Marie;Marie;;Marie
entity_0004;Heinrich;m;;;;;;;;Heinrich;Heinrich;Heinrich;Heinrich;Heinrich
entity_0005;Maries Mutter;f;;;;;;;;Maries Begleiterin;Mutter von Marie;;;Maries Mutter
entity_0006;Gustavs Tante;f;;;;;;;;Tante;Gustavs Tante;;Tante;
entity_0007;Wirtin;f;;;;;;;;Wirtin;;;;
entity_0008;Kammerjungfer;f;;;;;;;;Kammerjungfer;;;Röschen;Röschen
entity_0009;Bote;m;;;;;;;;Bote;;;;
entity_0010;Pächter;m;;;;;;;;Pächter;;;;
entity_0011;Ludwig;m;;;;;;;;Ludwig;;;;
entity_0012;Arzt;m;;;;;;;;Arzt;Arzt;;;Gustavs Arzt
entity_0013;Chirurg;m;;;;;;;;Chirurg;;;;
entity_0014;Frau des Pächters;f;;;;;;;;Frau des Pächters;;;;
entity_0015;Gustavs Vormünder;m;;x;x;group;;;;Gustavs Vormünder;;;;
entity_0016;Kinder;u;;x;x;group;;;;Kinder;;;;
entity_0017;Gustavs Eltern;mf;;x;x;group;;;;Gustavs Eltern;;;;
entity_0018;Sophie;f;;;;;;;;;Sophie;Sophie;;Sophie
entity_0019;Gustavs Nachbar bei Ball;m;;;;;;;;;Gustavs Nachbar bei Ball;;;
entity_0020;Freund der Tante;m;;;;;;;;;Freund der Tante;;;
entity_0021;Hofmeister;m;;;;;;;;;Hofmeister;;;
entity_0022;eine Frau in Berlin;f;;;;;;;;;eine Frau in Berlin;;;
entity_0023;Gesellschaft bei Ms.;u;;x;x;group;;;;;Gesellschaft bei Ms.;;;
entity_0024;Blühende Mädchen bei Ball in Berlin;f;;x;x;group;;;;;Blühende Mädchen bei Ball in Berlin;;;
entity_0025;Bekannte von Gustav in Berlin;u;;x;x;group;;;;;Bekannte von Gustav in Berlin;;;
entity_0026;Schöne Frauen bei Ball in Berlin;f;;x;x;group;;;;;Schöne Frauen bei Ball in Berlin;;;
entity_0027;R. (Sophies Vater);m;;;;;;;;;R. (Sophies Vater);;;
entity_0028;Bekannte von Gustav in Berlin 2;u;;x;x;group;;;;;Bekannte von Gustav in Berlin 2;;;
entity_0029;Ms.;f;;;;;;;;;Ms.;;;
entity_0030;Junge Männer bei Ball in Berlin;m;;x;x;group;;;;;Junge Männer bei Ball in Berlin;;;
entity_0031;Freundin von Sophie;f;;;;;;;;;Freundin von Sophie;;;
entity_0032;Junge Leute bei Ball in Berlin;u;;x;x;group;;;;;Junge Leute bei Ball in Berlin;;;
