i	token	mention	is_section_start	gold
59633	Achtzehntes		1	
59634	Kapitel		0	
59635	.		0	
59636	Schon		0	
59637	am		0	
59638	nächsten		0	
59639	Abend		0	
59640	konnte		0	
59641	Schneckenkaschper	9392	0	(mention_id=9322|references=(entity=(entity_id=entity_0006|fullname=Kaspar|gender=m)))
59642	auf		0	
59643	dem		0	
59644	Abtshofe		0	
59645	melden		0	
59646	,		0	
59647	daß		0	
59648	der		0	
59649	Fremde	9393	0	(mention_id=9323|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
59650	im		0	
59651	Gasthause		0	
59652	zur		0	
59653	goldenen		0	
59654	Traube		0	
59655	wohnte		0	
59656	,		0	
59657	in		0	
59658	das		0	
59659	er	9394	0	(mention_id=9324|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
59660	auch		0	
59661	soeben		0	
59662	seinen	9395	0	(mention_id=9325|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
59663	Großvater	9396	0	(mention_id=9326|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
59664	hätte		0	
59665	hineingehen		0	
59666	sehen		0	
59667	.		0	
59668	»		0	
59669	Natürlich		0	
59670	wieder		0	
59671	Hammichel	9397	0	(mention_id=9327|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
59672	,		0	
59673	der	9398	0	(mention_id=9328|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
59674	sich	9399	0	(mention_id=9329|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
59675	dem		0	
59676	Abgesandten	9400	0	(mention_id=9330|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))
59677	sofort		0	
59678	als		0	
59679	Bundesgenosse	9401	0	(mention_id=9331|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
59680	zur		0	
59681	Verfügung		0	
59682	stellt		0	
59683	,		0	
59684	«		0	
59685	sprach		0	
59686	der		0	
59687	Bürgermeister	9402	0	(mention_id=9332|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
59688	.		0	
59689	Die		0	
59690	beiden		0	
59691	Mädchen	9403	0	(mention_id=9333|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)),(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))
59692	waren		0	
59693	nicht		0	
59694	zugegen		0	
59695	,		0	
59696	wohl		0	
59697	aber		0	
59698	Madlen	9404	0	(mention_id=9334|references=(entity=(entity_id=entity_0003|fullname=Magdalene Armbruster|gender=f)))
59699	,		0	
59700	die	9405	0	(mention_id=9335|references=(entity=(entity_id=entity_0003|fullname=Magdalene Armbruster|gender=f)))
59701	nun		0	
59702	sagte		0	
59703	:		0	
59704	»		0	
59705	Wie		0	
59706	mögen		0	
