i	text	is_section_start	gold
0	Caroline	1	
1	Auguste	0	
2	Fischer	0	
3	Gustavs	0	
4	Verirrungen	0	
5	Ein	0	
6	Roman	0	
7	[	0	
8	Vorbemerkung	0	
9	]	0	
10	Man	0	(mention_id=1|references=(entity=(entity_id=generic_0001|fullname=generic_0001|gender=u|specialcase_entity=generic)))
11	erzählt	0	
12	uns	0	(mention_id=2|references=(entity=(entity_id=generic_0002|fullname=generic_0002|gender=u|specialcase_entity=generic)))
13	oft	0	
14	,	0	
15	was	0	
16	die	0	
17	Menschen	0	(mention_id=3|references=(entity=(entity_id=generic_0003|fullname=generic_0003|gender=u|specialcase_entity=generic)))
18	sind	0	
19	;	0	
20	man	0	(mention_id=4|references=(entity=(entity_id=generic_0004|fullname=generic_0004|gender=u|specialcase_entity=generic)))
21	beschreibt	0	
22	uns	0	(mention_id=5|references=(entity=(entity_id=generic_0005|fullname=generic_0005|gender=u|specialcase_entity=generic)))
23	noch	0	
24	öfter	0	
25	–	0	
26	vielleicht	0	
27	ein	0	
28	wenig	0	
29	zu	0	
30	oft	0	
31	wie	0	
32	sie	0	(mention_id=6|references=(entity=(entity_id=generic_0006|fullname=generic_0006|gender=u|specialcase_entity=generic)))
33	seyn	0	
34	sollen	0	
35	;	0	
36	aber	0	
37	man	0	(mention_id=7|references=(entity=(entity_id=generic_0007|fullname=generic_0007|gender=u|specialcase_entity=generic)))
38	sagt	0	
39	uns	0	
40	,	0	
41	wie	0	
42	mich	0	(mention_id=8|references=(entity=(entity_id=entity_0001|fullname=Herausgeber|gender=u)))
43	dünkt	0	
44	,	0	
45	noch	0	
46	immer	0	
47	nicht	0	
48	oft	0	
49	genug	0	
50	:	0	
51	auf	0	
52	welche	0	
53	Weise	0	
54	sie	0	(mention_id=9|references=(entity=(entity_id=generic_0008|fullname=generic_0008|gender=u|specialcase_entity=generic)))
55	das	0	
56	werden	0	
57	,	0	
58	was	0	
59	sie	0	(mention_id=10|references=(entity=(entity_id=generic_0009|fullname=generic_0009|gender=u|specialcase_entity=generic)))
60	sind	0	
61	.	0	
62	Ist	0	
63	diese	0	
64	letzte	0	
65	Bemerkung	0	
66	richtig	0	
67	,	0	
68	so	0	
69	hoffe	0	
70	ich	0	(mention_id=11|references=(entity=(entity_id=entity_0001|fullname=Herausgeber|gender=u)))
71	,	0	
72	sie	0	
73	werde	0	
74	eine	0	
75	Entschuldigung	0	
76	für	0	
77	die	0	
78	Herausgabe	0	
79	des	0	
80	gegenwärtigen	0	
81	kleinen	0	
82	Romans	0	
83	enthalten	0	
84	.	0	
85	Erstes	1	
86	Buch	0	
87	Erstes	0	
88	Kapitel	0	
89	Ich	0	(mention_id=12|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
90	war	0	
91	achtzehn	0	
92	Jahr	0	
93	alt	0	
94	,	0	
95	und	0	
96	die	0	
97	ganze	0	
98	Welt	0	
99	lag	0	
100	wie	0	
101	ein	0	
102	Paradies	0	
103	vor	0	
104	mir	0	(mention_id=13|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
105	.	0	
106	Meine	0	(mention_id=14|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
107	Familie	0	
108	,	0	
109	meine	0	(mention_id=15|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
110	Figur	0	
111	,	0	
112	mein	0	(mention_id=16|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
113	Vermögen	0	
114	,	0	
115	alles	0	
116	versprach	0	
117	mir	0	(mention_id=17|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
118	die	0	
119	glänzendsten	0	
120	Aussichten	0	
121	.	0	
122	Meine	0	(mention_id=18|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
123	Aeltern	0	(mention_id=19|references=(entity=(entity_id=entity_0017|fullname=Gustavs Eltern|gender=mf|specialcase_entity=group)))
124	waren	0	
125	sehr	0	
126	frühzeitig	0	
127	gestorben	0	
128	,	0	
129	und	0	
130	ich	0	(mention_id=20|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
131	wurde	0	
132	bey	0	
133	einer	0	
134	Tante	0	(mention_id=21|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
135	erzogen	0	
136	.	0	
137	Sie	0	(mention_id=22|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
138	war	0	
139	seit	0	
140	vielen	0	
141	Jahren	0	
142	Wittwe	0	(mention_id=23|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
143	und	0	
144	außerordentlich	0	
145	reich	0	
146	.	0	
147	Meine	0	(mention_id=24|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
148	Vormünder	0	(mention_id=25|references=(entity=(entity_id=entity_0015|fullname=Gustavs Vormünder|gender=m|specialcase_entity=group)))
149	hatten	0	
150	mich	0	(mention_id=26|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
151	ihr	0	(mention_id=27|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
152	gänzlich	0	
153	überlassen	0	
154	,	0	
155	und	0	
156	sie	0	(mention_id=28|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
157	machte	0	
158	ihren	0	(mention_id=29|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
159	Abgott	0	(mention_id=30|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
160	aus	0	
161	mir	0	(mention_id=31|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
162	.	0	
163	Meine	0	(mention_id=32|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
164	Figur	0	
165	war	0	
166	bezaubernd	0	
167	,	0	
168	und	0	
169	ich	0	(mention_id=33|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
170	floß	0	
171	von	0	
172	Gesundheit	0	
173	über	0	
174	.	0	
175	Ich	0	(mention_id=34|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
176	schien	0	
177	alle	0	
178	Reitze	0	
179	der	0	
180	Jugend	0	
181	und	0	
182	die	0	
183	ganze	0	
184	Kraft	0	
185	eines	0	
186	Mannes	0	(mention_id=35|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
187	zu	0	
188	haben	0	
189	.	0	
190	Aber	0	
191	mein	0	(mention_id=36|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
192	Temperament	0	
193	war	0	
194	noch	0	
195	unentwickelt	0	
196	,	0	
197	und	0	
198	ein	0	
199	rasches	0	
200	Pferd	0	
201	war	0	
202	mir	0	(mention_id=37|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
203	lieber	0	
204	,	0	
205	als	0	
206	alle	0	
207	Mädchen	0	(mention_id=38|references=(entity=(entity_id=generic_0010|fullname=generic_0010|gender=u|specialcase_entity=generic)))
208	in	0	
209	der	0	
210	Welt	0	
211	.	0	
212	Doch	0	
213	die	0	
214	Natur	0	
215	blieb	0	
216	ihrem	0	
217	Plane	0	
218	getreu	0	
219	,	0	
220	und	0	
221	mein	0	(mention_id=39|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
222	ganzes	0	
223	Wesen	0	
224	verwandelte	0	
225	sich	0	
226	.	0	
227	Ein	0	
228	neues	0	
229	Blut	0	
230	schien	0	
231	meine	0	(mention_id=40|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
232	Adern	0	
233	zu	0	
234	durchströhmen	0	
235	,	0	
236	ein	0	
237	neues	0	
238	Herz	0	
239	in	0	
240	meiner	0	(mention_id=41|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
241	Brust	0	
242	zu	0	
243	klopfen	0	
244	.	0	
245	Alle	0	
246	Bilder	0	
247	des	0	
248	Lebens	0	
249	schienen	0	
250	mir	0	(mention_id=42|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
251	gleichsam	0	
252	aus	0	
253	der	0	
254	Dämmerung	0	
255	hervorzutreten	0	
256	,	0	
257	und	0	
258	eine	0	
259	Menge	0	
260	unbekannter	0	
261	Empfindungen	0	
262	wachten	0	
263	plötzlich	0	
264	in	0	
265	meiner	0	(mention_id=43|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
266	Seele	0	
