i	token	is_section_start	gold	pred
41714	Achtzehntes	1		
41715	Kapitel	0		
41716	Daß	0		
41717	jener	0	(mention_id=5485|references=(entity=(entity_id=entity_0021|fullname=Mittler|gender=m)))	
41718	wunderlich	0		
41719	tätige	0		
41720	Mann	0	(mention_id=5486|references=(entity=(entity_id=entity_0021|fullname=Mittler|gender=m)))	(mention_id=5537|references=(entity=(entity_id=26|fullname=der tätige Mann|gender=m)))
41721	,	0		
41722	den	0	(mention_id=5487|references=(entity=(entity_id=entity_0021|fullname=Mittler|gender=m)))	(mention_id=5538|references=(entity=(entity_id=26|fullname=der tätige Mann|gender=m)))
41723	wir	0	(mention_id=5488|references=(entity=(entity_id=entity_0016|fullname=Erzählinstanz|gender=u)))	(mention_id=5539|references=(entity=(entity_id=47|fullname=wir|gender=mf)))
41724	bereits	0		
41725	kennengelernt	0		
41726	,	0		
41727	daß	0		
41728	Mittler	0	(mention_id=5489|references=(entity=(entity_id=entity_0021|fullname=Mittler|gender=m)))	(mention_id=5540|references=(entity=(entity_id=9|fullname=Mittler|gender=m)))
41729	,	0		
41730	nachdem	0		
41731	er	0	(mention_id=5490|references=(entity=(entity_id=entity_0021|fullname=Mittler|gender=m)))	(mention_id=5541|references=(entity=(entity_id=9|fullname=Mittler|gender=m)))
41732	von	0		
41733	dem	0		
41734	Unheil	0		
41735	,	0		
41736	das	0		
41737	unter	0		
41738	diesen	0		
41739	Freunden	0	(mention_id=5491|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=5542|references=(entity=(entity_id=30|fullname=diese Freunde|gender=u|specialcase_entity=group)))
41740	ausgebrochen	0		
41741	,	0		
41742	Nachricht	0		
41743	erhalten	0		
41744	,	0		
41745	obgleich	0		
41746	kein	0		
41747	Teil	0		
41748	noch	0		
41749	seine	0	(mention_id=5492|references=(entity=(entity_id=entity_0021|fullname=Mittler|gender=m)))	(mention_id=5543|references=(entity=(entity_id=9|fullname=Mittler|gender=m)))
41750	Hülfe	0		
41751	angerufen	0		
41752	,	0		
41753	in	0		
41754	diesem	0		
41755	Falle	0		
41756	seine	0	(mention_id=5493|references=(entity=(entity_id=entity_0021|fullname=Mittler|gender=m)))	(mention_id=5544|references=(entity=(entity_id=9|fullname=Mittler|gender=m)))
41757	Freundschaft	0		
41758	,	0		
41759	seine	0	(mention_id=5494|references=(entity=(entity_id=entity_0021|fullname=Mittler|gender=m)))	(mention_id=5545|references=(entity=(entity_id=9|fullname=Mittler|gender=m)))
41760	Geschicklichkeit	0		
41761	zu	0		
41762	beweisen	0		
41763	,	0		
41764	zu	0		
41765	üben	0		
41766	geneigt	0		
41767	war	0		
41768	,	0		
41769	läßt	0		
41770	sich	0		
41771	denken	0		
41772	.	0		
41773	Doch	0		
41774	schien	0		
