i	token	mention	is_section_start	gold
78737	Dreizehntes		1	
78738	Kapitel		0	
78739	Völlig		0	(mention_id=10200|references=(entity=(entity_id=generic_1070|fullname=Einander fremde und gleichgültige Menschen|gender=u|specialcase_entity=generic)))
78740	fremde		0	(mention_id=10201|references=(entity=(entity_id=generic_1071|fullname=Einander fremde und gleichgültige Menschen|gender=u|specialcase_entity=generic)))
78741	und		0	
78742	gegeneinander		0	
78743	gleichgültige		0	
78744	Menschen	10289	0	(mention_id=10202|references=(entity=(entity_id=generic_1072|fullname=Einander fremde und gleichgültige Menschen|gender=u|specialcase_entity=generic)))
78745	,		0	
78746	wenn		0	
78747	sie	10290	0	(mention_id=10203|references=(entity=(entity_id=generic_1073|fullname=Einander fremde und gleichgültige Menschen|gender=u|specialcase_entity=generic)))
78748	eine		0	
78749	Zeitlang		0	
78750	zusammenleben		0	
78751	,		0	
78752	kehren		0	
78753	ihr	10291	0	(mention_id=10204|references=(entity=(entity_id=generic_1074|fullname=Einander fremde und gleichgültige Menschen|gender=u|specialcase_entity=generic)))
78754	Inneres		0	
78755	wechselseitig		0	
78756	heraus		0	
78757	,		0	
78758	und		0	
78759	es		0	
78760	muß		0	
78761	eine		0	
78762	gewisse		0	
78763	Vertraulichkeit		0	
78764	entstehen		0	
78765	.		0	
78766	Um		0	
78767	so		0	
78768	mehr		0	
78769	läßt		0	
78770	sich		0	
78771	erwarten		0	
78772	,		0	
78773	daß		0	
78774	unsern	10292	0	(mention_id=10205|references=(entity=(entity_id=entity_0195|fullname=Leser|gender=u)),(entity=(entity_id=entity_0016|fullname=Erzählinstanz|gender=u)))
78775	beiden		0	
78776	Freunden	10293	0	(mention_id=10206|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78777	,		0	
78778	indem		0	
78779	sie	10294	0	(mention_id=10207|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78780	wieder		0	
78781	nebeneinander		0	
78782	wohnten		0	
78783	,		0	
78784	täglich		0	
78785	und		0	
78786	stündlich		0	
78787	zusammen		0	
78788	umgingen		0	
78789	,		0	
78790	gegenseitig		0	
78791	nichts		0	
78792	verborgen		0	
78793	blieb		0	
78794	.		0	
78795	Sie	10295	0	(mention_id=10208|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78796	wiederholten		0	
78797	das		0	
78798	Andenken		0	
78799	ihrer	10296	0	(mention_id=10209|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78800	früheren		0	
78801	Zustände		0	
78802	,		0	
78803	und		0	
78804	der		0	
78805	Major	10297	0	(mention_id=10210|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78806	verhehlte		0	
78807	nicht		0	
78808	,		0	
78809	daß		0	
78810	Charlotte	10298	0	(mention_id=10211|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
78811	Eduarden	10299	0	(mention_id=10212|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78812	,		0	
78813	als		0	
78814	er	10300	0	(mention_id=10213|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78815	von		0	
78816	Reisen		0	
78817	zurückgekommen		0	
78818	,		0	
78819	Ottilien	10301	0	(mention_id=10214|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
78820	zugedacht		0	
78821	,		0	
78822	daß		0	
78823	sie	10302	0	(mention_id=10215|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
78824	ihm	10303	0	(mention_id=10216|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78825	das		0	
78826	schöne		0	
78827	Kind	10304	0	(mention_id=10217|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))
78828	in		0	
78829	der		0	
78830	Folge		0	
78831	zu		0	
78832	vermählen		0	
78833	gemeint		0	
78834	habe		0	
78835	.		0	
78836	Eduard	10305	0	(mention_id=10218|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78837	,		0	
78838	bis		0	
78839	zur		0	
78840	Verwirrung		0	
78841	entzückt		0	
78842	über		0	
78843	diese		0	
78844	Entdeckung		0	
78845	,		0	
78846	sprach		0	
78847	ohne		0	
78848	Rückhalt		0	
78849	von		0	
78850	der		0	
78851	gegenseitigen		0	
78852	Neigung		0	
78853	Charlottens	10306	0	(mention_id=10219|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
78854	und		0	
78855	des		0	
78856	Majors	10307	0	(mention_id=10220|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
78857	,		0	
78858	die		0	
78859	er	10308	0	(mention_id=10221|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78860	,		0	
78861	weil		0	
78862	es		0	
78863	ihm	10309	0	(mention_id=10222|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
78864	gerade		0	
78865	bequem		0	
