i	token	is_section_start	gold	pred
46534	:	0		
46535	Gemach	0		
46536	,	0		
46537	meine	0	(mention_id=5366|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))	(mention_id=5283|references=(entity=(entity_id=generic_0001|fullname=Herren im Allgemeinen|gender=u|specialcase_entity=generic)))
46538	Herren	0	(mention_id=5367|references=(entity=(entity_id=entity_0298|fullname=Gäste im grünen Baum|gender=m|members=entity_0363,entity_0367|all_members_given=False|specialcase_entity=group)))	(mention_id=5284|references=(entity=(entity_id=generic_0002|fullname=Herren im Allgemeinen|gender=u|specialcase_entity=generic)))
46539	!	0		
46540	Fremde	0		
46541	Narrheit	0		
46542	belachen	0		
46543	ist	0		
46544	der	0		
46545	Zucker	0		
46546	des	0		
46547	Lebens	0		
46548	,	0		
46549	heilsame	0		
46550	Nutzanwendung	0		
46551	davon	0		
46552	das	0		
46553	Salz	0		
46554	.	0		
46555	Was	0		
46556	wollen	0		
46557	Sie	0	(mention_id=5368|references=(entity=(entity_id=entity_0298|fullname=Gäste im grünen Baum|gender=m|members=entity_0363,entity_0367|all_members_given=False|specialcase_entity=group)))	(mention_id=5285|references=(entity=(entity_id=6|fullname=Benthal|gender=m)))
46558	?	0		
46559	dieser	0		
46560	Prophet	0	(mention_id=5369|references=(entity=(entity_id=entity_0317|fullname=Verein|gender=u|specialcase_entity=group)))	(mention_id=5286|references=(entity=(entity_id=generic_0149|fullname=der Prophet im Allgemeinen|gender=u|specialcase_entity=generic)))
46561	da	0	(mention_id=5370|references=(entity=(entity_id=entity_0317|fullname=Verein|gender=u|specialcase_entity=group)))	
46562	,	0		
46563	wie	0		
46564	Sie	0	(mention_id=5371|references=(entity=(entity_id=entity_0298|fullname=Gäste im grünen Baum|gender=m|members=entity_0363,entity_0367|all_members_given=False|specialcase_entity=group)))	(mention_id=5287|references=(entity=(entity_id=6|fullname=Benthal|gender=m)))
46565	sehen	0		
46566	,	0		
46567	hat	0		
46568	ganz	0		
46569	gute	0		
46570	Verstandesmaximen	0		
46571	;	0		
46572	komisch	0		
46573	wird	0		
46574	er	0	(mention_id=5372|references=(entity=(entity_id=entity_0317|fullname=Verein|gender=u|specialcase_entity=group)))	(mention_id=5288|references=(entity=(entity_id=6|fullname=Benthal|gender=m)))
46575	nur	0		
46576	dadurch	0		
46577	,	0		
46578	daß	0		
46579	er	0	(mention_id=5373|references=(entity=(entity_id=entity_0317|fullname=Verein|gender=u|specialcase_entity=group)))	(mention_id=5289|references=(entity=(entity_id=6|fullname=Benthal|gender=m)))
46580	den	0		
46581	Verstand	0		
46582	in	0		
46583	die	0		
46584	falsche	0		
46585	Beleuchtung	0		
46586	der	0		
46587	Religiösität	0		
46588	stellt	0		
46589	.	0		
46590	Aber	0		
46591	macht	0		
46592	es	0		
46593	der	0		
46594	deutsche	0		
46595	Rationalismus	0		
46596	anders	0		
46597	?	0		
46598	Den	0		
46599	gemeinen	0		
46600	Verstand	0		
46601	schiebt	0		
46602	er	0		
46603	an	0		
46604	die	0		
46605	Stelle	0		
46606	der	0		
46607	alten	0		
46608	wunderthätigen	0		
46609	Heiligthümer	0		
46610	,	0		
46611	und	0		
46612	ist	0		
46613	so	0		
46614	naiv	0		
46615	,	0		
46616	die	0		
46617	alte	0		
46618	religiöse	0		
46619	Begeisterung	0		
46620	für	0		
46621	denselben	0		
46622	in	0		
46623	Anspruch	0		
46624	zu	0		
46625	nehmen	0		
46626	.	0		
46627	Und	0		
46628	nun	0		
46629	das	0		
46630	Bart-Dogma	0		
46631	!	0		
46632	Ist	0		
46633	es	0		
46634	nicht	0		
46635	eine	0		
46636	von	0		
46637	den	0		
46638	acht	0		
46639	Seligkeiten	0		
46640	des	0		
46641	„	0		
46642	Vater	0	(mention_id=5374|references=(entity=(entity_id=entity_0343|fullname=Vater Jahn|gender=m)))	
46643	Jahn	0	(mention_id=5374|references=(entity=(entity_id=entity_0343|fullname=Vater Jahn|gender=m)))	
46644	“	0		
46645	und	0		
46646	haben	0		
46647	wir	0	(mention_id=5375|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)),(entity=(entity_id=entity_0298|fullname=Gäste im grünen Baum|gender=m|members=entity_0363,entity_0367|all_members_given=False|specialcase_entity=group)))	(mention_id=5290|references=(entity=(entity_id=119|fullname=die Anwesenden|gender=u)))
46648	—	0		
46649	wenigstens	0		
46650	bis	0		
46651	zur	0		
46652	Juli-Revolution	0		
46653	,	0		
46654	—	0		
46655	„	0		
46656	Vater	0	(mention_id=5376|references=(entity=(entity_id=entity_0343|fullname=Vater Jahn|gender=m)))	(mention_id=5291|references=(entity=(entity_id=69|fullname=Vater Jahn|gender=m)))
46657	Jahn	0	(mention_id=5376|references=(entity=(entity_id=entity_0343|fullname=Vater Jahn|gender=m)))	(mention_id=5291|references=(entity=(entity_id=69|fullname=Vater Jahn|gender=m)))
46658	“	0		
46659	nicht	0		
46660	mit	0		
46661	Andacht	0		
46662	seine	0	(mention_id=5377|references=(entity=(entity_id=entity_0343|fullname=Vater Jahn|gender=m)))	(mention_id=5292|references=(entity=(entity_id=69|fullname=Vater Jahn|gender=m)))
46663	Borsten	0		
46664	Religion	0		
46665	predigen	0		
46666	lassen	0		
46667	?	0		
46668	Ach	0		
46669	,	0		
46670	meine	0	(mention_id=5378|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))	(mention_id=5293|references=(entity=(entity_id=generic_0003|fullname=Herren im Allgemeinen|gender=u|specialcase_entity=generic)))
46671	Herren	0	(mention_id=5379|references=(entity=(entity_id=entity_0298|fullname=Gäste im grünen Baum|gender=m|members=entity_0363,entity_0367|all_members_given=False|specialcase_entity=group)))	(mention_id=5294|references=(entity=(entity_id=generic_0004|fullname=Herren im Allgemeinen|gender=u|specialcase_entity=generic)))
46672	,	0		
46673	die	0		
46674	Narrenleine	0		
46675	ist	0		
46676	gleich	0		
46677	der	0		
46678	Linie	0		
46679	des	0		
46680	Aequators	0		
46681	,	0		
46682	sie	0		
46683	läuft	0		
46684	um	0		
46685	die	0		
46686	ganze	0		
46687	Erde	0		
46688	herum	0		
46689	.	0		
46690	Daß	0		
46691	also	0		
46692	ein	0		
46693	Gescheidter	0	(mention_id=5380|references=(entity=(entity_id=generic_2992|fullname=Gescheidter|gender=u|specialcase_entity=generic)))	(mention_id=5295|references=(entity=(entity_id=generic_0150|fullname=ein Gescheiter im Allgemeinen|gender=u|specialcase_entity=generic)))
46694	in	0		
46695	Kleindeutschland	0		
46696	verhungern	0		
46697	soll	0		
46698	,	0		
46699	weil	0		
46700	um	0		
46701	Pittsburg	0		
46702	herum	0		
46703	Narren	0	(mention_id=5381|references=(entity=(entity_id=generic_2986|fullname=Narren|gender=u|specialcase_entity=generic)))	(mention_id=5296|references=(entity=(entity_id=generic_0151|fullname=Narren im Allgemeinen|gender=u|specialcase_entity=generic)))
46704	sitzen	0		
46705	,	0		
46706	das	0		
46707	scheint	0		
46708	mir	0	(mention_id=5382|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))	(mention_id=5297|references=(entity=(entity_id=6|fullname=Benthal|gender=m)))
46709	eine	0		
46710	Logik	0		
46711	,	0		
46712	die	0		
46713	vielmehr	0		
46714	eine	0		
46715	Verwandtschaft	0		
46716	als	0		
46717	einen	0		
46718	Gegensatz	0		
46719	mit	0		
46720	den	0		
46721	Pittsburgern	0	(mention_id=5383|references=(entity=(entity_id=generic_2993|fullname=Pittsburger|gender=u|specialcase_entity=generic)))	(mention_id=5298|references=(entity=(entity_id=generic_0152|fullname=Pittsburger im Allgemeinen|gender=u|specialcase_entity=generic)))
46722	beurkunden	0		
46723	dürfte	0		
46724	.	0		
46725	Bei	0		
46726	dieser	0		
46727	Pointe	0		
46728	hatte	0		
46729	der	0		
46730	Lockige	0	(mention_id=5384|references=(entity=(entity_id=entity_0302|fullname=Herr Poll|gender=m)))	(mention_id=5299|references=(entity=(entity_id=93|fullname=der Lockige|gender=m)))
46731	seinerseits	0	(mention_id=5385|references=(entity=(entity_id=entity_0302|fullname=Herr Poll|gender=m)))	(mention_id=5300|references=(entity=(entity_id=93|fullname=der Lockige|gender=m)))
46732	eine	0		
46733	kleine	0		
46734	,	0		
46735	freundschaftliche	0		
46736	Lache	0		
46737	zu	0		
46738	bestehen	0		
46739	;	0		
46740	aber	0		
46741	die	0		
46742	Zärtlichkeit	0		
46743	für	0		
46744	sein	0	(mention_id=5386|references=(entity=(entity_id=entity_0302|fullname=Herr Poll|gender=m)))	(mention_id=5301|references=(entity=(entity_id=93|fullname=der Lockige|gender=m)))
46745	Gehirn	0		
46746	war	0		
46747	damit	0		
46748	niedergeschlagen	0		
46749	.	0		
46750	Er	0	(mention_id=5387|references=(entity=(entity_id=entity_0302|fullname=Herr Poll|gender=m)))	(mention_id=5302|references=(entity=(entity_id=93|fullname=der Lockige|gender=m)))
46751	zauderte	0		
46752	nun	0		
46753	nicht	0		
46754	mehr	0		
46755	,	0		
46756	das	0		
46757	Offert	0		
46758	anzunehmen	0		
46759	.	0		
46760	Die	0		
46761	Gesellschaft	0	(mention_id=5388|references=(entity=(entity_id=entity_0344|fullname=Spötter unter den Gästen|gender=m|specialcase_entity=group)))	(mention_id=5303|references=(entity=(entity_id=123|fullname=die Gesellschaft|gender=u|specialcase_entity=group)))
46762	unterhielt	0		
46763	sich	0	(mention_id=5389|references=(entity=(entity_id=entity_0344|fullname=Spötter unter den Gästen|gender=m|specialcase_entity=group)))	(mention_id=5304|references=(entity=(entity_id=123|fullname=die Gesellschaft|gender=u|specialcase_entity=group)))
46764	noch	0		
46765	eine	0		
46766	Weile	0		
46767	damit	0		
46768	,	0		
46769	ihn	0	(mention_id=5390|references=(entity=(entity_id=entity_0302|fullname=Herr Poll|gender=m)))	(mention_id=5305|references=(entity=(entity_id=93|fullname=der Lockige|gender=m)))
46770	als	0		
46771	Mitglied	0	(mention_id=5391|references=(entity=(entity_id=entity_0302|fullname=Herr Poll|gender=m)))	(mention_id=5306|references=(entity=(entity_id=153|fullname=ein Mitglied des neuen Jerusalems|gender=m|specialcase_entity=nonfact)))
46772	des	0		
46773	neuen	0		
46774	Jerusalems	0		
46775	zu	0		
46776	parodiren	0		
46777	,	0		
46778	während	0		
46779	Benthal	0	(mention_id=5392|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))	(mention_id=5307|references=(entity=(entity_id=6|fullname=Benthal|gender=m)))
46780	den	0		
46781	ernsteren	0		
46782	Wink	0		
46783	anbrachte	0		
46784	,	0		
46785	seiner	0	(mention_id=5393|references=(entity=(entity_id=entity_0302|fullname=Herr Poll|gender=m)))	(mention_id=5308|references=(entity=(entity_id=93|fullname=der Lockige|gender=m)))
46786	Landsleute	0	(mention_id=5394|references=(entity=(entity_id=entity_0346|fullname=Landsleute|gender=u|specialcase_entity=group)))	(mention_id=5309|references=(entity=(entity_id=171|fullname=seine Landsleute|gender=u|specialcase_entity=group)))
46787	zu	0		
46788	gedenken	0		
46789	,	0		
46790	wenn	0		
46791	er	0	(mention_id=5395|references=(entity=(entity_id=entity_0302|fullname=Herr Poll|gender=m)))	(mention_id=5310|references=(entity=(entity_id=93|fullname=der Lockige|gender=m)))
46792	selbst	0		
46793	reüissirte	0		
46794	,	0		
46795	—	0		
46796	was	0		
46797	die	0		
46798	Spötter	0	(mention_id=5396|references=(entity=(entity_id=entity_0344|fullname=Spötter unter den Gästen|gender=m|specialcase_entity=group)))	(mention_id=5311|references=(entity=(entity_id=133|fullname=die Spötter|gender=u|specialcase_entity=group)))
46799	doch	0		
46800	auch	0		
46801	wieder	0		
46802	gerne	0		
46803	hörten	0		
46804	.	0		
