i	token	is_section_start	gold	pred
38651	Zwölftes	1		
38652	Kapitel	0		
38653	.	0		
38654	Hammichel	0	(mention_id=5858|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))	(mention_id=5915|references=(entity=(entity_id=8|fullname=Hammichel|gender=m)))
38655	kam	0		
38656	der	0		
38657	Brand	0		
38658	des	0		
38659	schon	0		
38660	ziemlich	0		
38661	baufälligen	0		
38662	Schuppens	0		
38663	mit	0		
38664	dem	0		
38665	Heuboden	0		
38666	und	0		
38667	dem	0		
38668	Ziegenstall	0		
38669	,	0		
38670	in	0		
38671	dem	0		
38672	aber	0		
38673	keine	0		
38674	Ziegen	0		
38675	mehr	0		
38676	gehalten	0		
38677	wurden	0		
38678	,	0		
38679	sehr	0		
38680	ungelegen	0		
38681	.	0		
38682	Nicht	0		
38683	den	0		
38684	Brand	0		
38685	an	0		
38686	sich	0		
38687	bedauerte	0		
38688	er	0	(mention_id=5859|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))	(mention_id=5916|references=(entity=(entity_id=8|fullname=Hammichel|gender=m)))
38689	,	0		
38690	denn	0		
38691	er	0		
38692	hatte	0		
38693	dabei	0		
38694	keines	0		
38695	Hellers	0		
38696	Wert	0		
38697	eingebüßt	0		
38698	,	0		
38699	und	0		
38700	Fachendag	0	(mention_id=5860|references=(entity=(entity_id=entity_0046|fullname=Merten Flachendag|gender=m)))	(mention_id=5917|references=(entity=(entity_id=5|fullname=Fachendag|gender=m)))
38701	konnte	0		
38702	den	0		
38703	geringen	0		
38704	Schaden	0		
38705	leicht	0		
38706	verschmerzen	0		
38707	.	0		
38708	Nur	0		
38709	das	0		
38710	,	0		
38711	was	0		
38712	sich	0		
38713	dabei	0		
38714	zugetragen	0		
38715	hatte	0		
38716	,	0		
38717	ärgerte	0		
38718	ihn	0	(mention_id=5861|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))	(mention_id=5918|references=(entity=(entity_id=8|fullname=Hammichel|gender=m)))
38719	.	0		
38720	Daß	0		
38721	Trudi	0	(mention_id=5862|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=5919|references=(entity=(entity_id=15|fullname=Trudi|gender=f)))
38722	durch	0		
38723	ihre	0	(mention_id=5863|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=5920|references=(entity=(entity_id=15|fullname=Trudi|gender=f)))
38724	unerhörte	0		
38725	Keckheit	0		
38726	in	0		
38727	der	0		
38728	ganzen	0		
38729	Stadt	0		
38730	nun	0		
38731	erst	0		
38732	recht	0		
38733	allbeliebt	0		
38734	geworden	0		
38735	war	0		
38736	und	0		
38737	es	0		
38738	gerade	0		
38739	der	0		
38740	Gersbachersohn	0	(mention_id=5864|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))	
38741	sein	0		
38742	mußte	0		
38743	,	0		
38744	der	0	(mention_id=5865|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))	
38745	sie	0	(mention_id=5866|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=5921|references=(entity=(entity_id=15|fullname=Trudi|gender=f)))
38746	rettete	0		
38747	,	0		
38748	das	0		
38749	paßte	0		
38750	ihm	0	(mention_id=5867|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))	(mention_id=5922|references=(entity=(entity_id=8|fullname=Hammichel|gender=m)))
38751	nicht	0		
38752	in	0		
38753	den	0		
38754	Kram	0		
38755	und	0		
38756	machte	0		
38757	ihm	0	(mention_id=5868|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))	(mention_id=5923|references=(entity=(entity_id=8|fullname=Hammichel|gender=m)))
38758	einen	0		
38759	Strich	0		
38760	durch	0		
38761	seine	0	(mention_id=5869|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))	(mention_id=5924|references=(entity=(entity_id=8|fullname=Hammichel|gender=m)))
38762	Rechnung	0		
38763	.	0		
38764	Denn	0		
38765	erstens	0		
38766	hatte	0		
38767	vielleicht	0		
38768	Jakobine	0	(mention_id=5870|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))	(mention_id=5925|references=(entity=(entity_id=10|fullname=Jakobine|gender=f)))
38769	nun	0		
38770	alle	0		
38771	Hoffnung	0		
38772	auf	0		
38773	Franz	0	(mention_id=5871|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))	(mention_id=5926|references=(entity=(entity_id=7|fullname=Franz|gender=m)))
38774	aufgegeben	0		
38775	und	0		
38776	stand	0		
38777	von	0		
38778	jeder	0		
38779	weiteren	0		
38780	kostspieligen	0		
38781	Unternehmung	0		
38782	,	0		
38783	ihn	0	(mention_id=5872|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))	(mention_id=5927|references=(entity=(entity_id=7|fullname=Franz|gender=m)))
38784	durch	0		
38785	seine	0	(mention_id=5873|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))	(mention_id=5928|references=(entity=(entity_id=7|fullname=Franz|gender=m)))
38786	,	0		
38787	Hammichels	0	(mention_id=5874|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))	(mention_id=5929|references=(entity=(entity_id=8|fullname=Hammichel|gender=m)))
38788	,	0		
38789	Künste	0		
38790	zu	0		
38791	gewinnen	0		
38792	ab	0		
38793	,	0		
38794	und	0		
38795	zweitens	0		
38796	war	0		
38797	nun	0		
38798	die	0		
38799	Wahrscheinlichkeit	0		
38800	näher	0		
38801	gerückt	0		
38802	,	0		
38803	daß	0		
38804	der	0		
38805	Freiherr	0	(mention_id=5875|references=(entity=(entity_id=entity_0018|fullname=Reichsfreiherr Dietrich von Remchingen|gender=m)))	(mention_id=5930|references=(entity=(entity_id=19|fullname=der Freiherr|gender=m)))
38806	von	0		
38807	dem	0		
38808	Fremdsein	0		
38809	Trudis	0	(mention_id=5876|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=5931|references=(entity=(entity_id=15|fullname=Trudi|gender=f)))
38810	Kunde	0		
38811	erhielt	0		
38812	und	0		
38813	den	0		
