i	token	mention	is_section_start	gold
56200	Siebzehntes		1	
56201	Kapitel		0	
56202	.		0	
56203	Der		0	
56204	festliche		0	
56205	Tag		0	
56206	der		0	
56207	Kreuz-Erhöhung		0	
56208	war		0	
56209	,		0	
56210	mit		0	
56211	Gottesdienst		0	
56212	gefeiert		0	
56213	und		0	
56214	mit		0	
56215	Arbeitsruhe		0	
56216	geheiligt		0	
56217	,		0	
56218	vorübergegangen		0	
56219	,		0	
56220	und		0	
56221	noch		0	
56222	hatte		0	
56223	sich		0	
56224	kein		0	
56225	Faut		0	
56226	auf		0	
56227	dem		0	
56228	Abtshofe		0	
56229	blicken		0	
56230	lassen		0	
56231	.		0	
56232	Die		0	
56233	Armbrusters	8787	0	(mention_id=8731|references=(entity=(entity_id=entity_0007|fullname=Familie Armbruster|gender=mf|members=entity_0001,entity_0003,entity_0004,entity_0005,entity_0008,entity_0016,entity_0017|all_members_given=True|specialcase_entity=group)))
56234	waren		0	
56235	darüber		0	
56236	ebenso		0	
56237	erstaunt		0	
56238	wie		0	
56239	erfreut		0	
56240	.		0	
56241	Sollte		0	
56242	der		0	
56243	Reichsfreiherr	8788	0	(mention_id=8732|references=(entity=(entity_id=entity_0018|fullname=Reichsfreiherr Dietrich von Remchingen|gender=m)))
56244	doch		0	
56245	noch		0	
56246	Mittel		0	
56247	und		0	
56248	Wege		0	
56249	gefunden		0	
56250	haben		0	
56251	,		0	
56252	Trudi	8789	0	(mention_id=8733|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))
56253	mit		0	
56254	dem		0	
56255	Hörigwerden		0	
56256	verschonen		0	
56257	zu		0	
56258	können		0	
56259	?		0	
56260	Oder		0	
56261	nahm		0	
56262	er	8790	0	(mention_id=8734|references=(entity=(entity_id=entity_0018|fullname=Reichsfreiherr Dietrich von Remchingen|gender=m)))
56263	aus		0	
56264	Freundschaft		0	
56265	für		0	
56266	Christoph	8791	0	(mention_id=8735|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))
56267	die		0	
56268	Nichtbefolgung		0	
56269	des		0	
56270	pfalzgräflichen		0	
56271	Befehles		0	
56272	eigenmächtig		0	
56273	auf		0	
56274	sich	8792	0	(mention_id=8736|references=(entity=(entity_id=entity_0018|fullname=Reichsfreiherr Dietrich von Remchingen|gender=m)))
56275	und		0	
56276	wollte		0	
56277	es		0	
56278	darauf		0	
56279	ankommen		0	
56280	lassen		0	
56281	,		0	
56282	was		0	
56283	ihm	8793	0	(mention_id=8737|references=(entity=(entity_id=entity_0018|fullname=Reichsfreiherr Dietrich von Remchingen|gender=m)))
56284	für		0	
56285	diese		0	
56286	Pflichtversäumnis		0	
56287	etwa		0	
56288	geschähe		0	
56289	?		0	
56290	In		0	
56291	der		0	
56292	Stadt		0	
56293	war		0	
56294	mittlerweile		0	
56295	die		0	
56296	Wiedereinführung		0	
56297	des		0	
56298	fast		0	
56299	allen		0	
56300	Lebenden	8794	0	
56301	bis		0	
56302	dahin		0	
56303	unbekannten		0	
56304	Wildfangrechtes		0	
56305	mit		0	
56306	seinen		0	
56307	einzelnen		0	
56308	,		0	
56309	im		0	
56310	Mund		0	
56311	der		0	
56312	Leute	8795	0	(mention_id=8738|references=(entity=(entity_id=entity_0019|fullname=Wachenheimer|gender=mf|members=entity_0007,entity_0013,entity_0014,entity_0026|all_members_given=False|specialcase_entity=group)))
56313	noch		0	
56314	weiter		0	
56315	ausgesponnenen		0	
56316	und		0	
56317	übertriebenen		0	
56318	Bestimmungen		0	
56319	ruchbar		0	
56320	geworden		0	
56321	.		0	
56322	Dafür		0	
56323	hatte		0	
56324	Hammichel	8796	0	(mention_id=8739|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
56325	,		0	
56326	Jakobine	8797	0	(mention_id=8740|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
56327	und		0	
56328	Wilm	8798	0	(mention_id=8741|references=(entity=(entity_id=entity_0024|fullname=Wilm Steinecker|gender=m)))
56329	,		0	
56330	dem	8799	0	(mention_id=8742|references=(entity=(entity_id=entity_0024|fullname=Wilm Steinecker|gender=m)))
56331	seine	8800	0	(mention_id=8743|references=(entity=(entity_id=entity_0024|fullname=Wilm Steinecker|gender=m)))
56332	Schwester	8801	0	(mention_id=8744|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
56333	doch		0	
56334	bald		0	
56335	ihr	8802	0	(mention_id=8745|references=(entity=(entity_id=entity_0022|fullname=Jakobine Steinecker|gender=f)))
56336	großes		0	
56337	Geheimnis		0	
56338	anvertraut		0	
56339	hatte		0	
56340	,		0	
56341	wie		0	
56342	überhaupt		0	
56343	der		0	
56344	ganze		0	
56345	Steinecker'sche	8803	0	
56346	Anhang	8804	0	(mention_id=8746|references=(entity=(entity_id=entity_0026|fullname=Familie Steinecker|gender=mf|members=entity_0022,entity_0023,entity_0024,entity_0025|all_members_given=True|specialcase_entity=group)))
56347	ausreichend		0	
56348	gesorgt		0	
56349	.		0	
56350	Hammichel	8805	0	(mention_id=8747|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
56351	brüstete		0	
56352	sich	8806	0	(mention_id=8748|references=(entity=(entity_id=entity_0015|fullname=Hammichel von Gimmeldingen|gender=m)))
56353	damit		0	
56354	,		0	
56355	längst		0	
56356	und		0	
56357	zuerst		0	
56358	davon		0	
56359	gewußt		0	
56360	zu		0	
56361	haben		0	
56362	und		0	
56363	machte		0	
56364	halbverständliche		0	
56365	Andeutungen		0	
56366	,		0	
56367	was		0	
56368	der		0	
