i	token	mention	is_section_start	gold
21536	Neuntes		1	
21537	Kapitel		0	
21538	Der		0	
21539	Geburtstag		0	
21540	war		0	
21541	herbeigekommen		0	
21542	und		0	
21543	alles		0	
21544	fertig		0	
21545	geworden		0	
21546	:		0	
21547	die		0	
21548	ganze		0	
21549	Mauer		0	
21550	,		0	
21551	die		0	
21552	den		0	
21553	Dorfweg		0	
21554	gegen		0	
21555	das		0	
21556	Wasser		0	
21557	zu		0	
21558	einfaßte		0	
21559	und		0	
21560	erhöhte		0	
21561	,		0	
21562	ebenso		0	
21563	der		0	
21564	Weg		0	
21565	an		0	
21566	der		0	
21567	Kirche		0	
21568	vorbei		0	
21569	,		0	
21570	wo		0	
21571	er		0	
21572	eine		0	
21573	Zeitlang		0	
21574	in		0	
21575	dem		0	
21576	von		0	
21577	Charlotten	2784	0	(mention_id=2735|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
21578	angelegten		0	
21579	Pfade		0	
21580	fortlief		0	
21581	,		0	
21582	sich		0	
21583	dann		0	
21584	die		0	
21585	Felsen		0	
21586	hinaufwärts		0	
21587	schlang		0	
21588	,		0	
21589	die		0	
21590	Mooshütte		0	
21591	links		0	
21592	über		0	
21593	sich		0	
21594	,		0	
21595	dann		0	
21596	nach		0	
21597	einer		0	
21598	völligen		0	
21599	Wendung		0	
21600	links		0	
21601	unter		0	
21602	sich		0	
21603	ließ		0	
21604	und		0	
21605	so		0	
21606	allmählich		0	
21607	auf		0	
21608	die		0	
21609	Höhe		0	
21610	gelangte		0	
21611	.		0	
21612	Es		0	
21613	hatte		0	
21614	sich		0	(mention_id=2736|references=(entity=(entity_id=entity_0087|fullname=Gesellschaft|gender=u|members=entity_0001,entity_0002,entity_0003,entity_0006,entity_0091,entity_0092,entity_0107|all_members_given=False|borderline_entity=members|specialcase_entity=group)))
21615	diesen		0	
21616	Tag		0	
21617	viel		0	
21618	Gesellschaft	2785	0	(mention_id=2737|references=(entity=(entity_id=entity_0087|fullname=Gesellschaft|gender=u|members=entity_0001,entity_0002,entity_0003,entity_0006,entity_0091,entity_0092,entity_0107|all_members_given=False|borderline_entity=members|specialcase_entity=group)))
21619	eingefunden		0	
21620	.		0	
21621	Man	2786	0	(mention_id=2738|references=(entity=(entity_id=entity_0087|fullname=Gesellschaft|gender=u|members=entity_0001,entity_0002,entity_0003,entity_0006,entity_0091,entity_0092,entity_0107|all_members_given=False|borderline_entity=members|specialcase_entity=group)))
21622	ging		0	
21623	zur		0	
21624	Kirche		0	
21625	,		0	
21626	wo		0	
21627	man		0	(mention_id=2739|references=(entity=(entity_id=entity_0087|fullname=Gesellschaft|gender=u|members=entity_0001,entity_0002,entity_0003,entity_0006,entity_0091,entity_0092,entity_0107|all_members_given=False|borderline_entity=members|specialcase_entity=group)))
21628	die		0	
21629	Gemeinde	2787	0	(mention_id=2740|references=(entity=(entity_id=entity_0102|fullname=Gemeinde|gender=u|members=entity_0090,entity_0101,entity_0109,entity_0110,entity_0111,entity_0112|all_members_given=False|specialcase_entity=group)))
21630	im		0	
21631	festlichen		0	
21632	Schmuck		0	
21633	versammelt		0	
21634	antraf		0	
21635	.		0	
21636	Nach		0	
21637	dem		0	
21638	Gottesdienste		0	
21639	zogen		0	
21640	die		0	
21641	Knaben	2788	0	(mention_id=2741|references=(entity=(entity_id=entity_0110|fullname=Knaben|gender=m|specialcase_entity=group)))
21642	,		0	
21643	Jünglinge	2789	0	(mention_id=2742|references=(entity=(entity_id=entity_0112|fullname=Jünglinge|gender=m|specialcase_entity=group)))
21644	und		0	
21645	Männer	2790	0	(mention_id=2743|references=(entity=(entity_id=entity_0108|fullname=Männer|gender=m|specialcase_entity=group)))
21646	,		0	
21647	wie		0	
21648	es		0	
21649	angeordnet		0	
21650	war		0	
21651	,		0	
21652	voraus		0	
21653	;		0	
21654	dann		0	
21655	kam		0	
21656	die		0	
21657	Herrschaft	2791	0	(mention_id=2744|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
21658	mit		0	
21659	ihrem	2792	0	(mention_id=2745|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))
21660	Besuch	2793	0	(mention_id=2746|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)),(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
21661	und		0	
21662	Gefolge	2794	0	(mention_id=2747|references=(entity=(entity_id=entity_0106|fullname=Gefolge der Herrschaft|gender=u|specialcase_entity=group)))
21663	;		0	
21664	Mädchen	2795	0	(mention_id=2748|references=(entity=(entity_id=entity_0109|fullname=Mädchen|gender=f|specialcase_entity=group)))
21665	,		0	
21666	Jungfrauen	2796	0	(mention_id=2749|references=(entity=(entity_id=entity_0111|fullname=Jungfrauen|gender=f|specialcase_entity=group)))
21667	und		0	
21668	Frauen	2797	0	(mention_id=2750|references=(entity=(entity_id=entity_0101|fullname=Frauen|gender=f|specialcase_entity=group)))
21669	machten		0	
21670	den		0	
21671	Beschluß		0	
21672	.		0	
21673	Bei		0	
21674	der		0	
21675	Wendung		0	
21676	des		0	
21677	Weges		0	
21678	war		0	
21679	ein		0	
21680	erhöhter		0	
21681	Felsenplatz		0	
21682	eingerichtet		0	
21683	;		0	
21684	dort		0	
21685	ließ		0	
21686	der		0	
21687	Hauptmann	2798	0	(mention_id=2751|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)))
21688	Charlotten	2799	0	(mention_id=2752|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))
21689	und		0	
21690	die		0	
21691	Gäste	2800	0	(mention_id=2753|references=(entity=(entity_id=entity_0092|fullname=Gäste|gender=u|members=entity_0119|all_members_given=False|specialcase_entity=group)))
21692	ausruhen		0	
21693	.		0	
21694	Hier		0	
21695	übersahen		0	
21696	sie	2801	0	(mention_id=2754|references=(entity=(entity_id=entity_0003|fullname=Hauptmann|gender=m|possible_identity_with=entity_0374)),(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0092|fullname=Gäste|gender=u|members=entity_0119|all_members_given=False|specialcase_entity=group)))
21697	den		0	
21698	ganzen		0	
21699	Weg		0	
21700	,		0	
21701	die		0	
21702	hinaufgeschrittene		0	
21703	Männerschar	2802	0	(mention_id=2755|references=(entity=(entity_id=entity_0090|fullname=Männerschar|gender=m|members=entity_0090,entity_0110,entity_0112|all_members_given=True|specialcase_entity=group)))
21704	,		0	
21705	die		0	
21706	nachwandelnden		0	
21707	Frauen	2803	0	(mention_id=2756|references=(entity=(entity_id=entity_0094|fullname=Frauenschar|gender=f|members=entity_0101,entity_0109,entity_0111|all_members_given=True|specialcase_entity=group)))
21708	,		0	
21709	welche	2804	0	(mention_id=2757|references=(entity=(entity_id=entity_0094|fullname=Frauenschar|gender=f|members=entity_0101,entity_0109,entity_0111|all_members_given=True|specialcase_entity=group)))
21710	nun		0	
21711	vorbeizogen		0	
21712	.		0	
21713	Es		0	
21714	war		0	
21715	bei		0	
21716	dem		0	
21717	herrlichen		0	
21718	Wetter		0	
21719	ein		0	
21720	wunderschöner		0	
21721	Anblick		0	
21722	.		0	
