i	token	mention	is_section_start	gold
55911	13.		1	
55912	Mit		0	
55913	leisen		0	
55914	Schritten		0	
55915	wandelte		0	
55916	der		0	
55917	Sommer		0	
55918	über		0	
55919	das		0	
55920	Land		0	
55921	.		0	
55922	Gelb		0	
55923	bogen		0	
55924	sich		0	
55925	die		0	
55926	Ährenfelder		0	
55927	unter		0	
55928	dem		0	
55929	warmen		0	
55930	Winde		0	
55931	,		0	
55932	und		0	
55933	leergepflückt		0	
55934	standen		0	
55935	die		0	
55936	Kirschbäume		0	
55937	auf		0	
55938	dem		0	
55939	Anger		0	
55940	und		0	
55941	längs		0	
55942	der		0	
55943	Chausseen		0	
55944	.		0	
55945	Wolkenlos		0	
55946	blaute		0	
55947	der		0	
55948	Himmel		0	
55949	,		0	
55950	und		0	
55951	in		0	
55952	Niendorf		0	
55953	wurde		0	
55954	das		0	
55955	erste		0	
55956	Korn		0	
55957	eingefahren		0	
55958	.		0	
55959	Aus		0	
55960	der		0	
55961	Stadt		0	
55962	war		0	
55963	man		0	
55964	in		0	
55965	die		0	
55966	Bäder		0	
55967	geflüchtet		0	
55968	oder		0	
55969	in		0	
55970	die		0	
55971	kühlen		0	
55972	Bergtäler		0	
55973	.		0	
55974	Das		0	
55975	Erkerhaus		0	
55976	am		0	
55977	Markte		0	
55978	zeigte		0	
55979	von		0	
55980	oben		0	
55981	bis		0	
55982	unten		0	
55983	verhangene		0	
55984	Fenster		0	
55985	.		0	
55986	Frau	7944	0	(mention_id=7925|references=(entity=(entity_id=entity_0005|fullname=Ottilie Baumhagen|gender=f)))
55987	Baumhagen	7944	0	(mention_id=7925|references=(entity=(entity_id=entity_0005|fullname=Ottilie Baumhagen|gender=f)))
55988	weilte		0	
55989	in		0	
55990	der		0	
55991	Schweiz		0	
55992	,		0	
55993	Herr	7945	0	(mention_id=7926|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))
55994	und		0	
55995	Frau	7946	0	(mention_id=7927|references=(entity=(entity_id=entity_0006|fullname=Jenny Fredrich, geb. Baumhagen|gender=f)))
55996	Fredrich	7946	0	(mention_id=7927|references=(entity=(entity_id=entity_0006|fullname=Jenny Fredrich, geb. Baumhagen|gender=f)))
55997	in		0	
55998	Baden-Baden		0	
55999	,		0	
56000	Onkel	7947	0	(mention_id=7928|references=(entity=(entity_id=entity_0008|fullname=Onkel Heinrich|gender=m)))
56001	Heinrich	7947	0	(mention_id=7928|references=(entity=(entity_id=entity_0008|fullname=Onkel Heinrich|gender=m)))
56002	war		0	
56003	nach		0	
56004	Helgoland		0	
56005	ausgewandert		0	
56006	,		0	
56007	weil		0	
56008	doch		0	
56009	nirgends		0	
56010	das		0	
56011	Frühstück		0	
56012	so		0	
56013	gut		0	
56014	schmeckt		0	
56015	,		0	
56016	wie		0	
56017	auf		0	
56018	der		0	
56019	Badedüne		0	
56020	der		0	
56021	Felseninsel		0	
56022	.		0	
56023	Nur		0	
56024	jene	7948	0	
56025	beiden	7949	0	(mention_id=7929|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
56026	saßen		0	
56027	still		0	
56028	in		0	
56029	ihren	7950	0	(mention_id=7930|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
56030	Nestern		0	
56031	.		0	
56032	Ein		0	
56033	kleines		0	
56034	Stückchen		0	
56035	Wald		0	
56036	und		0	
56037	Feld		0	
56038	trennte		0	
56039	sie	7951	0	(mention_id=7931|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
56040	,		0	
56041	aber		0	
56042	sie	7952	0	(mention_id=7932|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
56043	konnten		0	
56044	sich	7953	0	(mention_id=7933|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
56045	nicht		0	
56046	ferner		0	
56047	sein		0	
56048	,		0	
56049	hätte		0	
56050	zwischen		0	
56051	ihnen	7954	0	(mention_id=7934|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
56052	der		0	
56053	Ozean		0	
56054	gewogt		0	
56055	.		0	
56056	Es		0	
56057	gab		0	
56058	kein		0	
56059	Hinüber		0	
56060	!		0	
56061	In		0	
56062	Niendorf		0	
56063	ging		0	
56064	es		0	
56065	laut		0	
56066	her		0	
56067	,		0	
56068	ungeordnet		0	
56069	und		0	
56070	unregelmäßig		0	
56071	.		0	
56072	Woher		0	
56073	auch		0	
56074	sollte		0	
56075	Fräulein	7955	0	(mention_id=7935|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))
56076	Adelheid	7955	0	(mention_id=7935|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))
56077	das		0	
56078	Getriebe		0	
56079	einer		0	
56080	Landwirtschaft		0	
56081	verstehen		0	
56082	?		0	
56083	Sie	7956	0	(mention_id=7936|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))
56084	war		0	
56085	den		0	
56086	ganzen		0	
56087	Tag		0	
56088	auf		0	
56089	den		0	
56090	Füßen		0	
56091	,		0	
56092	sie	7957	0	(mention_id=7937|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))
56093	machte		0	
56094	hundert		0	
56095	unnütze		0	
56096	Wege		0	
56097	und		0	
56098	abends		0	
56099	klagte		0	
56100	sie	7958	0	(mention_id=7938|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))
56101	,		0	
56102	daß		0	
56103	die		0	
56104	zwei		0	
56105	zierlichen		0	
56106	Dingerchen		0	
56107	in		0	
56108	den		0	
56109	spitzen		0	
56110	Hackenschuhen		0	
56111	ihr	7959	0	(mention_id=7939|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))
56112	so		0	
56113	weh		0	
56114	täten		0	
56115	,		0	
56116	und		0	
56117	daß		0	
56118	die		0	
56119	Mädchen	7960	0	(mention_id=7940|references=(entity=(entity_id=entity_0307|fullname=Hausmädchen Niendorf|gender=f|members=entity_0305|all_members_given=False|specialcase_entity=group)))
56120	keinen		0	
56121	Respekt		0	
56122	vor		0	
