i	token	is_section_start	gold	pred
50649	11.	1		
50650	Frau	0	(mention_id=7191|references=(entity=(entity_id=entity_0005|fullname=Ottilie Baumhagen|gender=f)))	(mention_id=7210|references=(entity=(entity_id=6|fullname=Frau Baumhagen|gender=f)))
50651	Baumhagen	0	(mention_id=7191|references=(entity=(entity_id=entity_0005|fullname=Ottilie Baumhagen|gender=f)))	(mention_id=7210|references=(entity=(entity_id=6|fullname=Frau Baumhagen|gender=f)))
50652	hatte	0		
50653	ihre	0	(mention_id=7192|references=(entity=(entity_id=entity_0005|fullname=Ottilie Baumhagen|gender=f)))	(mention_id=7211|references=(entity=(entity_id=6|fullname=Frau Baumhagen|gender=f)))
50654	Abneigung	0		
50655	gegen	0		
50656	»	0		
50657	Villa	0		
50658	Waldruhe	0		
50659	«	0		
50660	überwunden	0		
50661	und	0		
50662	war	0		
50663	gekommen	0		
50664	,	0		
50665	um	0		
50666	mit	0		
50667	ihrer	0	(mention_id=7193|references=(entity=(entity_id=entity_0005|fullname=Ottilie Baumhagen|gender=f)))	(mention_id=7212|references=(entity=(entity_id=6|fullname=Frau Baumhagen|gender=f)))
50668	jüngsten	0		
50669	Tochter	0	(mention_id=7194|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=7213|references=(entity=(entity_id=8|fullname=Gertrud|gender=f)))
50670	zu	0		
50671	sprechen	0		
50672	;	0		
50673	irgend	0		
50674	etwas	0		
50675	mußte	0		
50676	geschehen	0		
50677	,	0		
50678	jedenfalls	0		
50679	konnte	0		
50680	sie	0	(mention_id=7195|references=(entity=(entity_id=entity_0005|fullname=Ottilie Baumhagen|gender=f)))	(mention_id=7214|references=(entity=(entity_id=6|fullname=Frau Baumhagen|gender=f)))
50681	die	0		
50682	teilnehmenden	0		
50683	Fragen	0		
50684	nach	0		
50685	dem	0		
50686	Befinden	0		
50687	der	0		
50688	jungen	0		
50689	Frau	0	(mention_id=7196|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=7215|references=(entity=(entity_id=8|fullname=Gertrud|gender=f)))
50690	nicht	0		
50691	länger	0		
50692	ertragen	0		
50693	.	0		
50694	Entweder	0		
50695	–	0		
50696	oder	0		
50697	!	0		
50698	Trudchen	0	(mention_id=7197|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=7216|references=(entity=(entity_id=8|fullname=Gertrud|gender=f)))
50699	saß	0		
50700	am	0		
50701	Fenster	0		
50702	in	0		
50703	ihrem	0	(mention_id=7198|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=7217|references=(entity=(entity_id=8|fullname=Gertrud|gender=f)))
50704	dämmerigen	0		
50705	kühlen	0		
50706	Zimmer	0		
50707	und	0		
50708	las	0		
50709	,	0		
50710	wenigstens	0		
50711	hielt	0		
50712	sie	0	(mention_id=7199|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=7218|references=(entity=(entity_id=8|fullname=Gertrud|gender=f)))
50713	ein	0		
50714	Buch	0		
50715	in	0		
50716	der	0		
50717	Hand	0		
50718	.	0		
50719	Zu	0		
50720	ihren	0	(mention_id=7200|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=7219|references=(entity=(entity_id=8|fullname=Gertrud|gender=f)))
50721	Füßen	0		
50722	schlief	0		
50723	Lindens	0	(mention_id=7201|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))	(mention_id=7220|references=(entity=(entity_id=15|fullname=Linden|gender=m)))
50724	Hund	0		
50725	.	0		
50726	Sie	0	(mention_id=7202|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=7221|references=(entity=(entity_id=8|fullname=Gertrud|gender=f)))
50727	erhob	0		
50728	sich	0	(mention_id=7203|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=7222|references=(entity=(entity_id=8|fullname=Gertrud|gender=f)))
50729	erschreckt	0		
50730	,	0		
50731	als	0		
50732	sie	0	(mention_id=7204|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=7223|references=(entity=(entity_id=8|fullname=Gertrud|gender=f)))
50733	Tritte	0		
50734	auf	0		
50735	dem	0		
50736	Korridor	0		
50737	hörte	0		
50738	,	0		
50739	und	0		
50740	einen	0		
50741	Moment	0		
50742	überzog	0		
50743	ein	0		
50744	helles	0		
50745	Rot	0		
50746	das	0		
50747	blasse	0		
50748	Gesicht	0		
50749	.	0		
50750	»	0		
50751	Ach	0		
50752	,	0		
50753	Mama	0	(mention_id=7205|references=(entity=(entity_id=entity_0005|fullname=Ottilie Baumhagen|gender=f)))	(mention_id=7224|references=(entity=(entity_id=6|fullname=Frau Baumhagen|gender=f)))
50754	«	0		
50755	,	0		
50756	sagte	0		
