i	token	is_section_start	gold	pred
61319	Siebentes	1		
61320	Kapitel	0		
61321	Insofern	0		
61322	der	0		
61323	Architekt	0	(mention_id=7976|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8039|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61324	seinen	0	(mention_id=7977|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8040|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61325	Gönnerinnen	0	(mention_id=7978|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=8041|references=(entity=(entity_id=49|fullname=die Gönnerinnen|gender=f|specialcase_entity=group)))
61326	das	0		
61327	Beste	0		
61328	wünschte	0		
61329	,	0		
61330	war	0		
61331	es	0		
61332	ihm	0	(mention_id=7979|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8042|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61333	angenehm	0		
61334	,	0		
61335	da	0		
61336	er	0	(mention_id=7980|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8043|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61337	doch	0		
61338	endlich	0		
61339	scheiden	0		
61340	mußte	0		
61341	,	0		
61342	sie	0	(mention_id=7981|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)),(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=8044|references=(entity=(entity_id=49|fullname=die Gönnerinnen|gender=f|specialcase_entity=group)))
61343	in	0		
61344	der	0		
61345	guten	0		
61346	Gesellschaft	0		
61347	des	0		
61348	schätzbaren	0		
61349	Gehülfen	0	(mention_id=7982|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))	(mention_id=8045|references=(entity=(entity_id=37|fullname=der schätzbare Gehülfe|gender=m)))
61350	zu	0		
61351	wissen	0		
61352	;	0		
61353	indem	0		
61354	er	0	(mention_id=7983|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8046|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61355	jedoch	0		
61356	ihre	0	(mention_id=7984|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=8047|references=(entity=(entity_id=49|fullname=die Gönnerinnen|gender=f|specialcase_entity=group)))
61357	Gunst	0		
61358	auf	0		
61359	sich	0	(mention_id=7985|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8048|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61360	selbst	0		
61361	bezog	0		
61362	,	0		
61363	empfand	0		
61364	er	0	(mention_id=7986|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8049|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61365	es	0		
61366	einigermaßen	0		
61367	schmerzhaft	0		
61368	,	0		
61369	sich	0	(mention_id=7987|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8050|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61370	so	0		
61371	bald	0		
61372	und	0		
61373	,	0		
61374	wie	0		
61375	es	0		
61376	seiner	0	(mention_id=7988|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8051|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61377	Bescheidenheit	0		
61378	dünken	0		
61379	mochte	0		
61380	,	0		
61381	so	0		
61382	gut	0		
61383	,	0		
61384	ja	0		
61385	vollkommen	0		
61386	ersetzt	0		
61387	zu	0		
61388	sehen	0		
61389	.	0		
61390	Er	0	(mention_id=7989|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8052|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61391	hatte	0		
61392	noch	0		
61393	immer	0		
61394	gezaudert	0		
61395	,	0		
61396	nun	0		
61397	aber	0		
61398	drängte	0		
61399	es	0		
61400	ihn	0	(mention_id=7990|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8053|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61401	hinweg	0		
61402	;	0		
61403	denn	0		
61404	was	0		
61405	er	0	(mention_id=7991|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8054|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61406	sich	0	(mention_id=7992|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8055|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61407	nach	0		
61408	seiner	0	(mention_id=7993|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8056|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61409	Entfernung	0		
61410	mußte	0		
61411	gefallen	0		
61412	lassen	0		
61413	,	0		
61414	das	0		
61415	wollte	0		
61416	er	0	(mention_id=7994|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8057|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61417	wenigstens	0		
61418	gegenwärtig	0		
61419	nicht	0		
61420	erleben	0		
61421	.	0		
61422	Zu	0		
61423	großer	0		
61424	Erheiterung	0		
61425	dieser	0		
61426	halb	0		
61427	traurigen	0		
61428	Gefühle	0		
61429	machten	0		
61430	ihm	0	(mention_id=7995|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8058|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61431	die	0		
61432	Damen	0	(mention_id=7996|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=8059|references=(entity=(entity_id=41|fullname=die Damen|gender=f|specialcase_entity=group)))
61433	beim	0		
61434	Abschiede	0		
61435	noch	0		
61436	ein	0		
61437	Geschenk	0		
61438	mit	0		
61439	einer	0		
61440	Weste	0		
61441	,	0		
61442	an	0		
61443	der	0		
61444	er	0	(mention_id=7997|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8060|references=(entity=(entity_id=27|fullname=der Architekt|gender=m)))
61445	sie	0	(mention_id=7998|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=8061|references=(entity=(entity_id=41|fullname=die Damen|gender=f|specialcase_entity=group)))
61446	beide	0	(mention_id=7999|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	
61447	lange	0		
61448	Zeit	0		
61449	hatte	0		
61450	stricken	0		
61451	sehen	0		
61452	,	0		
61453	mit	0		
61454	einem	0		
61455	stillen	0		
61456	Neid	0		
61457	über	0		
61458	den	0		
61459	unbekannten	0		
61460	Glücklichen	0	(mention_id=8000|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8062|references=(entity=(entity_id=38|fullname=der unbekannte Glückliche|gender=m|specialcase_entity=nonfact)))
61461	,	0		
61462	dem	0	(mention_id=8001|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8063|references=(entity=(entity_id=38|fullname=der unbekannte Glückliche|gender=m|specialcase_entity=nonfact)))
61463	sie	0	(mention_id=8002|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	
61464	dereinst	0		
61465	werden	0		
61466	könnte	0		
61467	.	0		
61468	Eine	0		
61469	solche	0		
61470	Gabe	0		
61471	ist	0		
61472	die	0		
61473	angenehmste	0		
61474	,	0		
61475	die	0		
61476	ein	0		
61477	liebender	0		
61478	,	0		
61479	verehrender	0		
61480	Mann	0	(mention_id=8003|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)),(entity=(entity_id=generic_0737|fullname=liebender verehrender Mann allgemein|gender=u|specialcase_entity=generic)))	(mention_id=8064|references=(entity=(entity_id=generic_0001|fullname=ein Mann im Allgemeinen|gender=u|specialcase_entity=generic)))
61481	erhalten	0		
61482	mag	0		
61483	;	0		
61484	denn	0		
61485	wenn	0		
61486	er	0	(mention_id=8004|references=(entity=(entity_id=generic_0738|fullname=liebender verehrender Mann allgemein|gender=u|specialcase_entity=generic)),(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=8065|references=(entity=(entity_id=generic_0002|fullname=ein Mann im Allgemeinen|gender=u|specialcase_entity=generic)))
61487	dabei	0		
61488	des	0		
61489	unermüdeten	0		
61490	Spiels	0		
61491	der	0		
61492	schönen	0		
61493	Finger	0		
61494	gedenkt	0		
61495	,	0		
61496	so	0		
61497	kann	0		
61498	er	0	(mention_id=8005|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)),(entity=(entity_id=generic_0739|fullname=liebender verehrender Mann allgemein|gender=u|specialcase_entity=generic)))	(mention_id=8066|references=(entity=(entity_id=generic_0003|fullname=ein Mann im Allgemeinen|gender=u|specialcase_entity=generic)))
61499	nicht	0		
61500	umhin	0		
61501	,	0		
61502	sich	0	(mention_id=8006|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)),(entity=(entity_id=generic_0740|fullname=liebender verehrender Mann allgemein|gender=u|specialcase_entity=generic)))	(mention_id=8067|references=(entity=(entity_id=generic_0004|fullname=ein Mann im Allgemeinen|gender=u|specialcase_entity=generic)))
61503	zu	0		
61504	schmeicheln	0		
61505	,	0		
61506	das	0		
61507	Herz	0		
61508	werde	0		
61509	bei	0		
61510	einer	0		
61511	so	0		
61512	anhaltenden	0		
61513	Arbeit	0		
61514	doch	0		
61515	auch	0		
61516	nicht	0		
61517	ganz	0		
61518	ohne	0		
61519	Teilnahme	0		
61520	geblieben	0		
61521	sein	0		
61522	.	0		
61523	Die	0		
61524	Frauen	0	(mention_id=8007|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=8068|references=(entity=(entity_id=45|fullname=die Frauen|gender=f|specialcase_entity=group)))
61525	hatten	0		
61526	nun	0		
61527	einen	0		
61528	neuen	0		
61529	Mann	0	(mention_id=8008|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))	(mention_id=8069|references=(entity=(entity_id=30|fullname=der Gehülfe|gender=u)))
61530	zu	0		
61531	bewirten	0		
61532	,	0		
61533	dem	0	(mention_id=8009|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))	(mention_id=8070|references=(entity=(entity_id=30|fullname=der Gehülfe|gender=u)))
61534	sie	0	(mention_id=8010|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=8071|references=(entity=(entity_id=45|fullname=die Frauen|gender=f|specialcase_entity=group)))
61535	wohlwollten	0		
61536	und	0		
61537	dem	0	(mention_id=8011|references=(entity=(entity_id=entity_0037|fullname=Gehülfe|gender=m)))	(mention_id=8072|references=(entity=(entity_id=30|fullname=der Gehülfe|gender=u)))
61538	es	0		
61539	bei	0		
61540	ihnen	0	(mention_id=8012|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=8073|references=(entity=(entity_id=45|fullname=die Frauen|gender=f|specialcase_entity=group)))
61541	wohl	0		
61542	werden	0		
61543	sollte	0		
61544	.	0		
61545	Das	0		
61546	weibliche	0		
61547	Geschlecht	0	(mention_id=8013|references=(entity=(entity_id=generic_0741|fullname=weibliches Geschlecht|gender=u|specialcase_entity=generic)))	
61548	hegt	0		
61549	ein	0		
61550	eignes	0		
61551	,	0		
61552	inneres	0		
61553	,	0		
61554	unwandelbares	0		
61555	Interesse	0		
61556	,	0		
61557	von	0		
61558	dem	0		
