i	token	is_section_start	gold	pred
52913	Sechzehntes	1		
52914	Kapitel	0		
52915	.	0		
52916	Das	0		
52917	Frühmahl	0		
52918	bei	0		
52919	Armbrusters	0	(mention_id=8177|references=(entity=(entity_id=entity_0007|fullname=Familie Armbruster|gender=mf|members=entity_0001,entity_0003,entity_0004,entity_0005,entity_0008,entity_0016,entity_0017|all_members_given=True|specialcase_entity=group)))	(mention_id=8229|references=(entity=(entity_id=4|fullname=Familie Armbruster|gender=mf|specialcase_entity=group)))
52920	verlief	0		
52921	am	0		
52922	nächsten	0		
52923	Morgen	0		
52924	stiller	0		
52925	als	0		
52926	sonst	0		
52927	.	0		
52928	Christoph	0	(mention_id=8178|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))	(mention_id=8230|references=(entity=(entity_id=2|fullname=Christoph|gender=m)))
52929	sowohl	0		
52930	wie	0		
52931	Madlen	0	(mention_id=8179|references=(entity=(entity_id=entity_0003|fullname=Magdalene Armbruster|gender=f)))	(mention_id=8231|references=(entity=(entity_id=15|fullname=Madlen|gender=f)))
52932	saßen	0		
52933	da	0		
52934	,	0		
52935	als	0		
52936	hätten	0		
52937	sie	0	(mention_id=8180|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)),(entity=(entity_id=entity_0003|fullname=Magdalene Armbruster|gender=f)))	(mention_id=8232|references=(entity=(entity_id=2|fullname=Christoph|gender=m)),(entity=(entity_id=15|fullname=Madlen|gender=f)))
52938	über	0		
52939	Nacht	0		
52940	das	0		
52941	Reden	0		
52942	verlernt	0		
52943	,	0		
52944	und	0		
52945	die	0		
52946	Mädchen	0	(mention_id=8181|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)),(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=8233|references=(entity=(entity_id=17|fullname=Mädchen|gender=f|specialcase_entity=group)))
52947	tauschten	0		
52948	mehrmals	0		
52949	einen	0		
52950	verwunderten	0		
52951	Blick	0		
52952	,	0		
52953	mit	0		
52954	dem	0		
52955	eins	0	(mention_id=8182|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)),(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=8234|references=(entity=(entity_id=17|fullname=Mädchen|gender=f|specialcase_entity=group)))
52956	das	0		
52957	andere	0	(mention_id=8183|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)),(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=8235|references=(entity=(entity_id=17|fullname=Mädchen|gender=f|specialcase_entity=group)))
52958	fragte	0		
52959	:	0		
52960	was	0		
52961	haben	0		
52962	denn	0		
52963	nur	0		
52964	die	0		
52965	Eltern	0	(mention_id=8184|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)),(entity=(entity_id=entity_0003|fullname=Magdalene Armbruster|gender=f)))	(mention_id=8236|references=(entity=(entity_id=2|fullname=Christoph|gender=m)),(entity=(entity_id=15|fullname=Madlen|gender=f)))
52966	,	0		
52967	daß	0		
52968	sie	0	(mention_id=8185|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)),(entity=(entity_id=entity_0003|fullname=Magdalene Armbruster|gender=f)))	(mention_id=8237|references=(entity=(entity_id=2|fullname=Christoph|gender=m)),(entity=(entity_id=15|fullname=Madlen|gender=f)))
52969	so	0		
52970	ernst	0		
52971	und	0		
52972	rückhaltig	0		
52973	sind	0		
52974	?	0		
52975	jedes	0	(mention_id=8186|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)),(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=8238|references=(entity=(entity_id=17|fullname=Mädchen|gender=f|specialcase_entity=group)))
52976	dachte	0		
52977	:	0		
52978	es	0		
52979	muß	0		
52980	ihnen	0	(mention_id=8187|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)),(entity=(entity_id=entity_0003|fullname=Magdalene Armbruster|gender=f)))	(mention_id=8239|references=(entity=(entity_id=2|fullname=Christoph|gender=m)),(entity=(entity_id=15|fullname=Madlen|gender=f)))
52981	etwas	0		
52982	im	0		
52983	Kopfe	0		
52984	liegen	0		
52985	,	0		
52986	was	0		
52987	wir	0	(mention_id=8188|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)),(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=8240|references=(entity=(entity_id=17|fullname=Mädchen|gender=f|specialcase_entity=group)))
52988	nicht	0		
52989	wissen	0		
52990	und	0		
52991	vielleicht	0		
52992	nicht	0		
52993	wissen	0		
52994	sollen	0		
52995	.	0		
52996	Mit	0		
52997	dieser	0		
52998	Annahme	0		
52999	täuschten	0		
53000	sie	0	(mention_id=8189|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)),(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=8241|references=(entity=(entity_id=17|fullname=Mädchen|gender=f|specialcase_entity=group)))
53001	sich	0	(mention_id=8190|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)),(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=8242|references=(entity=(entity_id=17|fullname=Mädchen|gender=f|specialcase_entity=group)))
53002	nicht	0		
53003	,	0		
53004	aber	0		
53005	schwerer	0		
53006	als	0		
53007	im	0		
53008	Kopfe	0		
53009	lag	0		
53010	es	0		
53011	den	0		
53012	beiden	0		
53013	Alten	0	(mention_id=8191|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)),(entity=(entity_id=entity_0003|fullname=Magdalene Armbruster|gender=f)))	(mention_id=8243|references=(entity=(entity_id=2|fullname=Christoph|gender=m)),(entity=(entity_id=15|fullname=Madlen|gender=f)))
53014	im	0		
53015	Herzen	0		
53016	,	0		
53017	was	0		
53018	sie	0	(mention_id=8192|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)),(entity=(entity_id=entity_0003|fullname=Magdalene Armbruster|gender=f)))	(mention_id=8244|references=(entity=(entity_id=2|fullname=Christoph|gender=m)),(entity=(entity_id=15|fullname=Madlen|gender=f)))
53019	heut	0		
53020	so	0		
53021	schweigsam	0		
53022	machte	0		
53023	.	0		
53024	Der	0		
53025	Bürgermeister	0	(mention_id=8193|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))	(mention_id=8245|references=(entity=(entity_id=2|fullname=Christoph|gender=m)))
53026	hatte	0		
53027	seiner	0	(mention_id=8194|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))	(mention_id=8246|references=(entity=(entity_id=2|fullname=Christoph|gender=m)))
53028	Frau	0	(mention_id=8195|references=(entity=(entity_id=entity_0003|fullname=Magdalene Armbruster|gender=f)))	(mention_id=8247|references=(entity=(entity_id=15|fullname=Madlen|gender=f)))
53029	gestern	0		
53030	nachmittag	0		
53031	seine	0	(mention_id=8196|references=(entity=(entity_id=entity_0001|fullname=Christoph Armbruster|gender=m)))	(mention_id=8248|references=(entity=(entity_id=2|fullname=Christoph|gender=m)))
53032	Unterredung	0		
53033	mit	0		
53034	dem	0		
