i	token	mention	is_section_start	gold
61348	Achtes		1	
61349	Kapitel		0	
61350	.		0	
61351	Moorfeld	7193	0	(mention_id=7304|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61352	behielt		0	
61353	von		0	
61354	der		0	
61355	Trunkenheit		0	
61356	seiner	7194	0	(mention_id=7305|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61357	gestrigen		0	
61358	Nacht-Phantasien		0	
61359	am		0	
61360	ernüchternden		0	
61361	Tageslichte		0	
61362	noch		0	
61363	so		0	
61364	viel		0	
61365	Bewußtsein		0	
61366	,		0	
61367	daß		0	
61368	er	7195	0	(mention_id=7306|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61369	sich	7196	0	(mention_id=7307|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61370	heute		0	
61371	mindestens		0	
61372	vornahm		0	
61373	,		0	
61374	den		0	
61375	neuen		0	
61376	Freund	7197	0	(mention_id=7308|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
61377	über		0	
61378	sein	7198	0	(mention_id=7309|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61379	Project		0	
61380	auszuholen		0	
61381	.		0	
61382	Denn		0	
61383	das		0	
61384	sagte		0	
61385	er	7199	0	(mention_id=7310|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61386	sich	7200	0	(mention_id=7311|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61387	nach		0	
61388	dem		0	
61389	Ausglühen		0	
61390	jenes		0	
61391	dichterisch		0	
61392	angeschürten		0	
61393	Traumzustandes		0	
61394	,		0	
61395	daß		0	
61396	es		0	
61397	noch		0	
61398	sehr		0	
61399	die		0	
61400	Frage		0	
61401	sei		0	
61402	,		0	
61403	ob		0	
61404	Benthal	7201	0	(mention_id=7312|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
61405	seine	7202	0	(mention_id=7313|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
61406	Stellung		0	
61407	in		0	
61408	Newyork		0	
61409	überhaupt		0	
61410	so		0	
61411	hoffnungsdürftig		0	
61412	,		0	
61413	wie		0	
61414	er	7203	0	(mention_id=7314|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
61415	selbst		0	
61416	,		0	
61417	betrachte		0	
61418	,		0	
61419	und		0	
61420	die		0	
61421	Stadt		0	
61422	mit		0	
61423	dem		0	
61424	Urwald		0	
61425	auch		0	
61426	willig		0	
61427	werde		0	
61428	vertauschen		0	
61429	wollen		0	
61430	.		0	
61431	Enthielt		0	
61432	sich	7204	0	(mention_id=7315|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61433	Moorfeld	7205	0	(mention_id=7316|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61434	aller		0	
61435	Ueberredung		0	
61436	und		0	
61437	versprach		0	
61438	er	7206	0	(mention_id=7317|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61439	gewissenhaft		0	
61440	,		0	
61441	wie		0	
61442	es		0	
61443	solche		0	
61444	Fälle		0	
61445	heischen		0	
61446	,		0	
61447	eher		0	
61448	zu		0	
61449	wenig		0	
61450	als		0	
61451	zu		0	
61452	viel		0	
61453	,		0	
61454	so		0	
61455	erstaunte		0	
61456	er	7207	0	(mention_id=7318|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61457	jetzt		0	
61458	,		0	
61459	daß		0	
61460	er	7208	0	(mention_id=7319|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61461	dem		0	
61462	werthen		0	
61463	Genossen	7209	0	(mention_id=7320|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
61464	eigentlich		0	
61465	nicht		0	
61466	mehr		0	
61467	zu		0	
61468	bieten		0	
61469	hatte		0	
61470	,		0	
61471	als		0	
61472	etwa		0	
61473	einen		0	
61474	freien		0	
61475	Platz		0	
61476	im		0	
61477	Schiffe		0	
61478	;		0	
61479	Gunst		0	
61480	oder		0	
61481	Ungunst		0	
61482	der		0	
61483	Fahrt		0	
61484	blieb		0	
61485	immer		0	
61486	noch		0	
61487	das		0	
61488	Wagniß		0	
61489	des		0	
61490	Andern		0	(mention_id=7321|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))
61491	.		0	
61492	Freilich		0	
61493	hielt		0	
61494	er	7210	0	(mention_id=7322|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61495	sich	7211	0	(mention_id=7323|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
61496	vor		0	
61497	,		0	
61498	daß		0	
61499	ein		0	
61500	tüchtiger		0	
61501	Mann	7212	0	(mention_id=7324|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)),(entity=(entity_id=generic_3394|fullname=ein tüchtiger Mann|gender=u|specialcase_entity=generic)))
61502	größere		0	
61503	Unterstützungsmittel		0	
