i	token	mention	gold
85	Erstes		
86	Buch		
87	Erstes		
88	Kapitel		
89	Ich	11	(mention_id=12|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
90	war		
91	achtzehn		
92	Jahr		
93	alt		
94	,		
95	und		
96	die		
97	ganze		
98	Welt		
99	lag		
100	wie		
101	ein		
102	Paradies		
103	vor		
104	mir	12	(mention_id=13|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
105	.		
106	Meine	13	(mention_id=14|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
107	Familie		
108	,		
109	meine	14	(mention_id=15|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
110	Figur		
111	,		
112	mein	15	(mention_id=16|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
113	Vermögen		
114	,		
115	alles		
116	versprach		
117	mir	16	(mention_id=17|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
118	die		
119	glänzendsten		
120	Aussichten		
121	.		
122	Meine	17	(mention_id=18|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
123	Aeltern	18	(mention_id=19|references=(entity=(entity_id=entity_0017|fullname=Gustavs Eltern|gender=mf|specialcase_entity=group)))
124	waren		
125	sehr		
126	frühzeitig		
127	gestorben		
128	,		
129	und		
130	ich	19	(mention_id=20|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
131	wurde		
132	bey		
133	einer		
134	Tante	20	(mention_id=21|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
135	erzogen		
136	.		
137	Sie	21	(mention_id=22|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
138	war		
139	seit		
140	vielen		
141	Jahren		
142	Wittwe	22	(mention_id=23|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
143	und		
144	außerordentlich		
145	reich		
146	.		
147	Meine	23	(mention_id=24|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
148	Vormünder		(mention_id=25|references=(entity=(entity_id=entity_0015|fullname=Gustavs Vormünder|gender=m|specialcase_entity=group)))
149	hatten		
150	mich	24	(mention_id=26|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
151	ihr	25	(mention_id=27|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
152	gänzlich		
153	überlassen		
154	,		
155	und		
156	sie	26	(mention_id=28|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
157	machte		
158	ihren	27	(mention_id=29|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
159	Abgott	28	(mention_id=30|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
160	aus		
161	mir	29	(mention_id=31|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
162	.		
163	Meine	30	(mention_id=32|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
