i	token	is_section_start	gold	pred
74847	Dreiundzwanzigstes	1		
74848	Kapitel	0		
74849	.	0		
74850	Von	0		
74851	ihrer	0	(mention_id=11826|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=11893|references=(entity=(entity_id=12|fullname=Franz|gender=m)),(entity=(entity_id=34|fullname=Trudi|gender=f)))
74852	Auswanderung	0		
74853	aus	0		
74854	der	0		
74855	Pfalz	0		
74856	war	0		
74857	zwischen	0		
74858	Franz	0	(mention_id=11827|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))	(mention_id=11894|references=(entity=(entity_id=12|fullname=Franz|gender=m)))
74859	und	0		
74860	Trudi	0	(mention_id=11828|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=11895|references=(entity=(entity_id=34|fullname=Trudi|gender=f)))
74861	nicht	0		
74862	mehr	0		
74863	die	0		
74864	Rede	0		
74865	gewesen	0		
74866	,	0		
74867	seit	0		
74868	sie	0	(mention_id=11829|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)),(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=11896|references=(entity=(entity_id=12|fullname=Franz|gender=m)),(entity=(entity_id=34|fullname=Trudi|gender=f)))
74869	notgedrungen	0		
74870	den	0		
74871	Entschluß	0		
74872	dazu	0		
74873	gefaßt	0		
74874	hatten	0		
74875	.	0		
74876	Das	0		
74877	war	0		
74878	an	0		
74879	demselben	0		
74880	Tage	0		
74881	morgens	0		
74882	geschehen	0		
74883	,	0		
74884	da	0		
74885	Kaspar	0	(mention_id=11830|references=(entity=(entity_id=entity_0006|fullname=Kaspar|gender=m)))	(mention_id=11897|references=(entity=(entity_id=21|fullname=Kaspar|gender=m)))
74886	mittags	0		
74887	auf	0		
74888	dem	0		
74889	Abtshofe	0		
74890	das	0		
74891	Auftauchen	0		
74892	Ebendorffers	0	(mention_id=11831|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))	(mention_id=11898|references=(entity=(entity_id=8|fullname=Ebendorffer|gender=m)))
74893	in	0		
74894	Wachenheim	0		
74895	gemeldet	0		
74896	hatte	0		
74897	,	0		
74898	und	0		
74899	vor	0		
74900	der	0		
74901	gegenwärtigen	0		
74902	Sorge	0		
74903	,	0		
74904	welche	0		
74905	Folgen	0		
74906	sein	0	(mention_id=11832|references=(entity=(entity_id=entity_0027|fullname=Vincenz Ebendorffer|gender=m)))	(mention_id=11899|references=(entity=(entity_id=8|fullname=Ebendorffer|gender=m)))
