i	token	is_section_start	gold	pred
194112	Fünftes	1		
194113	Kapitel	0		
194114	.	0		
194115	So	0		
194116	erwachte	0		
194117	Moorfeld	0	(mention_id=23268|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=22967|references=(entity=(entity_id=35|fullname=Moorfeld|gender=m)))
194118	zu	0		
194119	seinem	0	(mention_id=23269|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=22968|references=(entity=(entity_id=35|fullname=Moorfeld|gender=m)))
194120	letzten	0		
194121	Morgen	0		
194122	in	0		
194123	Amerika	0		
194124	.	0		
194125	Tags	0		
194126	nach	0		
194127	diesem	0		
194128	Abend	0		
194129	fuhr	0		
194130	er	0	(mention_id=23270|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=22969|references=(entity=(entity_id=35|fullname=Moorfeld|gender=m)))
194131	mit	0		
194132	der	0		
194133	ersten	0		
194134	Geschäftsstunde	0		
194135	an	0		
194136	den	0		
194137	Hafen	0		
194138	,	0		
194139	entschlossen	0		
194140	,	0		
194141	jede	0		
194142	Gelegenheit	0		
194143	nach	0		
194144	jeden	0		
194145	europäischen	0		
194146	Seeplatz	0		
194147	anzunehmen	0		
194148	,	0		
194149	einzig	0		
194150	bedingend	0		
194151	,	0		
194152	daß	0		
194153	die	0		
194154	Anker	0		
194155	noch	0		
194156	heute	0		
194157	gelichtet	0		
194158	wurden	0		
194159	.	0		
194160	Er	0	(mention_id=23271|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=22970|references=(entity=(entity_id=35|fullname=Moorfeld|gender=m)))
194161	fand	0		
194162	ein	0		
194163	Dampfboot	0		
194164	,	0		
194165	dessen	0		
194166	Abfahrt	0		
194167	auf	0		
194168	zehn	0		
194169	Uhr	0		
194170	festgesetzt	0		
194171	war	0		
194172	.	0		
194173	Natürlich	0		
194174	waren	0		
194175	die	0		
194176	Plätze	0		
194177	besetzt	0		
194178	,	0		
194179	aber	0		
194180	ein	0		
194181	junger	0		
194182	französischer	0		
194183	Arzt	0	(mention_id=23272|references=(entity=(entity_id=entity_1265|fullname=junger französischer Arzt|gender=m)))	(mention_id=22971|references=(entity=(entity_id=70|fullname=junger französischer Arzt|gender=m)))
194184	,	0		
194185	der	0	(mention_id=23273|references=(entity=(entity_id=entity_1265|fullname=junger französischer Arzt|gender=m)))	(mention_id=22972|references=(entity=(entity_id=70|fullname=junger französischer Arzt|gender=m)))
194186	in	0		
194187	Amerika	0		
194188	eine	0		
194189	Studienreise	0		
194190	gemacht	0		
194191	,	0		
194192	hatte	0		
194193	die	0		
194194	Artigkeit	0		
194195	,	0		
194196	ihm	0	(mention_id=23274|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=22973|references=(entity=(entity_id=35|fullname=Moorfeld|gender=m)))
194197	seinen	0	(mention_id=23275|references=(entity=(entity_id=entity_1265|fullname=junger französischer Arzt|gender=m)))	(mention_id=22974|references=(entity=(entity_id=35|fullname=Moorfeld|gender=m)))
194198	ersten	0		
194199	Cajütenplatz	0		
194200	zu	0		
194201	verkaufen	0		
194202	.	0		
194203	Das	0		
194204	Dampfboot	0		
194205	hieß	0		
194206	—	0		
194207	Riego	0		
194208	.	0		
194209	Die	0		
194210	Stadt	0		
194211	Newyork	0		
194212	feierte	0		
194213	der	0		
194214	Einschiffung	0		
194215	Moorfeld's	0	(mention_id=23276|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=22975|references=(entity=(entity_id=35|fullname=Moorfeld|gender=m)))
194216	ein	0		
194217	wildes	0		
194218	Abschiedsfest	0		
194219	.	0		
194220	Wie	0		
194221	die	0		
194222	Fugen	0		
194223	der	0		
194224	Alltagsordnung	0		
194225	schon	0		
194226	seit	0		
194227	zwei	0		
194228	Tagen	0		
194229	oder	0		
194230	vielmehr	0		
194231	Abenden	0		
194232	in	0		
194233	ein	0		
194234	verdächtiges	0		
194235	Schwanken	0		
194236	und	0		
194237	Krachen	0		
194238	gerathen	0		
194239	,	0		
194240	haben	0		
194241	wir	0	(mention_id=23277|references=(entity=(entity_id=entity_0007|fullname=Erzählinstanz|gender=u)))	(mention_id=22976|references=(entity=(entity_id=13|fullname=Erzähler|gender=mf|specialcase_entity=group)))
194242	mitten	0		
194243	aus	0		
194244	dem	0		
194245	erschütterungsvollen	0		
194246	Eigenleben	0		
194247	Moorfeld's	0	(mention_id=23278|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=22977|references=(entity=(entity_id=35|fullname=Moorfeld|gender=m)))
194248	heraus	0		
194249	im	0		
194250	Fluge	0		
194251	bemerkt	0		
194252	.	0		
194253	Aber	0		
194254	bei	0		
