i	token
0	1.
1	»
2	Wahrhaftig
3	,
4	Franz
5	,
6	an
7	deiner
8	Stelle
9	wüßte
10	ich
11	nicht
12	,
13	ob
14	ich
15	lachen
16	oder
17	weinen
18	sollte
19	!
20	Eine
21	Erbschaft
22	ist
23	mir
24	immer
25	als
26	das
27	Ziel
28	meiner
29	Wünsche
30	erschienen
31	,
32	aber
33	wie
34	mit
35	jedem
36	Dinge
37	im
38	menschlichen
39	Leben
40	–
41	alles
42	mit
43	Unterschied
44	.
45	Franz
46	,
47	wirklich
48	,
49	du
50	tust
51	mir
52	leid
53	!
54	Da
55	hast
56	du
57	nun
58	etwas
59	Ererbtes
60	am
61	Halse
62	,
63	an
64	das
65	du
66	nie
67	gedacht
68	hast
69	.
70	Ein
71	sogenanntes
72	Gut
73	,
74	ein
75	paar
76	hundert
77	Morgen
78	Äckerchen
79	und
80	Wiesen
81	,
82	etwas
83	Wald
84	,
85	einen
86	verwilderten
87	Garten
88	,
89	ein
90	vernachlässigtes
91	Wohnhaus
92	,
93	als
94	Inventar
95	vier
96	gallige
97	,
98	spatlahme
99	Andalusier
100	,
101	sechs
102	spindeldürre
103	Kühe
104	und
105	eine
106	Tante
107	als
108	Hauptsache
109	,
110	die
111	das
112	Gallige
113	und
114	Spindeldürre
115	in
116	ihrer
117	angenehmen
118	Persönlichkeit
119	zu
120	vereinigen
121	scheint
122	.
123	–
124	Menschenkind
125	,
126	so
127	ringe
128	doch
129	wenigstens
130	die
131	Hände
132	oder
133	schimpfe
134	,
135	oder
136	tue
137	irgend
138	etwas
139	dergleichen
140	,
141	aber
142	stehe
143	nicht
144	so
145	einher
146	wie
147	die
148	stumme
149	Verzweiflung
150	selbst
151	!
152	«
153	Amtsrichter
154	Weishaupt
155	sprach
156	diese
157	Worte
158	im
159	komischen
160	Zorn
161	zu
162	seinem
163	gegenübersitzenden
164	Freund
165	,
166	dem
167	Assessor
168	Linden
169	.
170	Vor
171	ihnen
172	auf
173	dem
174	Tische
175	stand
176	eine
177	Rheinweinflasche
178	nebst
179	Gläsern
180	,
181	und
182	auf
183	dieser
184	bereits
185	geleerten
186	Flasche
187	hafteten
188	die
189	Augen
190	des
191	Angeredeten
192	mit
193	nachdenklichem
194	Ausdruck
195	,
196	als
197	könne
198	er
199	von
200	dem
201	Etikett
202	eine
203	Antwort
204	ablesen
205	.
206	Es
207	war
208	ein
209	großes
210	Zimmer
211	,
212	in
213	dem
214	sich
215	die
216	beiden
217	befanden
218	,
219	eine
220	Art
221	Gartensaal
222	,
223	unendlich
224	altmodisch
225	und
226	einfach
227	ausgestattet
228	mit
229	zwei
230	birkenen
231	Eckschränken
232	,
233	wie
234	sie
235	zu
236	Großmutterzeiten
237	die
238	jetzigen
239	vornehmen
240	Kredenztische
241	vertraten
242	und
243	anstatt
244	kostbarer
245	Majoliken
246	die
247	vergoldeten
248	buntbemalten
249	Porzellantassen
250	hinter
251	ihren
252	Glasscheiben
253	sehen
254	ließen
255	,
256	mit
257	einem
258	großen
259	Sofa
260	,
261	dessen
262	schwarzer
263	Roßhaarbezug
264	gar
265	keinen
266	Gedanken
267	an
268	ein
269	behaglich-molliges
270	Ruhestündchen
271	aufkommen
272	ließ
273	,
274	mit
275	sechs
276	rührend
277	einfach
278	konstruierten
279	Rohrstühlen
280	,
281	die
282	um
283	den
284	großen
285	Tisch
286	standen
287	,
288	und
289	endlich
290	mit
291	mehr
292	als
293	zweifelhaften
294	Familienporträten
295	,
296	unter
297	denen
298	besonders
299	das
300	Pastellbildnis
301	einer
302	blondgelockten
303	jugendlichen
304	Schönheit
305	auffiel
306	,
307	deren
308	unendlich
309	kleiner
310	Mund
311	wie
312	verlegen
313	lächelte
314	,
315	als
316	wollte
317	sie
318	sagen
319	:
320	»
321	Glaubt
322	mir
323	nur
324	,
325	ganz
326	so
327	dumm
328	habe
329	ich
330	in
331	Wirklichkeit
332	nicht
333	ausgesehen
334	!
335	«
336	Und
337	über
338	all
339	dieses
340	verbreiteten
341	orangegelbe
342	Fenstervorhänge
343	ein
344	eigentümlich
345	unangenehmes
346	Licht
347	.
348	Die
349	Tür
350	des
351	Zimmers
352	stand
353	geöffnet
354	und
355	,
356	wie
357	entschädigend
358	für
359	alle
360	Geschmacklosigkeiten
361	,
362	bot
363	sich
364	dem
365	Auge
366	eine
367	wunderliebliche
368	Aussicht
369	.
370	Hohe
371	,
372	bewaldete
373	Bergkuppen
374	,
375	mit
376	üppigem
377	Laubwald
378	bedeckt
379	,
380	dessen
381	ernstes
382	Grün
383	der
384	Herbst
385	schon
386	in
387	leuchtende
