i	token	is_section_start	gold	pred
26185	Fünftes	1		
26186	Kapitel	0		
26187	.	0		
26188	Moorfeld	0	(mention_id=2914|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=2862|references=(entity=(entity_id=86|fullname=Moorfeld|gender=m)))
26189	hatte	0		
26190	das	0		
26191	Haus	0		
26192	verlassen	0		
26193	.	0		
26194	Seine	0	(mention_id=2915|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=2863|references=(entity=(entity_id=86|fullname=Moorfeld|gender=m)))
26195	Intelligenz	0		
26196	zerriß	0		
26197	das	0		
26198	Gewebe	0		
26199	des	0		
26200	niedern	0		
26201	Humbugs	0		
26202	,	0		
26203	der	0		
26204	sich	0		
26205	im	0		
26206	Entree	0		
26207	herum	0		
26208	trieb	0		
26209	;	0		
26210	ie	0		(mention_id=2864|references=(entity=(entity_id=86|fullname=Moorfeld|gender=m)))
26211	fühlte	0		
26212	sich	0	(mention_id=2916|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=2865|references=(entity=(entity_id=86|fullname=Moorfeld|gender=m)))
26213	aber	0		
26214	nicht	0		
26215	intelligent	0		
26216	genug	0		
26217	,	0		
26218	den	0		
26219	höheren	0		
26220	Humbug	0		
26221	zu	0		
26222	pariren	0		
26223	,	0		
26224	der	0		
26225	in	0		
26226	den	0		
26227	Amtszimmern	0		
26228	selbst	0		
26229	sein	0		
26230	Hauptquartier	0		
26231	haben	0		
26232	mochte	0		
26233	.	0		
26234	Denn	0		
26235	daß	0		
26236	die	0		
26237	Staatsbeamten	0	(mention_id=2917|references=(entity=(entity_id=entity_0246|fullname=Staatsbeamte|gender=m|specialcase_entity=group)))	(mention_id=2866|references=(entity=(entity_id=132|fullname=Staatsbeamte|gender=m|specialcase_entity=group)))
26238	,	0		
26239	die	0		
26240	Verkäufer	0	(mention_id=2918|references=(entity=(entity_id=entity_0243|fullname=Verkäufer|gender=m|specialcase_entity=group)))	(mention_id=2867|references=(entity=(entity_id=137|fullname=Verkäufer|gender=m|specialcase_entity=group)))
26241	des	0		
26242	Congreßlandes	0		
26243	von	0		
26244	Unions	0		
26245	wegen	0		
26246	,	0		
26247	theils	0		
26248	auf	0		
26249	eigene	0		
26250	Rechnung	0		
26251	,	0		
26252	theils	0		
26253	im	0		
26254	Solde	0		
26255	der	0		
26256	Actiencompagnien	0		
26257	ihre	0		(mention_id=2868|references=(entity=(entity_id=132|fullname=Staatsbeamte|gender=m|specialcase_entity=group)),(entity=(entity_id=137|fullname=Verkäufer|gender=m|specialcase_entity=group)))
26258	officielle	0		
26259	Stellung	0		
26260	nicht	0		
26261	minder	0		
26262	zur	0		
26263	Landspeculation	0		
26264	ausbeuten	0		
26265	würden	0		
26266	,	0		
26267	daran	0		
26268	zu	0		
26269	zweifeln	0		
26270	wäre	0		
26271	nach	0		
26272	allen	0		
26273	Proben	0		
26274	dieses	0		
26275	Volksgeistes	0		
26276	Vermessenheit	0		
26277	gewesen	0		
26278	.	0		
26279	Mit	0		
26280	den	0		
26281	höchsten	0		
26282	Würdenträgern	0	(mention_id=2919|references=(entity=(entity_id=entity_0251|fullname=Würdenträger|gender=m|specialcase_entity=group)))	(mention_id=2869|references=(entity=(entity_id=146|fullname=Würdenträger|gender=m|specialcase_entity=group)))
26283	in	0		
26284	der	0		
26285	Hierarchie	0		
26286	des	0		
26287	Humbugs	0		
26288	wagte	0		
26289	unser	0	(mention_id=2920|references=(entity=(entity_id=entity_0007|fullname=Erzählinstanz|gender=u)),(entity=(entity_id=entity_0008|fullname=Leser|gender=u)))	(mention_id=2870|references=(entity=(entity_id=32|fullname=Erzähler|gender=m|specialcase_entity=group)))
26290	Fremdling	0	(mention_id=2921|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=2871|references=(entity=(entity_id=86|fullname=Moorfeld|gender=m)))
26291	aber	0		
26292	doch	0		
26293	keinen	0		
26294	so	0		
26295	leichten	0		
26296	Gang	0		
26297	.	0		
