i	token	mention	is_section_start	gold
174180	Erstes		1	
174181	Kapitel		0	
174182	.		0	
174183	Von		0	
174184	der		0	
174185	Landseite		0	
174186	des		0	
174187	Philadelphia-Bahnhofs		0	
174188	bietet		0	
174189	Newyork		0	
174190	keine		0	
174191	Avenüe		0	
174192	wie		0	
174193	von		0	
174194	der		0	
174195	Seeseite		0	
174196	seines		0	
174197	Hafens		0	
174198	.		0	
174199	Von		0	
174200	Neu		0	
174201	Lisbon		0	
174202	zurück		0	
174203	bot		0	
174204	sie		0	
174205	auch		0	
174206	keine		0	
174207	,		0	
174208	wie		0	
174209	von		0	
174210	Europa		0	
174211	heran		0	
174212	!		0	
174213	Im		0	
174214	Aeußern		0	
174215	und		0	
174216	Innern		0	
174217	verglich		0	
174218	Moorfeld	20272	0	(mention_id=20584|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174219	seine	20273	0	(mention_id=20585|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174220	zweite		0	
174221	Ankunft		0	
174222	mit		0	
174223	seiner	20274	0	(mention_id=20586|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174224	ersten		0	
174225	,		0	
174226	und		0	
174227	—		0	
174228	der		0	
174229	Vergleich		0	
174230	war		0	
174231	traurig		0	
174232	genug		0	
174233	.		0	
174234	Deßungeachtet		0	
174235	konnte		0	
174236	er	20275	0	(mention_id=20587|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174237	sich	20276	0	(mention_id=20588|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
174238	eines		0	
174239	gewissen		0	
174240	Heimathsgefühls		0	
174241	nicht		0	
174242	erwehren		0	
174243	,		0	
174244	wenigstens		0	
174245	im		0	
174246	ersten		0	
174247	Augenblicke		0	
174248	nicht		0	
174249	.		0	
174250	Diese		0	
174251	Straßen		0	
174252	—		0	
174253	diese		0	
174254	Kirchenthürme		0	
174255	,		0	
174256	—		0	
174257	dieses		0	
174258	Menschengewühl		0	
174259	—		0	
174260	um		0	
174261	wie		0	
174262	viel		0	
174263	näher		0	
174264	stand		0	
174265	es		0	
174266	dem		0	
174267	Europäer	20277	0	(mention_id=20589|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)),(entity=(entity_id=generic_5669|fullname=generic_2014|gender=u|specialcase_entity=generic)))
174268	,		0	
174269	als		0	
174270	die		0	
174271	blöde		0	
174272	,		0	
174273	glotzende		0	
174274	Einsamkeit		0	
174275	und		0	
174276	Barbarei		0	
174277	des		0	
174278	Urwaldes		0	
174279	!		0	
174280	Schon		0	
174281	das		0	
174282	Wehen		0	
174283	der		0	
174284	Seeluft		0	
174285	,		0	
174286	die		0	
174287	Nähe		0	
174288	des		0	
174289	Oceans		0	
174290	,		0	
174291	—		0	
174292	wie		0	
174293	lockend		0	
174294	!		0	
174295	wie		0	
174296	beflügelnd		0	
174297	!		0	
174298	Ist		0	
174299	das		0	
174300	Meer		0	
174301	nicht		0	
174302	der		0	
174303	Nachbar		0	
174304	aller		0	
174305	Menschen	20278	0	(mention_id=20590|references=(entity=(entity_id=generic_5670|fullname=generic_2015|gender=u|specialcase_entity=generic)))
174306	,		0	
174307	die		0	
174308	Pforte		0	
174309	aller		0	
174310	Länder		0	
174311	?		0	
174312	Diese		0	
174313	Welle		0	
174314	hat		0	
174315	den		0	
174316	Dom		0	
174317	von		0	
174318	Rouen		0	
174319	zurückgespiegelt		0	
174320	,		0	
174321	dort		0	
174322	liegen		0	
174323	die		0	
174324	Länder		0	
174325	Homer's	20279	0	(mention_id=20591|references=(entity=(entity_id=entity_0422|fullname=Homer|gender=m)))
174326	,		0	
174327	Shakespear's	20280	0	(mention_id=20592|references=(entity=(entity_id=entity_0408|fullname=Shakespeare|gender=m)))
174328	,		0	
174329	Petrarka's	20281	0	(mention_id=20593|references=(entity=(entity_id=entity_1160|fullname=Petrarka|gender=m)))
174330	!		0	
174331	Und		0	
174332	ein		0	
174333	Stück		0	
174334	Leinwand		0	
174335	trägt		0	
174336	hinüber		0	
174337	leichter		0	
174338	als		0	
174339	vogel-leicht		0	
174340	,		0	
174341	denn		0	
174342	selbst		0	
174343	die		0	
174344	Möwe		0	
174345	ruht		0	
174346	aus		0	
174347	auf		0	
174348	ihr		0	
174349	!		0	
174350	Wahrlich		0	
174351	,		0	
174352	jede		0	
174353	Seestadt		0	
174354	ist		0	
174355	die		0	
174356	Heimath		0	
174357	jedes		0	
174358	Menschen	20282	0	(mention_id=20594|references=(entity=(entity_id=generic_5671|fullname=generic_2016|gender=u|specialcase_entity=generic)))
174359	!		0	
174360	Leise		0	
174361	und		0	
174362	angenehm		0	
