i	token	is_section_start	gold	pred
5008	2.	1		
5009	Trudchen	0	(mention_id=632|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=635|references=(entity=(entity_id=12|fullname=Gertrud|gender=f)))
5010	Baumhagen	0	(mention_id=632|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=635|references=(entity=(entity_id=12|fullname=Gertrud|gender=f)))
5011	war	0		
5012	rasch	0		
5013	über	0		
5014	den	0		
5015	stillen	0		
5016	Kirchplatz	0		
5017	geschritten	0		
5018	,	0		
5019	hatte	0		
5020	in	0		
5021	der	0		
5022	gegenüberliegenden	0		
5023	Mauer	0		
5024	eine	0		
5025	Pforte	0		
5026	geöffnet	0		
5027	und	0		
5028	stand	0		
5029	nun	0		
5030	auf	0		
5031	väterlichem	0		
5032	Boden	0		
5033	.	0		
5034	Ziemlich	0		
5035	eilig	0		
5036	ging	0		
5037	sie	0	(mention_id=633|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=636|references=(entity=(entity_id=12|fullname=Gertrud|gender=f)))
5038	durch	0		
5039	die	0		
5040	mit	0		
5041	Buchs	0		
5042	eingefaßten	0		
5043	Wege	0		
5044	des	0		
5045	im	0		
5046	altfranzösischen	0		
5047	Stile	0		
5048	angelegten	0		
5049	Gartens	0		
5050	und	0		
5051	über	0		
5052	einen	0		
5053	stillen	0		
5054	geräumigen	0		
5055	Hof	0		
5056	in	0		
5057	das	0		
5058	Haus	0		
5059	.	0		
5060	Auf	0		
5061	dem	0		
5062	großen	0		
5063	gewölbten	0		
5064	Flur	0		
5065	traf	0		
5066	sie	0	(mention_id=634|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=637|references=(entity=(entity_id=12|fullname=Gertrud|gender=f)))
5067	ihren	0	(mention_id=635|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=638|references=(entity=(entity_id=12|fullname=Gertrud|gender=f)))
5068	Schwager	0	(mention_id=636|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))	(mention_id=639|references=(entity=(entity_id=1|fullname=Artur|gender=m)))
5069	neben	0		
5070	einem	0		
5071	Fahrrad	0		
5072	stehend	0		
5073	.	0		
5074	Er	0	(mention_id=637|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))	(mention_id=640|references=(entity=(entity_id=1|fullname=Artur|gender=m)))
5075	war	0		
5076	sehr	0		
5077	elegant	0		
5078	und	0		
5079	nach	0		
5080	neuester	0		
5081	Mode	0		
5082	gekleidet	0		
5083	,	0		
5084	auf	0		
5085	dem	0		
5086	blauen	0		
5087	Schlips	0		
5088	funkelte	0		
5089	ein	0		
5090	köstlicher	0		
5091	Brillant	0		
5092	,	0		
5093	ebenso	0		
5094	an	0		
5095	der	0		
5096	feinen	0		
5097	Hand	0		
5098	.	0		
5099	Er	0	(mention_id=638|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))	(mention_id=641|references=(entity=(entity_id=1|fullname=Artur|gender=m)))
5100	war	0		
5101	blond	0		
5102	,	0		
5103	hatte	0		
5104	eine	0		
5105	rosige	0		
5106	Gesichtsfarbe	0		
5107	und	0		
5108	einen	0		
5109	kleinen	0		
5110	Schnurrbart	0		
5111	über	0		
5112	der	0		
5113	Oberlippe	0		
5114	und	0		
5115	mochte	0		
5116	etwa	0		
5117	dreißig	0		
5118	Jahre	0		
5119	zählen	0		
5120	.	0		
5121	Ein	0		
5122	Diener	0	(mention_id=639|references=(entity=(entity_id=entity_0115|fullname=Diener von Artur Fredrich|gender=m)))	(mention_id=642|references=(entity=(entity_id=44|fullname=der Diener|gender=m)))
5123	war	0		
5124	beschäftigt	0		
5125	,	0		
5126	den	0		
5127	glänzenden	0		
5128	Stahl	0		
5129	des	0		
5130	Vehikels	0		
5131	mit	0		
5132	einem	0		
5133	Lederlappen	0		
5134	abzureiben	0		
5135	.	0		
5136	»	0		
5137	Nun	0		
5138	«	0		
5139	,	0		
5140	fragte	0		
5141	das	0		
5142	junge	0		
5143	Mädchen	0	(mention_id=640|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=643|references=(entity=(entity_id=12|fullname=Gertrud|gender=f)))
5144	freundlich	0		
5145	,	0		
5146	»	0		
5147	willst	0		
5148	du	0	(mention_id=641|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))	(mention_id=644|references=(entity=(entity_id=1|fullname=Artur|gender=m)))
5149	ausreiten	0		
5150	,	0		
5151	Artur	0	(mention_id=642|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))	(mention_id=645|references=(entity=(entity_id=1|fullname=Artur|gender=m)))
5152	?	0		
5153	«	0		
5154	»	0		
5155	Ausreißen	0		
5156	,	0		
5157	meinst	0		
5158	du	0	(mention_id=643|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=646|references=(entity=(entity_id=12|fullname=Gertrud|gender=f)))
5159	,	0		
5160	Trudchen	0	(mention_id=644|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=647|references=(entity=(entity_id=12|fullname=Gertrud|gender=f)))
5161	?	0		
5162	Ja	0		
5163	,	0		
5164	ja	0		
5165	,	0		
5166	was	0		
5167	soll	0		
5168	man	0		
5169	anfangen	0		
5170	!	0		
5171	«	0		
5172	gab	0		
5173	er	0	(mention_id=645|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))	(mention_id=648|references=(entity=(entity_id=1|fullname=Artur|gender=m)))
5174	verdrießlich	0		
5175	zur	0		
5176	Antwort	0		
5177	.	0		
5178	»	0		
5179	Jenny	0	(mention_id=646|references=(entity=(entity_id=entity_0006|fullname=Jenny Fredrich, geb. Baumhagen|gender=f)))	(mention_id=649|references=(entity=(entity_id=16|fullname=Jenny|gender=f)))
5180	hat	0		
5181	ja	0		
5182	heute	0		
5183	ausnahmsweise	0		
5184	wieder	0		
5185	einmal	0		
5186	einen	0		
5187	Damentee	0		
5188	arrangiert	0		
5189	–	0		
5190	da	0		
5191	bin	0		
5192	ich	0	(mention_id=647|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))	(mention_id=650|references=(entity=(entity_id=1|fullname=Artur|gender=m)))
5193	überflüssig	0		
5194	.	0		
5195	Ich	0	(mention_id=648|references=(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))	(mention_id=651|references=(entity=(entity_id=1|fullname=Artur|gender=m)))
5196	fahre	0		
5197	mit	0		
5198	Karl	0	(mention_id=649|references=(entity=(entity_id=entity_0078|fullname=Karl Röben|gender=m)))	(mention_id=652|references=(entity=(entity_id=19|fullname=Karl Röben|gender=m)))
5199	Röben	0	(mention_id=649|references=(entity=(entity_id=entity_0078|fullname=Karl Röben|gender=m)))	(mention_id=652|references=(entity=(entity_id=19|fullname=Karl Röben|gender=m)))
5200	nach	0		
5201	Bodenstedt	0		
5202	–	0		
5203	sehe	0		
5204	jeder	0	(mention_id=650|references=(entity=(entity_id=entity_0006|fullname=Jenny Fredrich, geb. Baumhagen|gender=f)),(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)),(entity=(entity_id=generic_0036|fullname=Jeder|gender=u|specialcase_entity=generic)))	(mention_id=653|references=(entity=(entity_id=generic_0001|fullname=jeder im Allgemeinen|gender=u|specialcase_entity=generic)))
5205	,	0		
5206	wo	0		
5207	er	0	(mention_id=651|references=(entity=(entity_id=entity_0006|fullname=Jenny Fredrich, geb. Baumhagen|gender=f)),(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)),(entity=(entity_id=generic_0037|fullname=Jeder|gender=u|specialcase_entity=generic)))	(mention_id=654|references=(entity=(entity_id=generic_0002|fullname=jeder im Allgemeinen|gender=u|specialcase_entity=generic)))
5208	bleibe	0		
5209	.	0		
5210	«	0		
5211	»	0		
5212	Ich	0	(mention_id=652|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))	(mention_id=655|references=(entity=(entity_id=12|fullname=Gertrud|gender=f)))
5213	will	0		
5214	eben	0		
5215	einmal	0		
5216	hinauf	0		
5217	zu	0		
5218	euch	0	(mention_id=653|references=(entity=(entity_id=entity_0006|fullname=Jenny Fredrich, geb. Baumhagen|gender=f)),(entity=(entity_id=entity_0007|fullname=Artur Fredrich|gender=m)))	(mention_id=656|references=(entity=(entity_id=1|fullname=Artur|gender=m)),(entity=(entity_id=16|fullname=Jenny|gender=f)))
5219	«	0		
5220	,	0		
5221	nickte	0		
5222	das	0		
