i	token	is_section_start	gold	pred
35278	Funfzehntes	1		
35279	Kapitel	0		
35280	Endlich	0		
35281	leuchtete	0		
35282	Eduarden	0	(mention_id=4565|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=4613|references=(entity=(entity_id=8|fullname=Eduard|gender=m)))
35283	der	0		
35284	sehnlich	0		
35285	erwartete	0		
35286	Morgen	0		
35287	,	0		
35288	und	0		
35289	nach	0		
35290	und	0		
35291	nach	0		
35292	stellten	0		
35293	viele	0		
35294	Gäste	0	(mention_id=4566|references=(entity=(entity_id=entity_0154|fullname=Gäste auf Ottilies Geburtstagsfeier|gender=u|specialcase_entity=group)))	(mention_id=4614|references=(entity=(entity_id=14|fullname=Gäste|gender=u|specialcase_entity=group)))
35295	sich	0	(mention_id=4567|references=(entity=(entity_id=entity_0154|fullname=Gäste auf Ottilies Geburtstagsfeier|gender=u|specialcase_entity=group)))	(mention_id=4615|references=(entity=(entity_id=14|fullname=Gäste|gender=u|specialcase_entity=group)))
35296	ein	0		
35297	;	0		
35298	denn	0		
35299	man	0	(mention_id=4568|references=(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)),(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	
35300	hatte	0		
35301	die	0		
35302	Einladungen	0		
35303	weit	0		
35304	umhergeschickt	0		
35305	,	0		
35306	und	0		
35307	manche	0	(mention_id=4569|references=(entity=(entity_id=entity_0166|fullname=manche Geburtstagsgäste|gender=u|specialcase_entity=group)))	(mention_id=4616|references=(entity=(entity_id=39|fullname=manche Gäste|gender=u|specialcase_entity=group)))
35308	,	0		
35309	die	0	(mention_id=4570|references=(entity=(entity_id=entity_0166|fullname=manche Geburtstagsgäste|gender=u|specialcase_entity=group)))	(mention_id=4617|references=(entity=(entity_id=39|fullname=manche Gäste|gender=u|specialcase_entity=group)))
35310	das	0		
35311	Legen	0		
35312	des	0		
35313	Grundsteins	0		
35314	versäumt	0		
35315	hatten	0		
35316	,	0		
35317	wovon	0		
35318	man	0		
35319	soviel	0		
35320	Artiges	0		
35321	erzählte	0		
35322	,	0		
35323	wollten	0		
35324	diese	0		
35325	zweite	0		
35326	Feierlichkeit	0		
35327	um	0		
35328	so	0		
35329	weniger	0		
35330	verfehlen	0		
35331	.	0		
35332	Vor	0		
35333	Tafel	0		
35334	erschienen	0		
35335	die	0		
35336	Zimmerleute	0	(mention_id=4571|references=(entity=(entity_id=entity_0156|fullname=Zimmerleute|gender=m|specialcase_entity=group)))	(mention_id=4618|references=(entity=(entity_id=31|fullname=Zimmerleute|gender=m|specialcase_entity=group)))
35337	mit	0		
35338	Musik	0		
35339	im	0		
35340	Schloßhofe	0		
35341	,	0		
35342	ihren	0	(mention_id=4572|references=(entity=(entity_id=entity_0156|fullname=Zimmerleute|gender=m|specialcase_entity=group)))	(mention_id=4619|references=(entity=(entity_id=31|fullname=Zimmerleute|gender=m|specialcase_entity=group)))
35343	reichen	0		
35344	Kranz	0		
35345	tragend	0		
35346	,	0		
35347	der	0		
35348	aus	0		
35349	vielen	0		
35350	stufenweise	0		
35351	übereinander	0		
35352	schwankenden	0		
35353	Laub-und	0		
35354	Blumenreifen	0		
35355	zusammengesetzt	0		
35356	war	0		
35357	.	0		
35358	Sie	0	(mention_id=4573|references=(entity=(entity_id=entity_0156|fullname=Zimmerleute|gender=m|specialcase_entity=group)))	(mention_id=4620|references=(entity=(entity_id=31|fullname=Zimmerleute|gender=m|specialcase_entity=group)))
35359	sprachen	0		
35360	ihren	0	(mention_id=4574|references=(entity=(entity_id=entity_0156|fullname=Zimmerleute|gender=m|specialcase_entity=group)))	(mention_id=4621|references=(entity=(entity_id=31|fullname=Zimmerleute|gender=m|specialcase_entity=group)))
35361	Gruß	0		
35362	und	0		
35363	erbaten	0		
35364	sich	0	(mention_id=4575|references=(entity=(entity_id=entity_0156|fullname=Zimmerleute|gender=m|specialcase_entity=group)))	(mention_id=4622|references=(entity=(entity_id=31|fullname=Zimmerleute|gender=m|specialcase_entity=group)))
35365	zur	0		
35366	gewöhnlichen	0		
35367	Ausschmückung	0		
35368	seidene	0		
35369	Tücher	0		
35370	und	0		
35371	Bänder	0		
35372	von	0		
35373	dem	0		
35374	schönen	0		
35375	Geschlecht	0	(mention_id=4576|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=4623|references=(entity=(entity_id=40|fullname=schönes Geschlecht|gender=f|specialcase_entity=group)))
35376	.	0		
35377	Indes	0		
35378	die	0		
35379	Herrschaft	0	(mention_id=4577|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)),(entity=(entity_id=entity_0001|fullname=Eduard|gender=m)))	(mention_id=4624|references=(entity=(entity_id=16|fullname=Herrschaft|gender=u|specialcase_entity=group)))
35380	speiste	0		
35381	,	0		
35382	setzten	0		
35383	sie	0	(mention_id=4578|references=(entity=(entity_id=entity_0156|fullname=Zimmerleute|gender=m|specialcase_entity=group)))	(mention_id=4625|references=(entity=(entity_id=31|fullname=Zimmerleute|gender=m|specialcase_entity=group)))
35384	ihren	0	(mention_id=4579|references=(entity=(entity_id=entity_0156|fullname=Zimmerleute|gender=m|specialcase_entity=group)))	(mention_id=4626|references=(entity=(entity_id=31|fullname=Zimmerleute|gender=m|specialcase_entity=group)))
35385	jauchzenden	0		
35386	Zug	0		
35387	weiter	0		
35388	fort	0		
35389	,	0		
35390	und	0		
35391	nachdem	0		
35392	sie	0	(mention_id=4580|references=(entity=(entity_id=entity_0156|fullname=Zimmerleute|gender=m|specialcase_entity=group)))	(mention_id=4627|references=(entity=(entity_id=31|fullname=Zimmerleute|gender=m|specialcase_entity=group)))
35393	sich	0	(mention_id=4581|references=(entity=(entity_id=entity_0156|fullname=Zimmerleute|gender=m|specialcase_entity=group)))	(mention_id=4628|references=(entity=(entity_id=31|fullname=Zimmerleute|gender=m|specialcase_entity=group)))
35394	eine	0		
35395	Zeitlang	0		
35396	im	0		
35397	Dorfe	0		
35398	aufgehalten	0		
35399	und	0		
35400	daselbst	0		
35401	Frauen	0	(mention_id=4582|references=(entity=(entity_id=entity_0168|fullname=Frauen im Dorf|gender=f|specialcase_entity=group)))	(mention_id=4629|references=(entity=(entity_id=12|fullname=Frauen im Dorf|gender=f|specialcase_entity=group)))
35402	und	0		
35403	Mädchen	0	(mention_id=4583|references=(entity=(entity_id=entity_0174|fullname=Mädchen im Dorf|gender=f|specialcase_entity=group)))	(mention_id=4630|references=(entity=(entity_id=24|fullname=Mädchen im Dorf|gender=f|specialcase_entity=group)))
35404	gleichfalls	0		
35405	um	0		
35406	manches	0		
35407	Band	0		
35408	gebracht	0		
35409	,	0		
35410	so	0		
35411	kamen	0		
35412	sie	0	(mention_id=4584|references=(entity=(entity_id=entity_0156|fullname=Zimmerleute|gender=m|specialcase_entity=group)))	(mention_id=4631|references=(entity=(entity_id=31|fullname=Zimmerleute|gender=m|specialcase_entity=group)))
35413	endlich	0		
35414	,	0		
35415	begleitet	0		
35416	und	0		
35417	erwartet	0		
35418	von	0		
35419	einer	0		
35420	großen	0		
35421	Menge	0	(mention_id=4585|references=(entity=(entity_id=entity_0165|fullname=Menge bei Ottilies Geburtstagsfeier|gender=u|specialcase_entity=group)))	(mention_id=4632|references=(entity=(entity_id=21|fullname=Menge|gender=u|specialcase_entity=group)))
35422	,	0		
35423	auf	0		
35424	die	0		
35425	Höhe	0		
35426	,	0		
35427	wo	0		
35428	das	0		
35429	gerichtete	0		
35430	Haus	0		
35431	stand	0		
35432	.	0		
35433	Charlotte	0	(mention_id=4586|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=4633|references=(entity=(entity_id=6|fullname=Charlotte|gender=f)))
35434	hielt	0		
35435	nach	0		
35436	der	0		
35437	Tafel	0		
35438	die	0		
35439	Gesellschaft	0	(mention_id=4587|references=(entity=(entity_id=entity_0154|fullname=Gäste auf Ottilies Geburtstagsfeier|gender=u|specialcase_entity=group)))	(mention_id=4634|references=(entity=(entity_id=13|fullname=Gesellschaft|gender=u|specialcase_entity=group)))
35440	einigermaßen	0		
35441	zurück	0		
35442	.	0		
35443	Sie	0	(mention_id=4588|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=4635|references=(entity=(entity_id=6|fullname=Charlotte|gender=f)))
35444	wollte	0		
35445	keinen	0		
35446	feierlichen	0		
35447	,	0		
35448	förmlichen	0		
35449	Zug	0		
35450	,	0		
35451	und	0		
35452	man	0	(mention_id=4589|references=(entity=(entity_id=entity_0154|fullname=Gäste auf Ottilies Geburtstagsfeier|gender=u|specialcase_entity=group)))	(mention_id=4636|references=(entity=(entity_id=13|fullname=Gesellschaft|gender=u|specialcase_entity=group)))
35453	fand	0		
