i	token	is_section_start	gold	pred
156398	Siebentes	1		
156399	Kapitel	0		
156400	.	0		
156401	Dieser	0		
156402	Brief	0		
156403	war	0		
156404	der	0		
156405	letzte	0		
156406	,	0		
156407	den	0		
156408	Moorfeld	0	(mention_id=18466|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18219|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156409	aus	0		
156410	Ohio	0		
156411	an	0		
156412	Benthal	0	(mention_id=18467|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))	(mention_id=18220|references=(entity=(entity_id=8|fullname=Benthal|gender=m)))
156413	schrieb	0		
156414	.	0		
156415	Die	0		
156416	scheinbare	0		
156417	Ruhe	0		
156418	und	0		
156419	Mäßigung	0		
156420	,	0		
156421	womit	0		
156422	er	0	(mention_id=18468|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18221|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156423	die	0		
156424	unglückliche	0		
156425	Begebenheit	0		
156426	erzählt	0		
156427	,	0		
156428	war	0		
156429	vielleicht	0		
156430	schon	0		
156431	in	0		
156432	dem	0		
156433	Augenblicke	0		
156434	,	0		
156435	da	0		
156436	er's	0	(mention_id=18469|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18222|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156437	that	0		
156438	,	0		
156439	entweder	0		
156440	nur	0		
156441	die	0		
156442	Ohnmacht	0		
156443	des	0		
156444	Betäubten	0	(mention_id=18470|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18223|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156445	,	0		
156446	oder	0		
156447	das	0		
156448	mühsamste	0		
156449	Product	0		
156450	der	0		
156451	Reflexion	0		
156452	,	0		
156453	womit	0		
156454	er	0	(mention_id=18471|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18224|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156455	—	0		
156456	ein	0		
156457	Mann	0	(mention_id=18472|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18225|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156458	vor	0		
156459	einem	0		
156460	Mann	0	(mention_id=18473|references=(entity=(entity_id=entity_0012|fullname=Theodor Benthal|gender=m)))	(mention_id=18226|references=(entity=(entity_id=8|fullname=Benthal|gender=m)))
156461	—	0		
156462	sich	0	(mention_id=18474|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18227|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156463	zusammennahm	0		
156464	.	0		
156465	Anders	0		
156466	sah	0		
156467	ihn	0	(mention_id=18475|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18228|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156468	seine	0	(mention_id=18476|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18229|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156469	nächste	0		
156470	Umgebung	0	(mention_id=18477|references=(entity=(entity_id=entity_1077|fullname=Moorfelds Umgebung|gender=u|specialcase_entity=group)))	(mention_id=18230|references=(entity=(entity_id=120|fullname=nächste Umgebung|gender=mf|specialcase_entity=group)))
156471	.	0		
156472	Der	0		
156473	Ausbruch	0		
156474	der	0		
156475	Wuth	0		
156476	,	0		
156477	von	0		
156478	welchem	0		
156479	er	0	(mention_id=18478|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18231|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156480	in	0		
156481	knappester	0		
156482	Gemessenheit	0		
156483	Erwähnung	0		
156484	macht	0		
156485	,	0		
156486	daß	0		
156487	er	0		
156488	ihn	0		
156489	unmittelbar	0		
156490	gegen	0		
156491	den	0		
156492	Urheber	0	(mention_id=18479|references=(entity=(entity_id=entity_0965|fullname=Prediger bei Camp-Meeting|gender=m)))	(mention_id=18232|references=(entity=(entity_id=78|fullname=Urheber des Unglücks|gender=m)))
156493	des	0		
156494	Unglücks	0		
156495	gerichtet	0		
156496	,	0		
156497	fluthete	0		
156498	ungezähmt	0		
156499	auch	0		
156500	über	0		
156501	die	0		
156502	festeren	0		
156503	Dämme	0		
156504	der	0		
156505	geselligen	0		
156506	Ordnung	0		
156507	und	0		
156508	Verträglichkeit	0		
156509	.	0		
156510	Zunächst	0		
156511	zerfiel	0		
156512	er	0	(mention_id=18480|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18233|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156513	mit	0		
156514	Doctor	0	(mention_id=18481|references=(entity=(entity_id=entity_0323|fullname=Arzt|gender=m)))	(mention_id=18234|references=(entity=(entity_id=19|fullname=Doctor Althof|gender=m)))
156515	Althof	0	(mention_id=18481|references=(entity=(entity_id=entity_0323|fullname=Arzt|gender=m)))	(mention_id=18234|references=(entity=(entity_id=19|fullname=Doctor Althof|gender=m)))
156516	.	0		
156517	Was	0		
156518	er	0	(mention_id=18482|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18235|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156519	in	0		
156520	seinem	0	(mention_id=18483|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18236|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156521	Briefe	0		
156522	so	0		
156523	ruhig	0		
156524	ausspricht	0		
156525	:	0		
156526	„	0		
156527	Man	0		
156528	will	0		
156529	das	0		
156530	unglückliche	0		
156531	Kind	0	(mention_id=18484|references=(entity=(entity_id=entity_0829|fullname=Annette Ermar|gender=f)))	(mention_id=18237|references=(entity=(entity_id=4|fullname=Annette|gender=f)))
156532	in	0		
156533	das	0		
156534	Irrenhaus	0		
156535	zu	0		
156536	Columbus	0		
156537	bringen	0		
156538	“	0		
156539	bekämpfte	0		
156540	er	0	(mention_id=18485|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18238|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156541	in	0		
156542	der	0		
156543	Wirklichkeit	0		
156544	mit	0		
156545	dem	0		
156546	heftigsten	0		
156547	Widerspruch	0		
156548	.	0		
156549	Er	0	(mention_id=18486|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=18239|references=(entity=(entity_id=60|fullname=Moorfeld|gender=m)))
156550	wolle	0		
156551	sie	0	(mention_id=18487|references=(entity=(entity_id=entity_0829|fullname=Annette Ermar|gender=f)))	(mention_id=18240|references=(entity=(entity_id=4|fullname=Annette|gender=f)))
156552	nun	0		
156553	und	0		
156554	nimmermehr	0		
156555	„	0		
156556	unter	0		
156557	den	0		
156558	Fäusten	0		
156559	der	0		
