i	token	is_section_start	gold	pred
48483	Drittes	1		
48484	Kapitel	0		
48485	Es	0		
48486	ist	0		
48487	eine	0		
48488	so	0		
48489	angenehme	0		
48490	Empfindung	0		
48491	,	0		
48492	sich	0		
48493	mit	0		
48494	etwas	0		
48495	zu	0		
48496	beschäftigen	0		
48497	,	0		
48498	was	0		
48499	man	0		
48500	nur	0		
48501	halb	0		
48502	kann	0		
48503	,	0		
48504	daß	0		
48505	niemand	0		
48506	den	0		
48507	Dilettanten	0	(mention_id=6341|references=(entity=(entity_id=generic_0475|fullname=Dilettant|gender=u|specialcase_entity=generic)))	(mention_id=6385|references=(entity=(entity_id=generic_0001|fullname=Dilettanten im Allgemeinen|gender=u|specialcase_entity=generic)))
48508	schelten	0		
48509	sollte	0		
48510	,	0		
48511	wenn	0		
48512	er	0	(mention_id=6342|references=(entity=(entity_id=generic_0476|fullname=Dilettant|gender=u|specialcase_entity=generic)))	(mention_id=6386|references=(entity=(entity_id=generic_0002|fullname=Dilettanten im Allgemeinen|gender=u|specialcase_entity=generic)))
48513	sich	0	(mention_id=6342|references=(entity=(entity_id=generic_0476|fullname=Dilettant|gender=u|specialcase_entity=generic)))	(mention_id=6387|references=(entity=(entity_id=generic_0003|fullname=Dilettanten im Allgemeinen|gender=u|specialcase_entity=generic)))
48514	mit	0		
48515	einer	0		
48516	Kunst	0		
48517	abgibt	0		
48518	,	0		
48519	die	0		
48520	er	0	(mention_id=6343|references=(entity=(entity_id=generic_0477|fullname=Dilettant|gender=u|specialcase_entity=generic)))	(mention_id=6388|references=(entity=(entity_id=generic_0004|fullname=Dilettanten im Allgemeinen|gender=u|specialcase_entity=generic)))
48521	nie	0		
48522	lernen	0		
48523	wird	0		
48524	,	0		
48525	noch	0		
48526	den	0		
48527	Künstler	0	(mention_id=6344|references=(entity=(entity_id=generic_0478|fullname=Künstler|gender=u|specialcase_entity=generic)))	(mention_id=6389|references=(entity=(entity_id=generic_0005|fullname=Künstler im Allgemeinen|gender=u|specialcase_entity=generic)))
48528	tadeln	0		
48529	dürfte	0		
48530	,	0		
48531	wenn	0		
48532	er	0	(mention_id=6345|references=(entity=(entity_id=generic_0479|fullname=Künstler|gender=u|specialcase_entity=generic)))	(mention_id=6390|references=(entity=(entity_id=generic_0006|fullname=Künstler im Allgemeinen|gender=u|specialcase_entity=generic)))
48533	über	0		
48534	die	0		
48535	Grenze	0		
48536	seiner	0	(mention_id=6346|references=(entity=(entity_id=generic_0480|fullname=Künstler|gender=u|specialcase_entity=generic)))	(mention_id=6391|references=(entity=(entity_id=generic_0007|fullname=Künstler im Allgemeinen|gender=u|specialcase_entity=generic)))
48537	Kunst	0		
48538	hinaus	0		
48539	in	0		
48540	einem	0		
48541	benachbarten	0		
48542	Felde	0		
48543	sich	0		(mention_id=6392|references=(entity=(entity_id=generic_0008|fullname=Künstler im Allgemeinen|gender=u|specialcase_entity=generic)))
48544	zu	0		
48545	ergehen	0		
48546	Lust	0		
48547	hat	0		
48548	.	0		
48549	Mit	0		
48550	so	0		
48551	billigen	0		
48552	Gesinnungen	0		
48553	betrachten	0		
48554	wir	0	(mention_id=6347|references=(entity=(entity_id=entity_0016|fullname=Erzählinstanz|gender=u)))	(mention_id=6393|references=(entity=(entity_id=5|fullname=Erzählerinstanz|gender=u|specialcase_entity=group)))
48555	die	0		
48556	Anstalten	0		
48557	des	0		
48558	Architekten	0	(mention_id=6348|references=(entity=(entity_id=entity_0147|fullname=Architekt|gender=m)))	(mention_id=6394|references=(entity=(entity_id=17|fullname=der Architekt|gender=m)))
48559	zum	0		
48560	Ausmalen	0		
48561	der	0		
48562	Kapelle	0		
48563	.	0		
48564	Die	0		
48565	Farben	0		
48566	waren	0		
48567	bereitet	0		
48568	,	0		
48569	die	0		
48570	Maße	0		
48571	genommen	0		
48572	,	0		
48573	die	0		
48574	Kartone	0		
48575	gezeichnet	0		
48576	;	0		
