i	text	is_section_start
0	Julius	1
1	Wolff	0
2	Das	0
3	Wildfangrecht	0
4	Eine	0
5	pfälzische	0
6	Geschichte	0
7	Erstes	1
8	Kapitel	0
9	.	0
10	An	0
11	einem	0
12	warmen	0
13	Septemberabend	0
14	saß	0
15	ein	0
16	hochgestalteter	0
17	,	0
18	stämmiger	0
19	Mann	0
20	mit	0
21	grauem	0
22	Langhaar	0
23	vor	0
24	dem	0
25	Wohnhause	0
26	seines	0
27	Gehöftes	0
28	in	0
29	dem	0
30	anmutig	0
31	gelegenen	0
32	Städtchen	0
33	Wachenheim	0
34	in	0
35	der	0
36	Rheinpfalz	0
37	und	0
38	blickte	0
39	sinnend	0
40	vor	0
41	sich	0
42	hin	0
43	.	0
44	Er	0
45	war	0
46	in	0
47	landesüblicher	0
48	Bauerntracht	0
49	,	0
50	aber	0
51	seine	0
52	Haltung	0
53	und	0
54	ganze	0
55	Erscheinung	0
56	hatten	0
57	etwas	0
58	Würdevolles	0
59	,	0
60	Achtunggebietendes	0
61	.	0
62	Seine	0
63	rechte	0
64	Hand	0
65	ruhte	0
66	auf	0
67	dem	0
68	derben	0
69	Kreuzbeintische	0
70	vor	0
71	ihm	0
72	,	0
73	und	0
74	ohne	0
75	sich	0
76	dessen	0
77	bewußt	0
78	zu	0
79	sein	0
80	,	0
81	trommelte	0
82	er	0
83	auf	0
84	der	0
85	Platte	0
86	einen	0
87	marschmäßigen	0
88	Takt	0
89	.	0
90	Er	0
91	hatte	0
92	in	0
93	den	0
94	überstandenen	0
95	,	0
96	langen	0
97	Kriegsjahren	0
98	viel	0
99	trommeln	0
100	gehört	0
101	,	0
102	und	0
103	so	0
104	war	0
105	ihm	0
106	dieses	0
107	Fingerspiel	0
108	zur	0
109	Gewohnheit	0
110	geworden	0
111	,	0
112	wenn	0
113	ihm	0
114	etwas	0
115	Besonderes	0
116	die	0
117	Gedanken	0
118	bewegte	0
119	.	0
120	Es	0
121	war	0
122	der	0
123	Bürgermeister	0
124	von	0
125	Wachenheim	0
126	Christoph	0
127	Armbruster	0
128	,	0
129	der	0
130	sich	0
131	als	0
132	Winzer	0
133	eines	0
134	behäbigen	0
135	Wohlstandes	0
136	erfreute	0
137	und	0
138	die	0
139	Bürgermeisterei	0
140	im	0
141	Ehrenamt	0
142	verwaltete	0
143	.	0
144	Es	0
145	schienen	0
146	auch	0
147	keineswegs	0
148	Sorgen	0
149	zu	0
150	sein	0
151	,	0
152	was	0
153	ihn	0
154	zu	0
155	dieser	0
156	Stunde	0
157	beschäftigte	0
158	,	0
159	denn	0
160	sein	0
161	Gesicht	0
162	mit	0
163	der	0
164	stark	0
165	hervortretenden	0
166	Nase	0
167	und	0
168	dem	0
169	kräftigen	0
170	Kinn	0
171	zeigte	0
172	einen	0
173	zufriedenen	0
174	Ausdruck	0
175	,	0
176	und	0
177	er	0
178	schaute	0
179	,	0
180	wie	0
181	sie	0
182	in	0
183	der	0
184	Pfalz	0
185	sagen	0
186	,	0
187	so	0
188	recht	0
189	stillbeducht	0
190	und	0
191	heimselig	0
192	drein	0
193	.	0
194	Das	0
195	Gehöft	0
196	,	0
197	auf	0
198	das	0
199	man	0
200	von	0
201	der	0
202	Straße	0
203	durch	0
204	ein	0
205	breites	0
206	,	0
207	bei	0
208	Tage	0
209	stets	0
210	offenes	0
211	Tor	0
212	gelangte	0
213	,	0
214	bildete	0
215	ein	0
216	umfangreiches	0
217	,	0
218	längliches	0
219	Viereck	0
220	,	0
221	in	0
222	welchem	0
223	sich	0
224	mehrere	0
225	,	0
226	den	0
227	Umfassungsmauern	0
228	angefügte	0
229	Gebäude	0
230	befanden	0
231	,	0
232	ein	0
233	größeres	0
234	,	0
235	zweistöckiges	0
236	Haus	0
237	,	0
238	das	0
239	der	0
240	Bürgermeister	0
241	mit	0
242	seiner	0
243	Frau	0
244	und	0
245	seiner	0
246	jüngsten	0
247	Tochter	0
248	,	0
249	und	0
250	ein	0
251	kleineres	0
252	,	0
253	das	0
254	sein	0
255	Sohn	0
256	mit	0
257	Frau	0
258	und	0
259	Kindern	0
260	bewohnte	0
261	,	0
262	ferner	0
263	das	0
264	Kelterhaus	0
265	,	0
266	Scheune	0
267	,	0
268	Schuppen	0
269	und	0
270	Ställe	0
271	.	0
272	Dem	0
273	größeren	0
274	Wohnhause	0
275	entlang	0
276	zog	0
277	sich	0
278	eine	0
279	schattige	0
280	Pergola	0
281	,	0
282	d.	0
283	h.	0
284	ein	0
285	laubenartiger	0
286	,	0
287	auch	0
288	oben	0
289	mit	0
290	Latten	0
291	versehener	0
292	Rebengang	0
293	,	0
294	worin	0
295	zwischen	0
296	den	0
297	Ranken	0
298	und	0
299	Blättern	0
300	dunkelblaue	0
301	Malvasiertrauben	0
302	hingen	0
303	.	0
304	Hinter	0
305	den	0
306	Häusern	0
307	streckte	0
308	sich	0
309	bis	0
310	an	0
311	die	0
312	mit	0
313	runden	0
314	Verteidigungstürmen	0
315	bewehrte	0
316	Stadtumwallung	0
317	ein	0
318	wohlgepflegter	0
319	Obst-	0
320	und	0
321	Gemüsegarten	0
322	.	0
323	Auf	0
324	dem	0
325	geräumigen	0
326	Hofe	0
327	stand	0
328	seitwärts	0
329	ein	0
330	alter	0
331	Nußbaum	0
332	,	0
333	dessen	0
334	mächtigen	0
335	Stamm	0
336	eine	0
337	hölzerne	0
338	Sitzbank	0
339	umgab	0
340	.	0
341	Dieses	0
342	stattliche	0
343	Anwesen	0
344	hieß	0
345	der	0
346	Abtshof	0
347	,	0
348	weil	0
349	es	0
350	vor	0
351	Jahrhunderten	0
352	das	0
353	Eigentum	0
354	des	0
355	nahen	0
356	,	0
357	von	0
358	Konrad	0
359	II.	0
360	,	0
361	dem	0
362	Salier	0
363	,	0
364	gestifteten	0
365	und	0
366	reich	0
367	dotierten	0
368	Benediktinerklosters	0
369	Limburg	0
370	gewesen	0
371	war	0
372	,	0
373	zu	0
374	dem	0
375	der	0
376	Kaiser	0
377	selber	0
378	,	0
379	und	0
380	zwar	0
381	an	0
382	dem	0
383	nämlichen	0
384	Tage	0
385	wie	0
386	zu	0
387	dem	0
388	herrlichen	0
389	Dom	0
390	in	0
391	Speyer	0
392	den	0
393	Grundstein	0
394	gelegt	0
395	hatte	0
396	.	0
397	Einer	0
398	der	0
399	Äbte	0
400	hatte	0
401	den	0
402	Hof	0
403	erbaut	0
404	,	0
405	um	0
406	hier	0
407	die	0
408	edlen	0
409	Gewächse	0
410	der	0
411	ihn	0
412	umgebenden	0
413	,	0
414	dem	0
415	Kloster	0
416	zugehörigen	0
417	Weinberge	0
418	keltern	0
419	und	0
420	lagern	0
421	zu	0
422	können	0
423	,	0
424	und	0
425	jetzt	0
426	noch	0
427	waren	0
428	die	0
429	starken	0
430	Mauern	0
431	und	0
432	Gewölbe	0
433	vorhanden	0
434	,	0
435	in	0
436	denen	0
437	dies	0
438	einst	0
439	geschehen	0
440	war	0
441	.	0
442	Außer	0
443	diesem	0
444	unterirdischen	0
445	Gemäuer	0
446	aber	0
447	war	0
448	von	0
449	dem	0
450	abteilichen	0
451	Bau	0
452	kaum	0
453	ein	0
454	Stein	0
455	auf	0
456	dem	0
457	andern	0
458	geblieben	0
459	.	0
460	Kriegsstürme	0
461	hatten	0
462	ihn	0
463	wie	0
464	so	0
465	manches	0
466	,	0
467	was	0
468	Menschenhand	0
469	hier	0
470	geschaffen	0
471	,	0
472	fast	0
