ID_general;ID_general_old;fullname;gender;possible_identity;members;members_names;specialcase;borderline;comment_entity;ID_chapter_1;ID_chapter_2;ID_chapter_3;ID_chapter_4;ID_chapter_5;ID_chapter_6;ID_chapter_7;ID_chapter_8;ID_chapter_9;ID_chapter_10;ID_chapter_11;ID_chapter_12;ID_chapter_13;ID_chapter_14
entity_0001;;Franz Linden;m;;;;;;;Franz Linden;Franz Linden;Franz Linden;Franz Linden;Franz Linden;Franz Linden;Franz Linden;Franz;Franz;Franz Linden;Linden;Franz Linden;Franz Linden;Franz Linden
entity_0002;;Richard Weishaupt;m;;;;;;;Amtsrichter Weishaupt;Amtsrichter;Amtsrichter Weishaupt;Amtsrichter Weishaupt;;Amtsrichter Weishaupt;;Amtsrichter;Richard;Amtsrichter;Herr Amtsrichter;Amtsrichter;;Amtsrichter
entity_0003;;Herr Wolff;m;;;;;;;Herr Wolff;Herr Wolff;Herr Wolff;Wolff;;Monsieur Wolff;E. Wolff;Herr Wolff;Wolff;Wolff;Wolff;Wolff;;Wolff
entity_0004;;Gertrud Baumhagen;f;;;;;;;junge Frau;Trudchen Baumhagen;Trudchen Baumhagen;Gertrud;Trudchen;Gertrud;Trudchen;Trudchen;Trudchen;Trudchen;Trudchen;Trudchen;Trudchen Baumhagen;Trudchen
entity_0005;Frau Baumhagen;Ottilie Baumhagen;f;;;;;;;;Frau Baumhagen;;Ottilie Baumhagen;Frau Ottilie;Frau Baumhagen;Frau Baumhagen;Frau Baumhagen;Trudchens Mutter;Frau Baumhagen;Frau Baumhagen;;Ottilie Baumhagen;
entity_0006;;Jenny Fredrich, geb. Baumhagen;f;;;;;;;Schwester der jungen Frau;Jenny Fredrich;Jenny Fredrich;Jenny;Jenny;Jenny;Jenny;Jenny;Jenny;Jenny;Jenny;;Jenny;
entity_0007;Artur Fredrich;Artur Fredrich;m;;;;;;;;Artur Fredrich;Artur Fredrich;Artur;Artur;Artur Fredrich;Artur;Artur;Artur;;Artur;;Artur;
entity_0008;Onkel Heinrich;Onkel Heinrich;m;;;;;;;;;;Onkel Heinrich;Onkel Heinrich;Onkel Heinrich;Onkel Heinrich;Onkel Heinrich;Onkel Heinrich;Onkel Heinrich;Onkel Heinrich;Onkel Heinrich;Onkel Heinrich;Onkel Heinrich
entity_0009;Tante Stadträtin;Tante Pauline;f;;;;;;;;;;Tante Pauline;;Tante Stadträtin;Tante Stadträtin;Tante Stadträtin;;;;;Tante Stadträtin;
entity_0010;Familie Baumhagen;Familie Baumhagen;mf;;entity_0015, entity_0005, entity_0009, entity_0008, entity_0004, entity_0006, entity_0007;Herr Baumhagen, Ottilie Baumhagen, Tante Stadträtin, Onkel Heinrich, Trudchen Baumhagen, Jenny Fredrich, Artur Fredrich;group;;;Familie Baumhagen;Familie Baumhagen;;Familie Baumhagen;Trudchens Familie;Familie Baumhagen;;Trudchens Familie;Trudchens Familie;Familie Baumhagen;;;;Familie Baumhagen
entity_0011;;Rosalie Kruse;f;;;;;;;Tante des Franz Linden;Tante Rosa;Tante Rosalie;Tante Rosa;;;Tante Rosa;Tante Rosa;Tante Rosa;Tante Rosa;Fräulein Rosa;Tante Rosa;Tante Rosa;Tante Rosa
entity_0012;;Johanne;f;;;;;;;Mutter des Täuflings;Johanne;;;;;;Johanne;Johanne;Johanne;Johanne;Johanne;Johanne;
entity_0013;;Oberprediger;m;;;;;;;Oberprediger;Oberprediger;;;;Herr Oberprediger;Prediger;;;;;;;
