i	text
7	Erstes
8	Kapitel
9	.
10	An
11	einem
12	warmen
13	Septemberabend
14	saß
15	ein
16	hochgestalteter
17	,
18	stämmiger
19	Mann
20	mit
21	grauem
22	Langhaar
23	vor
24	dem
25	Wohnhause
26	seines
27	Gehöftes
28	in
29	dem
30	anmutig
31	gelegenen
32	Städtchen
33	Wachenheim
34	in
35	der
36	Rheinpfalz
37	und
38	blickte
39	sinnend
40	vor
41	sich
42	hin
43	.
44	Er
45	war
46	in
47	landesüblicher
48	Bauerntracht
49	,
50	aber
51	seine
52	Haltung
53	und
54	ganze
55	Erscheinung
56	hatten
57	etwas
58	Würdevolles
59	,
60	Achtunggebietendes
61	.
62	Seine
63	rechte
64	Hand
65	ruhte
66	auf
67	dem
68	derben
69	Kreuzbeintische
70	vor
71	ihm
72	,
73	und
74	ohne
75	sich
76	dessen
77	bewußt
78	zu
79	sein
80	,
81	trommelte
82	er
83	auf
84	der
85	Platte
86	einen
87	marschmäßigen
88	Takt
89	.
90	Er
91	hatte
92	in
93	den
94	überstandenen
95	,
96	langen
97	Kriegsjahren
98	viel
99	trommeln
100	gehört
101	,
102	und
103	so
104	war
105	ihm
106	dieses
107	Fingerspiel
108	zur
109	Gewohnheit
110	geworden
111	,
112	wenn
113	ihm
114	etwas
115	Besonderes
116	die
117	Gedanken
118	bewegte
119	.
120	Es
121	war
122	der
123	Bürgermeister
124	von
125	Wachenheim
126	Christoph
127	Armbruster
128	,
129	der
130	sich
131	als
132	Winzer
133	eines
134	behäbigen
135	Wohlstandes
136	erfreute
137	und
138	die
139	Bürgermeisterei
140	im
141	Ehrenamt
142	verwaltete
143	.
144	Es
145	schienen
146	auch
147	keineswegs
148	Sorgen
149	zu
150	sein
151	,
152	was
153	ihn
154	zu
155	dieser
156	Stunde
157	beschäftigte
158	,
159	denn
160	sein
161	Gesicht
162	mit
163	der
164	stark
165	hervortretenden
166	Nase
167	und
168	dem
169	kräftigen
170	Kinn
171	zeigte
172	einen
173	zufriedenen
174	Ausdruck
175	,
176	und
177	er
178	schaute
179	,
180	wie
181	sie
182	in
183	der
184	Pfalz
185	sagen
186	,
187	so
188	recht
189	stillbeducht
190	und
191	heimselig
192	drein
193	.
194	Das
195	Gehöft
196	,
197	auf
198	das
199	man
200	von
201	der
202	Straße
203	durch
204	ein
205	breites
206	,
207	bei
208	Tage
209	stets
210	offenes
211	Tor
212	gelangte
213	,
214	bildete
215	ein
216	umfangreiches
217	,
218	längliches
219	Viereck
220	,
221	in
222	welchem
223	sich
224	mehrere
225	,
226	den
227	Umfassungsmauern
228	angefügte
229	Gebäude
230	befanden
231	,
232	ein
233	größeres
234	,
235	zweistöckiges
236	Haus
237	,
238	das
239	der
240	Bürgermeister
241	mit
242	seiner
243	Frau
244	und
245	seiner
246	jüngsten
247	Tochter
248	,
249	und
250	ein
251	kleineres
252	,
253	das
254	sein
255	Sohn
256	mit
257	Frau
258	und
259	Kindern
260	bewohnte
261	,
262	ferner
263	das
264	Kelterhaus
265	,
266	Scheune
267	,
268	Schuppen
269	und
270	Ställe
271	.
272	Dem
273	größeren
274	Wohnhause
275	entlang
276	zog
277	sich
278	eine
279	schattige
280	Pergola
281	,
282	d.
283	h.
284	ein
285	laubenartiger
286	,
287	auch
288	oben
289	mit
290	Latten
291	versehener
292	Rebengang
293	,
294	worin
295	zwischen
296	den
297	Ranken
298	und
299	Blättern
300	dunkelblaue
301	Malvasiertrauben
302	hingen
303	.
304	Hinter
305	den
306	Häusern
307	streckte
308	sich
309	bis
310	an
311	die
312	mit
313	runden
314	Verteidigungstürmen
315	bewehrte
316	Stadtumwallung
317	ein
318	wohlgepflegter
319	Obst-
320	und
321	Gemüsegarten
322	.
323	Auf
324	dem
325	geräumigen
326	Hofe
327	stand
328	seitwärts
329	ein
330	alter
331	Nußbaum
332	,
333	dessen
334	mächtigen
335	Stamm
336	eine
337	hölzerne
338	Sitzbank
339	umgab
340	.
341	Dieses
342	stattliche
343	Anwesen
344	hieß
345	der
346	Abtshof
347	,
348	weil
349	es
350	vor
351	Jahrhunderten
352	das
353	Eigentum
354	des
355	nahen
356	,
357	von
358	Konrad
359	II.
360	,
361	dem
362	Salier
363	,
364	gestifteten
365	und
366	reich
367	dotierten
368	Benediktinerklosters
369	Limburg
370	gewesen
371	war
372	,
373	zu
374	dem
375	der
376	Kaiser
377	selber
378	,
379	und
380	zwar
381	an
382	dem
383	nämlichen
384	Tage
385	wie
386	zu
387	dem
388	herrlichen
389	Dom
390	in
391	Speyer
392	den
393	Grundstein
394	gelegt
395	hatte
396	.
397	Einer
398	der
399	Äbte
400	hatte
401	den
402	Hof
403	erbaut
404	,
405	um
406	hier
407	die
408	edlen
409	Gewächse
410	der
411	ihn
412	umgebenden
413	,
414	dem
415	Kloster
416	zugehörigen
417	Weinberge
418	keltern
419	und
420	lagern
421	zu
422	können
423	,
424	und
425	jetzt
426	noch
427	waren
428	die
429	starken
430	Mauern
431	und
432	Gewölbe
433	vorhanden
434	,
435	in
436	denen
437	dies
438	einst
439	geschehen
440	war
441	.
442	Außer
443	diesem
444	unterirdischen
445	Gemäuer
446	aber
447	war
448	von
449	dem
450	abteilichen
451	Bau
452	kaum
453	ein
454	Stein
455	auf
456	dem
457	andern
458	geblieben
459	.
460	Kriegsstürme
461	hatten
462	ihn
463	wie
464	so
465	manches
466	,
467	was
468	Menschenhand
469	hier
470	geschaffen
471	,
472	fast
473	bis
474	auf
475	den
476	Grund
477	hinweggefegt
478	.
479	Denn
480	die
481	Pfalz
482	,
483	namentlich
484	die
485	Vorderpfalz
486	mit
487	ihrem
488	Köstliches
489	hervorbringenden
490	Rebengelände
491	an
492	der
493	Haardt
494	hatte
495	unter
496	schweren
497	Drangsalen
498	zu
499	leiden
500	gehabt
501	.
502	Die
503	unaufhörlichen
504	Fehden
505	des
506	streitlustigen
507	Pfalzgrafen
508	bei
509	Rhein
510	Friedrich
511	des
512	Siegreichen
513	,
514	die
515	Untaten
516	des
517	Bauernkrieges
518	,
519	die
520	verzweifelten
521	Kämpfe
522	mit
523	den
524	beutegierigen
525	Landsknechten
526	des
527	Markgrafen
528	Albrecht
529	Alcibiades
530	von
531	Brandenburg
532	und
533	endlich
534	die
535	furchtbaren
536	Heimsuchungen
537	im
538	dreißigjährigen
539	Kriege
540	unter
541	Tilly
542	,
543	dem
544	Grafen
545	Ernst
546	von
547	Mansfeld
548	und
549	dem
550	Herzog
551	Christian
552	von
553	Braunschweig
554	hatten
555	die
556	Städte
557	und
558	Dörfer
559	der
560	Pfalz
561	eingeäschert
562	,
563	das
564	Land
565	verödet
566	,
567	die
568	Leute
569	ins
570	Elend
571	versetzt
572	.
573	Aber
574	die
575	unerschöpfliche
576	Fruchtbarkeit
577	des
578	Bodens
579	brachte
580	nach
581	jeder
582	Verwüstung
583	die
584	jungen
585	Saaten
586	und
587	Pflanzungen
588	zu
589	schnellem
590	Wachstum
591	,
592	und
593	die
594	Betriebsamkeit
595	der
596	Bewohner
597	besaß
598	die
599	zähe
600	Kraft
601	,
602	unverdrossen
603	wieder
604	aufzurichten
605	,
606	was
607	niedergestampft
608	,
609	verbrannt
610	und
611	verdorben
612	war
613	.
614	Trotz
615	aller
616	Verheerungen
617	,
618	denen
619	sie
620	im
621	Lauf
622	der
623	Zeiten
624	ausgesetzt
625	war
626	,
627	rühmte
628	sich
629	die
630	Pfalz
631	,
632	einer
633	der
634	höchstgesegneten
635	Gaue
636	des
637	deutschen
638	Reiches
639	zu
640	sein
641	,
642	so
643	daß
644	es
645	einst
646	von
647	ihr
648	hieß
649	,
650	sie
651	wäre
652	so
653	reich
654	,
655	daß
656	hier
657	selbst
658	die
659	Bettelleute
660	Kapitalsteuer
661	zahlten
662	.
663	Und
664	jetzt
665	,
666	sechzehn
667	Jahre
668	nach
669	dem
670	Westfälischen
671	Frieden
672	,
673	unter
674	der
675	Regierung
676	des
677	für
678	die
679	Wohlfahrt
680	seines
681	Landes
682	rastlos
683	bemühten
684	Kurfürsten
685	und
686	Pfalzgrafen
687	Karl
688	Ludwig
689	,
690	war
691	sie
692	in
693	fröhlichem
694	Aufschwung
695	begriffen
696	;
697	allerwegen
698	entfaltete
699	sich
700	ein
701	sichtliches
702	Gedeihen
703	von
704	Handel
705	und
706	Gewerbe
707	,
708	Acker-
709	und
710	Weinbau
711	.
712	Auch
713	der
714	Abtshof
715	,
716	die
717	einstige
718	Siedelung
719	jenes
720	längst
721	zerstörten
722	Benediktinerstiftes
723	,
724	hatte
725	sich
726	aus
727	den
728	Trümmern
729	,
730	in
731	die
732	er
733	mehr
734	als
735	einmal
736	gesunken
737	war
738	,
739	in
740	erneuter
741	Gestalt
742	erhoben
743	und
744	war
745	nun
746	schon
747	in
748	der
749	vierten
750	Generation
751	das
752	Erbe
753	der
754	Familie
755	Armbruster
756	.
757	Seine
758	letzte
759	Beschädigung
760	durch
761	die
762	Spanier
763	,
764	die
765	sein
