i	token	mention	gold
10891	Viertes		
10892	Kapitel		
10893	.		
10894	Ausgangs		
10895	Oktober		
10896	war		
10897	die		
10898	Lese		
10899	im		
10900	pfälzer		
10901	Weingebiet		
10902	beendet		
10903	und		
10904	hatte		
10905	einen		
10906	über		
10907	Erwarten		
10908	guten		
10909	Herbst		
10910	geliefert		
10911	.		
10912	Nun		
10913	begann		
10914	nach		
10915	dem		
10916	Keltern		
10917	der		
10918	Trauben		
10919	die		
10920	Kellerarbeit		
10921	,		
10922	das		
10923	Ab-		
10924	und		
10925	Umfüllen		
10926	aus		
10927	einem		
10928	Faß		
10929	in		
10930	das		
10931	andere		
10932	und		
10933	das		
10934	Klären		
10935	des		
10936	Mostes		
10937	,		
10938	der		
10939	in		
10940	seinen		
10941	hölzernen		
10942	Banden		
10943	gärte		
10944	und		
10945	brauste		
10946	.		
10947	Dabei		
10948	hatte		
10949	jeder		
10950	Winzer	1655	(mention_id=1626|references=(entity=(entity_id=entity_0044|fullname=Wachenheimer Winzer|gender=mf|members=entity_0042,entity_0043|all_members_given=True|specialcase_entity=group)))
10951	mit		
10952	dem		
10953	eigenen		
10954	Gewächs		
10955	alle		
10956	Hände		
10957	voll		
10958	zu		
10959	tun		
10960	und		
10961	kümmerte		
10962	sich	1656	(mention_id=1627|references=(entity=(entity_id=entity_0044|fullname=Wachenheimer Winzer|gender=mf|members=entity_0042,entity_0043|all_members_given=True|specialcase_entity=group)))
10963	nicht		
10964	darum		
10965	,		
10966	wie		
10967	den		
10968	anderen	1657	(mention_id=1628|references=(entity=(entity_id=entity_0044|fullname=Wachenheimer Winzer|gender=mf|members=entity_0042,entity_0043|all_members_given=True|specialcase_entity=group)))
10969	das		
10970	ihrige		
10971	geriet		
10972	.		
10973	Trotzdem		
10974	stellte		
10975	sich	1658	(mention_id=1629|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
10976	eines		
10977	Tages		
10978	Franz	1659	(mention_id=1630|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
10979	Gersbacher	1659	(mention_id=1630|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
10980	auf		
10981	dem		
10982	Abtshofe		
10983	ein		
10984	,		
10985	um		
10986	sich	1660	(mention_id=1631|references=(entity=(entity_id=entity_0009|fullname=Franz Gersbacher|gender=m)))
10987	nach		
10988	dem		
10989	Werden		
