	i	text	gold
0	0	1.	
1	1	»	
2	2	Wahrhaftig	(mention_id=1|references=(entity=(entity_id=figur_0001|fullname=Amtsrichter Weishaupt|gender=m)))
3	3	,	
4	4	Franz	(mention_id=2|references=(entity=(entity_id=figur_0007|fullname=Franz Linden|gender=m)))
5	5	,	
6	6	an	
7	7	deiner	(mention_id=3|references=(entity=(entity_id=figur_0007|fullname=Franz Linden|gender=m)))
8	8	Stelle	
9	9	wüßte	
10	10	ich	(mention_id=4|references=(entity=(entity_id=figur_0001|fullname=Amtsrichter Weishaupt|gender=m)))
11	11	nicht	
12	12	,	
13	13	ob	
14	14	ich	(mention_id=5|references=(entity=(entity_id=figur_0001|fullname=Amtsrichter Weishaupt|gender=m)))
15	15	lachen	
16	16	oder	
17	17	weinen	
18	18	sollte	
19	19	!	
20	20	Eine	
21	21	Erbschaft	
22	22	ist	
23	23	mir	(mention_id=6|references=(entity=(entity_id=figur_0001|fullname=Amtsrichter Weishaupt|gender=m)))
24	24	immer	
25	25	als	
26	26	das	
27	27	Ziel	
28	28	meiner	(mention_id=7|references=(entity=(entity_id=figur_0001|fullname=Amtsrichter Weishaupt|gender=m)))
29	29	Wünsche	
30	30	erschienen	
31	31	,	
32	32	aber	
33	33	wie	
34	34	mit	
35	35	jedem	
36	36	Dinge	
37	37	im	
38	38	menschlichen	
39	39	Leben	
40	40	–	
41	41	alles	
42	42	mit	
43	43	Unterschied	
44	44	.	
45	45	Franz	(mention_id=8|references=(entity=(entity_id=figur_0007|fullname=Franz Linden|gender=m)))
46	46	,	
47	47	wirklich	
48	48	,	
49	49	du	(mention_id=9|references=(entity=(entity_id=figur_0007|fullname=Franz Linden|gender=m)))
50	50	tust	
51	51	mir	(mention_id=10|references=(entity=(entity_id=figur_0001|fullname=Amtsrichter Weishaupt|gender=m)))
52	52	leid	
53	53	!	
54	54	Da	
55	55	hast	
56	56	du	(mention_id=11|references=(entity=(entity_id=figur_0007|fullname=Franz Linden|gender=m)))
57	57	nun	
58	58	etwas	
59	59	Ererbtes	
60	60	am	
61	61	Halse	
62	62	,	
63	63	an	
64	64	das	
65	65	du	(mention_id=12|references=(entity=(entity_id=figur_0007|fullname=Franz Linden|gender=m)))
66	66	nie	
67	67	gedacht	
68	68	hast	
69	69	.	
70	70	Ein	
71	71	sogenanntes	
72	72	Gut	
73	73	,	
74	74	ein	
75	75	paar	
76	76	hundert	
77	77	Morgen	
78	78	Äckerchen	
79	79	und	
80	80	Wiesen	
81	81	,	
82	82	etwas	
83	83	Wald	
84	84	,	
85	85	einen	
86	86	verwilderten	
87	87	Garten	
88	88	,	
89	89	ein	
90	90	vernachlässigtes	
91	91	Wohnhaus	
92	92	,	
93	93	als	
94	94	Inventar	
95	95	vier	
96	96	gallige	
97	97	,	
98	98	spatlahme	
99	99	Andalusier	
100	100	,	
101	101	sechs	
102	102	spindeldürre	
103	103	Kühe	
104	104	und	
105	105	eine	
106	106	Tante	(mention_id=13|references=(entity=(entity_id=figur_0009|fullname=Fräulein Rosalie|gender=u)))
107	107	als	
108	108	Hauptsache	
109	109	,	
110	110	die	(mention_id=14|references=(entity=(entity_id=figur_0009|fullname=Fräulein Rosalie|gender=u)))
111	111	das	
112	112	Gallige	
113	113	und	
114	114	Spindeldürre	
115	115	in	
116	116	ihrer	(mention_id=15|references=(entity=(entity_id=figur_0009|fullname=Fräulein Rosalie|gender=u)))
117	117	angenehmen	
118	118	Persönlichkeit	
119	119	zu	
120	120	vereinigen	
121	121	scheint	
122	122	.	
123	123	–	
124	124	Menschenkind	(mention_id=16|references=(entity=(entity_id=figur_0007|fullname=Franz Linden|gender=m)))
125	125	,	
126	126	so	
127	127	ringe	
128	128	doch	
129	129	wenigstens	
130	130	die	
131	131	Hände	
132	132	oder	
133	133	schimpfe	
134	134	,	
135	135	oder	
136	136	tue	
137	137	irgend	
138	138	etwas	
139	139	dergleichen	
140	140	,	
141	141	aber	
142	142	stehe	
143	143	nicht	
