i	token	is_section_start	gold	pred
14990	Sechstes	1		
14991	Kapitel	0		
14992	Ein	0		
14993	Wagen	0		
14994	,	0		
14995	der	0		
14996	Ottilien	0	(mention_id=1973|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2016|references=(entity=(entity_id=13|fullname=Ottilie|gender=f)))
14997	brachte	0		
14998	,	0		
14999	war	0		
15000	angefahren	0		
15001	.	0		
15002	Charlotte	0	(mention_id=1974|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=2017|references=(entity=(entity_id=4|fullname=Charlotte|gender=f)))
15003	ging	0		
15004	ihr	0	(mention_id=1975|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2018|references=(entity=(entity_id=13|fullname=Ottilie|gender=f)))
15005	entgegen	0		
15006	;	0		
15007	das	0		
15008	liebe	0		
15009	Kind	0	(mention_id=1976|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2019|references=(entity=(entity_id=13|fullname=Ottilie|gender=f)))
15010	eilte	0		
15011	,	0		
15012	sich	0	(mention_id=1977|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2020|references=(entity=(entity_id=13|fullname=Ottilie|gender=f)))
15013	ihr	0	(mention_id=1978|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=2021|references=(entity=(entity_id=4|fullname=Charlotte|gender=f)))
15014	zu	0		
15015	nähern	0		
15016	,	0		
15017	warf	0		
15018	sich	0	(mention_id=1979|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2022|references=(entity=(entity_id=13|fullname=Ottilie|gender=f)))
15019	ihr	0	(mention_id=1980|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=2023|references=(entity=(entity_id=4|fullname=Charlotte|gender=f)))
15020	zu	0		
15021	Füßen	0		
15022	und	0		
15023	umfaßte	0		
15024	ihre	0	(mention_id=1981|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=2024|references=(entity=(entity_id=4|fullname=Charlotte|gender=f)))
15025	Kniee	0		
15026	.	0		
15027	»	0		
15028	Wozu	0		
15029	die	0		
15030	Demütigung	0		
15031	!	0		
15032	«	0		
15033	sagte	0		
15034	Charlotte	0	(mention_id=1982|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=2025|references=(entity=(entity_id=4|fullname=Charlotte|gender=f)))
15035	,	0		
15036	die	0	(mention_id=1983|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=2026|references=(entity=(entity_id=4|fullname=Charlotte|gender=f)))
15037	einigermaßen	0		
15038	verlegen	0		
15039	war	0		
15040	und	0		
15041	sie	0		
15042	aufheben	0		
15043	wollte	0		
15044	.	0		
15045	»	0		
15046	Es	0		
15047	ist	0		
15048	so	0		
15049	demütig	0		
15050	nicht	0		
15051	gemeint	0		
15052	,	0		
15053	«	0		
15054	versetzte	0		
15055	Ottilie	0	(mention_id=1984|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2027|references=(entity=(entity_id=13|fullname=Ottilie|gender=f)))
15056	,	0		
15057	die	0	(mention_id=1985|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2028|references=(entity=(entity_id=13|fullname=Ottilie|gender=f)))
15058	in	0		
15059	ihrer	0	(mention_id=1986|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2029|references=(entity=(entity_id=13|fullname=Ottilie|gender=f)))
15060	vorigen	0		
15061	Stellung	0		
15062	blieb	0		
15063	.	0		
15064	»	0		
15065	Ich	0	(mention_id=1987|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2030|references=(entity=(entity_id=13|fullname=Ottilie|gender=f)))
15066	mag	0		
15067	mich	0	(mention_id=1988|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2031|references=(entity=(entity_id=13|fullname=Ottilie|gender=f)))
15068	nur	0		
15069	so	0		
15070	gern	0		
15071	jener	0		
15072	Zeit	0		
15073	erinnern	0		
15074	,	0		
15075	da	0		
15076	ich	0	(mention_id=1989|references=(entity=(entity_id=entity_0006|fullname=Ottilie|gender=f)))	(mention_id=2032|references=(entity=(entity_id=13|fullname=Ottilie|gender=f)))
15077	noch	0		
15078	nicht	0		
15079	höher	0		
15080	reichte	0		
15081	als	0		
15082	bis	0		
15083	an	0		
15084	Ihre	0	(mention_id=1990|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=2033|references=(entity=(entity_id=4|fullname=Charlotte|gender=f)))
15085	Kniee	0		
15086	und	0		
15087	Ihrer	0	(mention_id=1991|references=(entity=(entity_id=entity_0002|fullname=Charlotte|gender=f)))	(mention_id=2034|references=(entity=(entity_id=4|fullname=Charlotte|gender=f)))
