i	token	is_section_start	gold	pred
70995	Zweiundzwanzigstes	1		
70996	Kapitel	0		
70997	.	0		
70998	Noch	0		
70999	tagelang	0		
71000	machte	0		
71001	sich	0		
71002	in	0		
71003	der	0		
71004	Einwohnerschaft	0	(mention_id=11197|references=(entity=(entity_id=entity_0019|fullname=Wachenheimer|gender=mf|members=entity_0007,entity_0013,entity_0014,entity_0026|all_members_given=False|specialcase_entity=group)))	(mention_id=11258|references=(entity=(entity_id=6|fullname=Einwohnerschaft Wachenheims|gender=mf|specialcase_entity=group)))
71005	Wachenheims	0		
71006	die	0		
71007	Aufregung	0		
71008	über	0		
71009	das	0		
71010	unselige	0		
71011	Ereignis	0		
71012	fühlbar	0		
71013	,	0		
71014	das	0		
71015	da	0		
71016	draußen	0		
71017	vor	0		
71018	der	0		
71019	Holzpforte	0		
71020	seinen	0		
71021	schauerlichen	0		
71022	Abschluß	0		
71023	gefunden	0		
71024	hatte	0		
71025	.	0		
71026	Man	0	(mention_id=11198|references=(entity=(entity_id=entity_0021|fullname=Christophs Gegner|gender=mf|members=entity_0015,entity_0043|all_members_given=False|specialcase_entity=group)))	
71027	sah	0		
71028	auf	0		
71029	der	0		
71030	Straße	0		
71031	unzufriedene	0		
71032	,	0		
71033	mürrische	0		
71034	Gesichter	0		
71035	und	0		
71036	hörte	0		
71037	abfällige	0		
71038	Bemerkungen	0		
71039	über	0		
71040	die	0		
71041	rechtschaffenen	0		
71042	,	0		
71043	unbescholtenen	0		
71044	Bürger	0	(mention_id=11199|references=(entity=(entity_id=entity_0229|fullname=Schöffen|gender=m|specialcase_entity=group)))	(mention_id=11259|references=(entity=(entity_id=39|fullname=die Schöffen|gender=m|specialcase_entity=group)))
71045	,	0		
71046	die	0	(mention_id=11200|references=(entity=(entity_id=entity_0229|fullname=Schöffen|gender=m|specialcase_entity=group)))	(mention_id=11260|references=(entity=(entity_id=39|fullname=die Schöffen|gender=m|specialcase_entity=group)))
71047	bei	0		
71048	der	0		
71049	Gerichtsverhandlung	0		
71050	die	0		
71051	eingeschworene	0		
71052	Schöffenbank	0		
71053	gebildet	0		
71054	hatten	0		
71055	.	0		
71056	Selbst	0		
71057	der	0		
71058	hochachtbare	0		
71059	,	0		
71060	ehrwürdige	0		
71061	Schultheiß	0	(mention_id=11201|references=(entity=(entity_id=entity_0030|fullname=Schultheiß Gottfried Bofinger|gender=m)))	(mention_id=11261|references=(entity=(entity_id=31|fullname=der Schultheiß|gender=m)))
71062	wurde	0		
71063	hinter	0		
71064	seinem	0	(mention_id=11202|references=(entity=(entity_id=entity_0030|fullname=Schultheiß Gottfried Bofinger|gender=m)))	(mention_id=11262|references=(entity=(entity_id=31|fullname=der Schultheiß|gender=m)))
71065	Rücken	0		
71066	mit	0		
71067	Vorwürfen	0		
71068	wegen	0		
71069	seiner	0	(mention_id=11203|references=(entity=(entity_id=entity_0030|fullname=Schultheiß Gottfried Bofinger|gender=m)))	(mention_id=11263|references=(entity=(entity_id=31|fullname=der Schultheiß|gender=m)))
71070	unnachsichtigen	0		
71071	Strenge	0		
71072	nicht	0		
71073	verschont	0		
71074	.	0		
71075	Aber	0		
71076	nicht	0		
71077	bloß	0		
71078	die	0		
71079	vielen	0		(mention_id=11264|references=(entity=(entity_id=37|fullname=die Mißvergnügten|gender=mf|specialcase_entity=group)))
71080	zu	0		
71081	hart	0		
71082	scheinende	0		
71083	Strafe	0		
71084	war	0		
71085	es	0		
71086	,	0		
71087	was	0		
71088	in	0		
71089	den	0		
71090	Köpfen	0		
71091	der	0		
