ID_general;ID_general_old;fullname;gender;possible_identity_with;members;members_names;specialcase;borderline;comment_entity;ID_chapter_1;ID_chapter_2;ID_chapter_3;ID_chapter_4;ID_chapter_5;ID_chapter_6;ID_chapter_7;ID_chapter_8;ID_chapter_9;ID_chapter_10;ID_chapter_11;ID_chapter_12;ID_chapter_13;ID_chapter_14;ID_chapter_15;ID_chapter_16;ID_chapter_17;ID_chapter_18;ID_chapter_19;ID_chapter_20;ID_chapter_21;ID_chapter_22;ID_chapter_23;ID_chapter_24;ID_chapter_25;ID_chapter_26;ID_chapter_27;ID_chapter_28;ID_chapter_29;ID_chapter_30;ID_chapter_31;ID_chapter_32;ID_chapter_33;ID_chapter_34;ID_chapter_35;ID_chapter_36;ID_chapter_37
entity_0001;figur_0001;Eduard;m;;;;;;;;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;;Eduard;Eduard;Eduard;;Eduard;Eduard;Eduard;Eduard;;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard;Eduard
entity_0002;figur_0002;Charlotte;f;;;;;;;;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte;Charlotte
entity_0003;figur_0003;Hauptmann;m;entity_0374;;;;;;;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;Hauptmann;;;;;;;Hauptmann;;Hauptmann;Hauptmann;Major;Major;Major;Major;;Major;Major
entity_0004;figur_0004;Gärtner;m;;;;;;;;Gärtner;;;;;;;;;;;;;;;;Gärtner;;;;;;Gärtner;;;;Gärtner;Gärtner;;;;;;;;
entity_0005;figur_0007;Luciane;f;;;;;;;;Luciane;Luciane;Luciane;;Luciane;;;;;;;;Luciane;Luciane;;Luciane;;;;;;Luciane;Luciane;Luciane;Luciane;Luciane;Luciane;Luciane;;;;;Luciane;;;
entity_0006;figur_0008;Ottilie;f;;;;;;;;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie;Ottilie
entity_0007;figur_0010;Geschwisterpaare die Charlotte kennt;u;;x;x;group;;;;Geschwister;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0008;figur_0011;Liebende die Charlotte kennt;u;;x;x;group;;;;Liebende;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0009;figur_0012;Freunde die Charlotte kennt;u;;x;x;group;;;;Freunde die Charlotte gesehen hat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0010;figur_0013;Ehepaare die Charlotte kennt;u;;x;x;group;;;;Ehepaare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0011;figur_0014;Arbeiter in Charlottes Anlage;u;;x;x;group;;;;Arbeiter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0012;figur_0019;Eduards erste Frau;f;;;;;;;;Eduards erste Frau;Eduards erste Frau;;;;;;;;Eduards erste Frau;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0013;figur_0020;Eduards Vater;m;;;;;;;;Eduards Vater;;Eduards Vater;;;;;;;;;;;Eduards Vater;;;Eduards Vater;;;;;;;;;Eduards Vater;;;;;;;;;;
entity_0014;figur_0021;Eduards Mutter;f;;;;;;;;Eduards Mutter;Eduards Mutter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0015;figur_0022;Charlottes erster Mann;m;;;;;;;;Charlottes erster Mann;;;;;;;;;Charlottes erster Mann;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0016;figur_0023;Erzählinstanz;u;;;;;;;;Erzähler;;Erzähler;;;Erzähler;Erzähler;;Erzähler;Erzähler;Erzähler;;Erzähler;;;;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;;Erzähler;Erzähler;;;;;Erzähler;;;;Erzähler;Erzähler
entity_0017;figur_0024;manche tätige Freundinnen von Charlotte;f;;x;x;group;;;;Freundinnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0018;figur_0025;manche tätige Freunde von Charlotte;m;;x;x;group;;;;Freunde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0019;figur_0027;Postbote;m;;;;;;;;Postbote;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0020;figur_0028;gegenwärtige Pächter;m;;entity_0079, x;gegenwärtiger Pächter, x;group;members, gender;"gender könnte auch ""u"" sein. Nicht sicher, ob als Pächter jeweils die ganzen Familien bezeichnet werden oder nur das männliche Familienoberhaupt. Intuition ist aber: Pächter und ""Frau des Pächters"". Deshalb davon ausgehen, dass Pächter zuerst mal männlich zu denken ist. ";;Pächter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0021;figur_0032;Mittler;m;;;;;;;;;Mittler;;;;;;;Mittler;;;;;;;;;Mittler;;;;;;;;Mittler;;;;;;;Mittler;Mittler;Mittler;Mittler
entity_0022;figur_0033;Ottilies Mutter;f;;;;;;;;;Ottilies Mutter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ottilies Mutter;;;;
entity_0023;figur_0035;Vorsteherin der Pension;f;;;;;;;;;Vorsteherin der Pension;Vorsteherin;;Vorsteherin;Vorsteherin;;;;;;;;;;;;;;;;;;;Vorsteherin der Pension;Vorsteherin;;;;;;;;;;
entity_0024;figur_0036;Bedienstete;u;;entity_0026, x;Bedienter, x;group;gender;gender evtl. m;;;Bedienstete;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0026;figur_0039;Bedienter;m;;;;;;;;;Bedienter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0027;figur_0040;Wer ein Übel los sein will;u;;;;;;;;;Wer ein Übel los sein will;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0028;figur_0041;Eduards Eltern;mf;;entity_0014, entity_0013;Eduards Mutter, Eduards Vater;group;;;;;Eduards Eltern;;;;;;;;Eduards Eltern;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0029;figur_0043;Ehepaare in Mittlers ehemaliger Gemeinde;mf;;x;x;group;;;;;Ehepaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0030;figur_0044;Bote;m;;;;;;;;;Bote;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0031;figur_0045;Charlottes Tante;f;;;;;;;;;Charlottes Tante;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0032;figur_0046;Begrabene auf Kirchhof;u;;x;x;group;;;;;Begrabene auf Kirchhof;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0033;figur_0047;Bewohner in Mittlers ehemaliger Gemeinde;u;;x;x;group;;;;;Bewohner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0034;figur_0048;Gutsbesitzer in Mittlers ehemaliger Gemeinde;u;;x;x;group;gender;Bei Gutsbesitzer ähnlich wie zuvor Pächter: Zu verstehen als generisches Maskulinum für ganze Familien von Gutsbesitzern oder als Bezeichnung der männlichen Oberhäupter;;;Gutsbesitzer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0035;figur_0050;geschickteste Advokaten;m;;x;x;group;generic;Grenzfall zu generic, einerseits: geschickteste Advocaten als allgemeine Aussage und unspezifisch, andererseits eben die geschicktesten Advocaten mit denen Mittler zu tun hat. Deshalb als nicht-generic, weil durch Kontakt mit Mittler ja iwie raumzeitlich gebunden.;;;geschickteste Advokaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0036;figur_0052;vornehme und reiche Leute;u;;x;x;group;generic;"ähnlicher Grenzfall wie ""geschickteste Advocaten"", einerseits allgemein und unspezifisch, andererseits durch Kontaktstelle Mittler raumzeitlich verortet";;;vornehme und reiche Leute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0037;figur_0053;Gehülfe;m;;;;;;;;;;Gehülfe;;Gehülfe;Gehülfe;;;;;;;;;;Gehülfe;;;;;;;;Gehülfe;Gehülfe;Gehilfe;;;;;;;Gehülfe;Gehülfe;Gehülfe;
entity_0038;figur_0055;alle Schülerinnen der Pension zur Zeit als Ottilie und Luciane dort sind;f;;entity_0005, entity_0006, x;Ottilie, Luciane, x;group;;;;;;Schülerinnen;;Schülerinnen;Schülerinnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0039;figur_0057;alle Schülerinnen der Pension außer Ottilie zur Zeit als Luciane und Ottilie dort sind;f;;entity_0005, x;Luciane, x;group;;;;;;Mitschülerinnen von Ottilie;;alle Schülerinnen außer Ottilie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0040;figur_0058;Vom Hauptmann unterrichtete Jäger;m;;x;x;group;;;;;;Jäger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0041;figur_0059;Vom Hauptmann unterrichtete Bauern;u;;x;x;group;gender;evtl. m;;;;Bauern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0042;figur_0060;Eltern aller Schülerinnen der Pension;mf;;entity_0002, x;Charlotte, x;group;;Als Lucianes Mutter gehört Charlotte zu den Eltern;;;;Eltern der Schülerinnen;;Eltern der Schülerinnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0043;figur_0062;Dienerinnen in der Pension;f;;x;x;group;;;;;;Dienerinnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0044;figur_0065;treffliche aber rasche und ungeduldige Lehrer;u;;x;x;group;gender;"evtl. gender m, da die Vorsteherin weiblich, aber nicht ganz eindeutig; evtl. gehört vorsitzender Prüfer zu dieser Gruppe";;;;Lehrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0045;figur_0066;Vorgesetzte aller Schülerinnen der Anstalt;u;;entity_0002, x;Charlotte, x;group;;Als Charlottes Vorgesetzte gehört Charlotte zu den Vorgesetzten;;;;Vorgesetzte der Schülerinnen;;Vorgesetzte der Schülerinnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0046;figur_0071;Eduards alter Schreiber;m;;;;;;;;;;;Schreiber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0047;figur_0072;Feldchirurgus den der Hauptmann kennt;m;;;;;;;;;;;Feldchirurgus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0048;figur_0078;Charlottes Beschließerin;f;;;;;;;;;;;Charlottes Beschließerin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0049;figur_0080;Vettern Charlottes;m;;x;x;group;;;;;;;Vettern Charlottes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0050;figur_0094;Liebende;mf;;x;x;group;;Da von Charlotte explizit als ihr bekannte Fälle markiert nicht generic;;;;;Liebende;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0051;figur_0104;dritte Person bezogen auf zwei Liebende;u;;;;;;Da von Charlotte explizit als ihr bekannte Fälle markiert nicht generic;;;;;dritte Person bezogen auf zwei Liebende;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0052;figur_0106;Externe Prüfende der Pension;m;;entity_0061, x;vorsitzender Prüfender, x;group;;Vorsteherin und Gehülfe nicht Teil der Gruppe sondern nur bei Versammlung dabei;;;;;;Prüfende;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0053;figur_0107;alle Erziehenden der Pension;mfu;;entity_0023, entity_0037, x;Vorsteherin, Gehülfe, x;group;;gender: wir wissen, dass Männer und Frauen dabei sind, bei den übrigen unspecified;;;;;;alle Erziehenden der Anstalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0054;figur_0108;Schülerinnen die Preise erhalten haben;f;;entity_0005, x;Luciane, x;group;members;"als eigene Gruppe konzipiert (und nicht gleichgesetzt mit ""Ottilies Mitschülerinnen""), da nicht unbedingt klar, ob ALLE anderen gemeint sind; Luciane bei ""members"" dazugezählt, da davon auszugehen ist, dass sie eine derjenigen ist, die Preis bekommt, aber eigentlich implizit, deshalb als borderline";;;;;;andere Schülerinnen außer Ottilie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
