i	token	is_section_start	gold	pred
4999	Zweites	1		
5000	Kapitel	0		
5001	.	0		
5002	In	0		
5003	der	0		
5004	Frühe	0		
5005	des	0		
5006	nächsten	0		
5007	Tages	0		
5008	fragte	0		
5009	Madlen	0	(mention_id=749|references=(entity=(entity_id=entity_0003|fullname=Magdalene Armbruster|gender=f)))	(mention_id=771|references=(entity=(entity_id=16|fullname=Madlen|gender=f)))
5010	ihre	0	(mention_id=750|references=(entity=(entity_id=entity_0003|fullname=Magdalene Armbruster|gender=f)))	(mention_id=772|references=(entity=(entity_id=16|fullname=Madlen|gender=f)))
5011	Tochter	0	(mention_id=751|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))	(mention_id=773|references=(entity=(entity_id=25|fullname=Trudi|gender=f)))
5012	,	0		
5013	wie	0		
5014	Trudi	0	(mention_id=752|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=774|references=(entity=(entity_id=25|fullname=Trudi|gender=f)))
5015	geschlafen	0		
5016	hätte	0		
5017	.	0		
5018	»	0		
5019	Sie	0	(mention_id=753|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=775|references=(entity=(entity_id=25|fullname=Trudi|gender=f)))
5020	schläft	0		
5021	immer	0		
5022	noch	0		
5023	,	0		
5024	«	0		
5025	gab	0		
5026	Ammerie	0	(mention_id=754|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))	(mention_id=776|references=(entity=(entity_id=2|fullname=Ammerie|gender=f)))
5027	zur	0		
5028	Antwort	0		
5029	,	0		
5030	»	0		
5031	und	0		
5032	ich	0	(mention_id=755|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))	(mention_id=777|references=(entity=(entity_id=2|fullname=Ammerie|gender=f)))
5033	habe	0		
5034	beim	0		
5035	Anziehen	0		
5036	ganz	0		
5037	leise	0		
5038	gemacht	0		
5039	,	0		
5040	um	0		
5041	sie	0	(mention_id=756|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=778|references=(entity=(entity_id=25|fullname=Trudi|gender=f)))
5042	nicht	0		
5043	zu	0		
5044	wecken	0		
5045	.	0		
5046	«	0		
5047	»	0		
5048	Gut	0		
5049	!	0		
5050	aber	0		
5051	sage	0		
5052	mal	0		
5053	:	0		
5054	wie	0		
5055	ist's	0		
5056	mit	0		
5057	ihrer	0	(mention_id=757|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=779|references=(entity=(entity_id=25|fullname=Trudi|gender=f)))
5058	Kleidung	0		
5059	bestellt	0		
5060	?	0		
5061	«	0		
5062	»	0		
5063	Soviel	0		
5064	ich	0	(mention_id=758|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))	(mention_id=780|references=(entity=(entity_id=2|fullname=Ammerie|gender=f)))
5065	davon	0		
5066	gesehen	0		
5067	habe	0		
5068	,	0		
5069	recht	0		
5070	dürftig	0		
5071	,	0		
5072	und	0		
5073	wenn	0		
5074	sie	0	(mention_id=759|references=(entity=(entity_id=entity_0002|fullname=Gontrud Hegewald|gender=f)))	(mention_id=781|references=(entity=(entity_id=25|fullname=Trudi|gender=f)))
5075	mit	0		
5076	uns	0	(mention_id=760|references=(entity=(entity_id=entity_0003|fullname=Magdalene Armbruster|gender=f)),(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))	(mention_id=782|references=(entity=(entity_id=16|fullname=Madlen|gender=f)),(entity=(entity_id=2|fullname=Ammerie|gender=f)))
5077	zum	0		
5078	Hochamt	0		
5079	gehen	0		
5080	soll	0		
5081	.	0		
5082	.	0		
5083	.	0		
5084	Ich	0	(mention_id=761|references=(entity=(entity_id=entity_0004|fullname=Ammerie Armbruster|gender=f)))	(mention_id=783|references=(entity=(entity_id=2|fullname=Ammerie|gender=f)))
5085	habe	0		
5086	schon	0		
5087	gedacht	0		
5088	,	0		
5089	ob	0		
