i	token	mention	gold
35916	9.		
35917	Es		
35918	war		
35919	spät		
35920	geworden		
35921	,		
35922	ehe		
35923	die		
35924	beiden		
35925	Gäste	5132	(mention_id=5132|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)),(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
35926	ihren	5133	(mention_id=5133|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)),(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
35927	Heimweg		
35928	antraten		
35929	,		
35930	und		
35931	spät		
35932	,		
35933	ehe		
35934	der		
35935	kleine		
35936	Amtsrichter	5134	(mention_id=5134|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
35937	sein	5135	(mention_id=5135|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
35938	Zimmer		
35939	aufsuchte		
35940	.		
35941	Sie	5136	(mention_id=5136|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)),(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
35942	hatten		
35943	alle		
35944	drei		(mention_id=5137|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)),(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)),(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
35945	noch		
35946	lange		
35947	in		
35948	Franzens	5137	(mention_id=5138|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
35949	Wohnstube		
35950	gesessen		
35951	und		
35952	gesprochen		
35953	von		
35954	alter		
35955	und		
35956	neuer		
35957	Zeit		
35958	.		
35959	»		
35960	Das		
35961	kann		
35962	ganz		
35963	lustig		
35964	bei		
35965	uns	5138	(mention_id=5139|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)),(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
35966	werden		
35967	«		
35968	,		
35969	meinte		
35970	Franz	5139	(mention_id=5140|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
35971	,		
35972	»		
35973	wenn		
35974	Tante	5140	(mention_id=5141|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))
35975	Rosas	5140	(mention_id=5141|references=(entity=(entity_id=entity_0011|fullname=Rosalie Kruse|gender=f)))
35976	Nichte	5141	(mention_id=5142|references=(entity=(entity_id=entity_0021|fullname=Adelheid Strom|gender=f)))
35977	kommt		
35978	.		
35979	Du	5142	(mention_id=5143|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
35980	bist		
35981	dann		
35982	auch		
35983	nicht		
35984	mehr		
35985	so		
35986	allein		
35987	,		
35988	Trudchen	5143	(mention_id=5144|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
35989	,		
35990	wenn		
35991	ich	5144	(mention_id=5145|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
35992	lange		
35993	auf		
35994	dem		
35995	Felde		
35996	zu		
35997	tun		
35998	habe		
35999	.		
36000	«		
36001	»		
36002	Ich	5145	(mention_id=5146|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
36003	vermisse		
36004	niemand		
36005	«		
36006	,		
36007	erwiderte		
36008	sie	5146	(mention_id=5147|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
36009	ruhig		
36010	,		
36011	»		
36012	ich	5147	(mention_id=5148|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
36013	habe		
36014	nie		
36015	eine		
36016	Freundin	5148	(mention_id=5149|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
36017	gehabt		
36018	,		
36019	jetzt		
36020	aber		
36021	erscheint		
36022	es		
36023	mir	5149	(mention_id=5150|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
36024	mehr		
36025	wie		
36026	überflüssig		
36027	.		
36028	«		
36029	Und		
36030	sie	5150	(mention_id=5151|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
36031	blickte		
36032	zu		
36033	ihm	5151	(mention_id=5152|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
36034	hinüber		
36035	mit		
36036	ihren	5152	(mention_id=5153|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
36037	tiefen		
36038	Augen		
36039	.		
36040	»		
36041	Gnädige		
36042	Frau	5153	(mention_id=5154|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
36043	«		
36044	,		
36045	erkundigte		
36046	sich	5154	(mention_id=5155|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
36047	der		
36048	Amtsrichter	5155	(mention_id=5156|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
36049	,		
36050	der	5156	(mention_id=5157|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
36051	eben		
36052	den		
36053	Rest		
36054	seiner	5157	(mention_id=5158|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
36055	Zigarre		
36056	in		
36057	eine		
36058	Meerschaumspitze		
36059	steckte		
36060	,		
36061	»		
36062	hat		
36063	er	5158	(mention_id=5159|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
36064	Sie	5159	(mention_id=5160|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
36065	denn		
36066	auch		
36067	angedichtet		
36068	?		
36069	«		
36070	Und		
36071	er	5160	(mention_id=5161|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
36072	wies		
36073	verstohlen		
36074	lächelnd		
36075	auf		
36076	Franz.	5161	
36077	Trudchen	5162	(mention_id=5162|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
36078	wurde		
36079	rot		
36080	.		
36081	»		
36082	Gewiß		
36083	!		
36084	«		
36085	antwortete		
36086	sie	5163	(mention_id=5163|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
36087	.		
36088	»		
36089	Ja		
36090	,		
36091	das		
36092	Dichten		
36093	kann		
36094	er	5164	(mention_id=5164|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
36095	nicht		
36096	lassen		
36097	«		
36098	,		
36099	neckte		
36100	der		
36101	Kleine	5165	(mention_id=5165|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
36102	und		
36103	schlug		
36104	den		
36105	Freund	5166	(mention_id=5166|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
36106	auf		
36107	die		
36108	Schulter		
36109	.		
36110	»		
36111	Ich	5167	(mention_id=5167|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
36112	sage		
36113	Ihnen	5168	(mention_id=5168|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
36114	,		
36115	gnädige		
36116	Frau	5169	(mention_id=5169|references=(entity=(entity_id=entity_0004|fullname=Gertrud Baumhagen|gender=f)))
36117	,		
36118	zuweilen		
36119	ergriff's		
36120	ihn	5170	(mention_id=5170|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
36121	wie		
36122	ein		
36123	Fieber		
36124	.		
36125	Und		
36126	was		
36127	so		
36128	ein		
36129	Mensch	5171	(mention_id=5171|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
36130	alles		
36131	besingt		
36132	!		
36133	Die		
36134	Poeten	5172	(mention_id=5172|references=(entity=(entity_id=entity_0236|fullname=Poeten|gender=m)))
36135	sind		
36136	wirklich		
36137	geborene		
36138	Lügner	5173	(mention_id=5173|references=(entity=(entity_id=entity_0236|fullname=Poeten|gender=m)))
36139	.		
36140	In		
36141	dem		
36142	Moment		
36143	,		
36144	da		
36145	die		
36146	süßen		
36147	Verse		
36148	aufs		
36149	Papier		
36150	strömen		
36151	,		
36152	glauben		
36153	sie	5174	(mention_id=5174|references=(entity=(entity_id=entity_0236|fullname=Poeten|gender=m)))
36154	freilich		
36155	selbst		
36156	jedes		
36157	Wort		
36158	,		
36159	was		
36160	sie	5175	(mention_id=5175|references=(entity=(entity_id=entity_0236|fullname=Poeten|gender=m)))
36161	schreiben		
36162	–		
36163	's		
36164	ist		
36165	wirklich		
36166	rührend		
36167	!		
36168	«		
36169	»		
36170	Aber		
36171	ich	5176	(mention_id=5176|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
36172	bitte		
36173	dich	5177	(mention_id=5177|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
36174	,		
36175	Richard	5178	(mention_id=5178|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
36176	«		
36177	,		
36178	lachte		
36179	halb		
36180	ärgerlich		
36181	der		
36182	junge		
36183	Hausherr	5179	(mention_id=5179|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
36184	.		
36185	»		
36186	Ist's		
36187	etwa		
36188	nicht		
36189	wahr		
36190	?		
36191	«		
36192	fragte		
36193	der		
36194	Amtsrichter	5180	(mention_id=5180|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
36195	.		
36196	»		
36197	Denke		
36198	doch		
36199	nur		
36200	an		
36201	dein	5181	(mention_id=5181|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
36202	berühmtes		
36203	Gedicht		
36204	von		
36205	der		
36206	Zigeunerin	5182	(mention_id=5182|references=(entity=(entity_id=entity_0242|fullname=Zigeunerin|gender=f)))
36207	!		
36208	Ich	5183	(mention_id=5183|references=(entity=(entity_id=entity_0002|fullname=Richard Weishaupt|gender=m)))
36209	war		
36210	ja		
36211	dabei		
36212	,		
36213	als		
36214	du	5184	(mention_id=5184|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
36215	auf		
36216	dem		
36217	Römerberg		
36218	die		
36219	braune		
36220	Maid	5185	(mention_id=5185|references=(entity=(entity_id=entity_0242|fullname=Zigeunerin|gender=f)))
36221	erblicktest		
36222	,		
36223	und		
36224	am		
36225	Abend		
36226	schon		
36227	stand		
36228	in		
36229	deinem	5186	(mention_id=5186|references=(entity=(entity_id=entity_0001|fullname=Franz Linden|gender=m)))
36230	Notizbuch		
36231	,		
36232	daß		
36233	sie	5187	(mention_id=5187|references=(entity=(entity_id=entity_0242|fullname=Zigeunerin|gender=f)))
