ID_general;fullname;gender;possible_identity_with;possible_identity_with_names;members;members_names;specialcase;borderline;comment_entity;ID_chapter_1;ID_chapter_2;ID_chapter_3;ID_chapter_4;ID_chapter_5;ID_chapter_6_part1;ID_chapter_6_part2;ID_chapter_7;ID_chapter_8;ID_chapter_9;ID_chapter_10_part1;ID_chapter_10_part2;ID_chapter_11;ID_chapter_12;ID_chapter_13;ID_chapter_14;ID_chapter_15;ID_chapter_16;ID_chapter_17;ID_chapter_18;ID_chapter_19;ID_chapter_20;ID_chapter_21;ID_chapter_22;ID_chapter_23
entity_0001;Dr. Moorfeld;m;;;;;;;;;Mann von jugendlichem Alter;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld;Moorfeld
entity_0002;Mr. Mockingbird;m;;;;;;;;;Mr. Mockingbird;Mr. Mockingbird;;;;;Mr. Mockingbird;Mr. Mockingbird;Mr. Mockingbird;;;;;;;;;;;;Mr. Mockingbird;;;
entity_0003;Knaben in der Schule von Mockingbird;m;;;entity_0009, x;Vance, x;group;;;;Knaben;;;;;Schulrangen;Schulrangen;Schulrangen;;;;;;;;;;;;;;;;
entity_0004;Malvine von Milden;f;;;;;;;;;reingekleidetes Mädchen;;;;;;;Paulines Schwester;Malvine;;;;;;;Malvine;;;;;Malwine;;Malvine;
entity_0005;Hoby;m;;;;;;;;;Newsboy;;;;;Hoby;;Hoby;;;Newsboy;;;;;;Hoby;;;;;;;
entity_0006;Sprecher im Hymnus am Anfang;m;entity_0001;Moorfeld;;;;possible_identity;;;Sprecher;;;;;;;;;;;;;;;;;;;;;;;
entity_0007;Erzählinstanz;u;;;;;;;;;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler;Erzähler
entity_0008;Leser;u;;;;;;;;;Leser;Leser;Leser;Leser;Leser;Leser;;Leser;Leser;Leser;Leser;Leser;Leser;Leser;Leser;Leser;Leser;Leser;Leser;;Leser;Leser;Leser;Leser
entity_0009;Vance;m;;;;;;;;;Vance;;;;;;;;;;;;;;;;;;;;;;;
entity_0010;Mitfahrender;m;;;;;;;;;Mitfahrender;;;;;;;;;;;;;;;;;;;;;;;
entity_0011;Bennets Töchter;f;;;entity_0014, entity_0040, entity_0041;Cöleste, Jenny, Bennets zweite Tochter;group;;;;drei junge Damen;;;;;drei junge Damen;;;;;;;;;;;;;;;;;;
entity_0012;Theodor Benthal;m;;;;;;;;;Mr. Benthal;junger blonder Mann;;;Benthal;;Benthal;Benthal;Benthal;Benthal;Benthal;Benthal;;Benthal;Benthal;Benthal;Benthal;Benthal;;Benthal;Herr Benthal;Benthal;Benthal;
entity_0013;Orchester von Schwarzen;u;;;entity_0046, x;Vorgeiger, x;group;;;;Orchester;;;;;;;;;;erstes Orchester;;;;;;;;;;;;;
entity_0014;Cöleste Bennet;f;;;;;;;;;kleiner blonder Engel;;;;;;;blonder Engel;;Cöleste;Cöleste;Cöleste;;;;;;;;;;;Cöleste;
entity_0015;Marquis Posa;m;;;;;;;;;Marquis Posa;;;;;;;;;;;;;;;;;;;;;;;
entity_0016;Begleiter der Damen;m;;;x;x;group;;;;Begleiter der Damen;;;;;;;;;;;;;;;;;;;;;;;
entity_0017;Mann von riesigem Leibe;m;;;;;;;im Hymnus am Anfang. Allegorie für Europa;;Mann von riesigem Leibe;;;;;;;;;;;;;;;;;;;;;;;
entity_0018;ältlicher Herr;m;entity_0055;Mr. Bennet;;;;;;;ältlicher Herr;;;;;;;;;;;;;;;;;;;;;;;
entity_0019;Knäblein;m;;;;;;;im Hymnus am Anfang. Allegorie für Amerika;;Knäblein;;;;;;;;;;;;;;;;;;;;;;;
entity_0020;Hochwächter im Vorder-Castell;m;;;;;;;;;Hochwächter;;;;;;;;;;;;;;;;;;;;;;;
entity_0021;Benjamin Franklin;m;;;;;;;;;Benjamin Franklin;Benjamin Franklin;;;;;;;;;;;;;;;;;;;;;;
entity_0022;Anwesende im Café;u;;;entity_0039, entity_0042, x;Anwesender, Aufwärter im Cafe, x;group;;;;Anwesende;;;;;;;;;;;;;;;;;;;;;;;
entity_0023;Fremde;u;;;x;x;group;;;;Fremde;;;;;;;;;;;;;;;;;;;;;;;
entity_0024;Kinder;u;;;x;x;group;;;;Kinder;;;;;;;;;;Kinder bei Orchestermusik;;;;;;;;;;;;;
entity_0025;Gastwirthe;u;;;x;x;group;;;;Gastwirthe;;;;;;;;;;;;;;;;;;;;;;;
entity_0026;Clerks;u;;;x;x;group;;;;Clerks;;;;;;;;;;;;;;;;;;;;;;;
entity_0027;Runners;u;;;x;x;group;;;;Runners;;;;;;;;;;;;;;;;;;;;;;;
entity_0028;Makler;u;;;x;x;group;;;;Makler;;;;;;;;;;;;;;;;;;;;;;;
entity_0029;Agenten;u;;;x;x;group;;;;Agenten;;;;;;;;;;;;;;;;;;;;;;;
entity_0030;Repporters;u;;;x;x;group;;;;Repporters;;;;;;;;;;;;;;;;;;;;;;;
entity_0031;Orchester 2;u;;;x;x;group;;;;Orchester 2;;;;;;;;;;zweites Orchester;;;;;;;;;;;;;
entity_0032;Sprecher des Textes von Franklin;u;entity_0021;Benjamin Franklin;;;;;;;Sprecher des Textes;;;;;;;;;;;;;;;;;;;;;;;
entity_0033;Ludwig der Große;m;;;;;;;;;Ludwig der Große;;;;;;;;;;;;;;;;;;;;;;;
entity_0034;Karl der Große;m;;;;;;;;;Karl der Große;;;;;;;;;;;;;;;;;;;;;;;
entity_0035;Vorübergehende;u;;;x;x;group;;;;Vorübergehende;;;;;;;;;;;;;;;;;;;;;;;
entity_0036;Passagiere;u;;;"entity_0067, entity_0073, entity_0051
entity_0052, entity_0065, x";Seekranker, vielvereister Tourist, Dritter Passagier, Vierter Passagier, Fünfter Passagier, x;group;;;;Passagiere;;;;;;;;;;;;;;;;;;;;;;;
entity_0037;Marktweib;f;;;;;;;;;Marktweib;;;;;;;;;;;;;;;;;;;;;;;
entity_0038;Friedrich der Große;m;;;;;;;;;Friedrich der Große;;;;;;;;;;;;;;;;;;;;;;;
entity_0039;Anwesender;u;;;;;;;;;Anwesender;;;;;;;;;;;;;;;;;;;;;;;
entity_0040;Jenny Bennet;f;;;;;;;"Nicht ganz sicher, ob ""Dame rechts"" Bennets älteste oder zweitälteste Tochter ist. Ist aber nicht so relevant, deshalb einfach so aufgelöst";;Dame rechts;;;;;;;;;älteste Tochter;älteste Tochter;;;;;;;;;;;;Jenny;
entity_0041;Bennets zweite Tochter;f;;;;;;;;;mittlere Dame;;;;;;;;;zweitälteste Tochter;zweitälteste Tochter;;;;;;;;;;;;;
entity_0042;Aufwärter im Cafe;m;;;;;;;;;Aufwärter im Cafe;;;;;;;;;;;;;;;;;;;;;;;
entity_0043;Passanten;u;;;x;x;group;;;;Passanten;;;;;;;;;;;;;;;;;;;;;;;
entity_0044;Colporteurs;u;;;x;x;group;;;;Colporteurs;;;;;;;;;;;;;;;;;;;;;;;
entity_0045;Herr Geheimerath;m;;;;;;;;;Herr Geheimerath;;;;;;;;;;;;;;;;;;;;;;;
entity_0046;Vorgeiger;m;;;;;;;;;Vorgeiger;;;;;;;;;;;;;;;;;;;;;;;
entity_0047;geschäftssüchtiger Runner;u;;;;;;;;;geschäftssüchtiger Runner;;;;;;;;;;;;;;;;;;;;;;;
entity_0048;Herr Hofrath;m;;;;;;;;;Herr Hofrath;;;;;;;;;;;;;;;;;;;;;;;
entity_0049;Knabe der fertig gegessen hat;m;;;;;nonfact;;;;Knabe der fertig gegessen hat;;;;;;;;;;;;;;;;;;;;;;;
entity_0050;Beethoven;m;;;;;;;;;Beethoven;;;;;;;;;Beethoven;Beethoven;;;;;;;;;;;;;
entity_0051;Fünfter Passagier;u;;;;;;;;;Fünfter Passagier;;;;;;;;;;;;;;;;;;;;;;;
entity_0052;Dritter Passagier;u;;;;;;;;;Dritter Passagier;;;;;;;;;;;;;;;;;;;;;;;
entity_0053;Novalis;m;;;;;;;;;Novalis;;;;;;;;;;;;;;;;;;;;;;;
entity_0054;Nachbarskinder von Mockingbird;u;;;x;x;group;;;;Nachbarskinder von Mockingbird;;;;;;;;;;;;;;;;;;;;;;;
entity_0055;Mr. Bennet;m;;;;;;;;;Mr. Bennet;Mr. Bennet;;;;Mr. Bennet;;;;Mr. Bennet;Mr. Bennet;Bennet;;;;;;;;Bennet;;;Mr. Bennet;
entity_0056;Nachbarn von Mockingbird;u;;;x;x;group;;;;Nachbarn von Mockingbird;;;;;;;;;;;;;;;;;;;;;;;
entity_0057;Lootse;u;;;;;;;;;Lootse;;;;;;;;;;;;;;;;;;;;;;;
entity_0058;Herren Brüder;m;;;entity_0048, entity_0045, x;Herr Hofrath, Herr Geheimerath, x;group;;;;Herren Brüder;;;;;;;;;;;;;;;;;;;;;;;
entity_0059;Mehrzahl der Knaben;m;;;x;x;group;;;;Mehrzahl der Knaben;;;;;;;;;;;;;;;;;;;;;;;
entity_0060;Madrider Staatsrath;m;;;x;x;group;;;;Madrider Staatsrath;;;;;;;;;;;;;;;;;;;;;;;
entity_0061;Matrosen;m;;;x;x;group;;;;Matrosen;;;;;;;;;;;;;;;;;;;;;;;
entity_0062;Menschen in der Bay von NY;u;;;x;x;group;;;;Menschen in der Bay von NY;;;;;;;;;;;;;;;;;;;;;;;
entity_0063;aus- und einsteigende Personen;u;;;x;x;group;;;;aus- und einsteigende Personen;;;;;;;;;;;;;;;;;;;;;;;
entity_0064;Winkelmann;m;;;;;;;;;Winkelmann;;;;;;;;;;;;;;;;;;;;;;;
entity_0065;Vierter Passagier;u;;;;;;;;;Vierter Passagier;;;;;;;;;;;;;;;;;;;;;;;
entity_0066;Teufel;u;;;;;;;;;Teufel;;;Teufel;;;;;;;;;;;;;Teufel;;;;;;;
entity_0067;Seekranker;u;;;;;;;;;Seekranker;;;;;;;;;;;;;;;;;;;;;;;
entity_0068;hungeriges Newyork;u;;;x;x;group;;;;hungeriges Newyork;;;;;;;;;;;;;;;;;;;;;;;
entity_0069;einige Könige in Europa;m;;;x;x;group;;;;einige Könige in Europa;;;;;;;;;;;;;;;;;;;;;;;
entity_0070;elegantes Newyork;u;;;x;x;group;;;;elegantes Newyork;;;;;;;;;;;;;;;;;;;;;;;
entity_0071;ein Knabe;m;;;;;;;;;ein Knabe;;;;;;;;;;;;;;;;;;;;;;;
entity_0072;viele Minister in Europa;u;;;x;x;group;;;;viele Minister in Europa;;;;;;;;;;;;;;;;;;;;;;;
entity_0073;vielgereister Tourist;u;;;;;;;;;vielgereister Tourist;;;;;;;;;;;;;;;;;;;;;;;
entity_0074;vornehmste Börsenhäupter;u;;;x;x;group;;;;vornehmste Börsenhäupter;;;;;;;;;;;;;;;;;;;;;;;
entity_0075;Herr Staunton;m;;;;;;;;;;Herr Staunton;Herr Staunton;;Mr. Staunton;;;;;;Mr. Staunton;Mr. Staunton;;;;;;;;Staunton;Herr Staunton;Staunton;Staunton;
entity_0076;Mrs. Staunton;f;;;;;;;;;;Mrs. Staunton;Mrs. Staunton;;Mistress Livia Staunton;;;;;;;;;;;;;;;;;;;
entity_0077;Sarah Staunton;f;;;;;;;;;;Sarah;Sarah;;Miss Sarah Staunton;;;;;;;;;;;;;;;;;Sarah Staunton;Miß Sarah;
entity_0078;Familie Staunton;mf;;;entity_0075, entity_0076, entity_0077;Herr Staunton, Mrs. Staunton, Sarah Staunton;group;;;;;Familie Staunton;;;;;;;;;;;;;;;;;;Arbeitgeberfamilie des Mädchens;;;;
entity_0079;Hariet alias Betty;f;;;;;;;;;;Hariet;;;Hariet;;;;;;;;;;;;;;;Mädchen;;;Hariet;
entity_0080;Jack;m;;;;;;;;;;Jack;Jack;;Jack;;;Jack;;;;;;;;;;;;;;;Jack;
entity_0081;Comptoir-Gentleman;m;;;;;;;;;;Comptoir-Gentleman;;;;;;;;;;;;;;;;;;;;;;
entity_0082;George Washington;m;;;;;;;;;;Washington;;;;;;;George Washington;George Washington;;George Washington;General Washington;;;;;;;;;;;
entity_0083;Daniel (evtl. Staunton);m;;;;;;;implizit: verstorbener Sohn des Hauses Staunton;;;Daniel;Daniel;;;;;;;;;;;;;;;;;;;;;
entity_0084;Alston;m;;;;;;;;;;Alston;;;;;;;;;;;;;;;;;;;;;;
entity_0085;Düsseldorf (Künstler);m;;;;;nonfact;;;;;Düsseldorf (Künstler);;;;;;;;;;;;;;;;;;;;;;
entity_0086;deutsche Taglöhner;u;;;x;x;group;;;;;deutsche Taglöhner;;;;;;;;;;;;;;;;;;;;;;
entity_0087;Kutscher;m;;;;;;;;;;Kutscher;;;;;;;;;;;;;;;;;;;;;;
entity_0088;Königin Mab;f;;;;;;;;;;Königin Mab;;;;;;;;;;;;;;;;;;;;;;
entity_0089;Agent von Herrn Staunton;m;;;;;;;;;;Agent von Herrn Staunton;;;;;;;;;;;;;;;;;;;;;;
entity_0090;Cromwell;m;;;;;;;;;;Cromwell;;;;;;;;;Cromwell;;;;;;;;;;;;;
entity_0091;Capitän Powell;m;;;;;;;;;;Capitän Powell;;;;;;;;;;;;;;;;;;;;;;
entity_0092;Gott;u;;;;;;;;;;Gott;Gott;;Gott;;Gott;Gott;Gott;;;Gott;Gott;Gott;Gott;;Gott;Gott;Gott;Gott;;Gott;;
entity_0093;Matrosen;u;;;x;x;group;;;;;Matrosen;;;;;;;;;;;;;;;;;;;;;;
entity_0094;Düsseldorfer Künstler;u;;;x;x;group;;;;;Düsseldorfer Künstler;;;;;;;;;;;;;;;;;;;;;;
entity_0095;alle Seiten;u;;;x;x;group;;;;;alle Seiten;;;;;;;;;;;;;;;;;;;;;;
entity_0096;hypothetisches schwarzes Kammermädchen;f;;;;;nonfact;;;;;schwarzes Kammermädchen;;;;;;;;;;;;;;;;;;;;;;
entity_0097;Howland;m;;;;;;;;;;;Howland;;;;;;;;Howland;;;;;;;;;;;;;
entity_0098;Achte Löschkompanie;m;;;x;x;group;;;;;;Achte Löschkompanie;;;;;;;;;;;;;;;;;;;;;
entity_0099;Howlands Löschmannschaft;m;;;x;x;group;;;;;;Löschmannschaft;;;;;;;;;;;;;;;;;;;;;
entity_0100;dritte Löschkompanie;m;;;x;x;group;;;;;;dritte Löschkompanie;;;;;;;;;;;;;;;;;;;;;
entity_0101;junge Herren von den Löschkompanien;m;;;x;x;group;;;;;;junge Herren von den Löschkompanien;;;;;;;;;;;;;;;;;;;;;
entity_0102;Freunde von Moorfeld;u;;;x;x;group;;;;;;Freunde von Moorfeld;;;;;;;;;;;;;;;;;;;;;
entity_0103;schwarze Schöne;f;;;;;;;;;;;schwarze Schöne;;;;;;;;;;;;;;;;;;;;;
entity_0104;Tochter eines Manns in alten Staaten allgemein;f;;;;;;;;;;;Tochter eines Manns in alten Staaten allgemein;;;;;;;;;;;;;;;;;;;;;
entity_0105;Zuschauer bei Brand;u;;;x;x;group;;;;;;Zuschauer bei Brand;;;;;;;;;;;;;;;;;;;;;
entity_0106;Straßenpublikum;u;;;x;x;group;;;;;;Straßenpublikum;;;;;;;;;;;;;;;;;;;;;
entity_0107;Sprechinstanz im Gedicht;u;;;;;;;;;;;Sprechinstanz im Gedicht;;;;;;;;;;;;;;;;;;;;;
entity_0108;Damen unter Zuschauern;f;;;x;x;group;;;;;;Damen unter Zuschauern;;;;;;;;;;;;;;;;;;;;;
entity_0109;Angesprochnes Du im Gedicht;u;;;;;;;;;;;Angesprochnes Du im Gedicht;;;;;;;;;;;;;;;;;;;;;
entity_0110;Kapitän der Achten;m;;;;;;;;;;;Kapitän der Achten;;;;;;;;;;;;;;;;;;;;;
entity_0111;Leute in NY;u;;;x;x;group;;;;;;Leute;;;;;;;;;;;;;;;;;;;;;
entity_0112;Begegnende;u;;;x;x;group;;;;;;Begegnende;;;;;;;;;;;;;;;;;;;;;
