i	token	is_section_start	gold	pred
5860	Zweytes	1		
5861	Buch	0		
5862	Erstes	0		
5863	Kapitel	0		
5864	»	0		
5865	Lassen	0		
5866	Sie	0	(mention_id=910|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=911|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
5867	uns	0	(mention_id=911|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)),(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=912|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)),(entity=(entity_id=13|fullname=Ich|gender=m)))
5868	reisen	0		
5869	!	0		
5870	–	0		
5871	sagte	0		
5872	Heinrich	0	(mention_id=912|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=913|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
5873	,	0		
5874	als	0		
5875	wir	0	(mention_id=913|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)),(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=914|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)),(entity=(entity_id=13|fullname=Ich|gender=m)))
5876	eines	0		
5877	Abends	0		
5878	sterbens	0		
5879	müde	0		
5880	und	0		
5881	abermahls	0		
5882	vergeblich	0		
5883	von	0		
5884	unsern	0	(mention_id=914|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)),(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=915|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)),(entity=(entity_id=13|fullname=Ich|gender=m)))
5885	Streifereyen	0		
5886	zurückkehrten	0		
5887	–	0		
5888	»	0		
5889	lassen	0		
5890	Sie	0	(mention_id=915|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=916|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
5891	uns	0	(mention_id=916|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)),(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=917|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)),(entity=(entity_id=13|fullname=Ich|gender=m)))
5892	reisen	0		
5893	!	0		
5894	hier	0		
5895	finden	0		
5896	wir	0	(mention_id=917|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)),(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=918|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)),(entity=(entity_id=13|fullname=Ich|gender=m)))
5897	sie	0	(mention_id=918|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))	(mention_id=919|references=(entity=(entity_id=17|fullname=Marie|gender=f|specialcase_entity=nonfact)))
5898	doch	0		
5899	nicht	0		
5900	!	0		
5901	«	0		
5902	»	0		
5903	Du	0	(mention_id=919|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=920|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
5904	hast	0		
5905	Recht	0		
5906	!	0		
5907	«	0		
5908	–	0		
5909	rief	0		
5910	ich	0	(mention_id=920|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=921|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
5911	–	0		
5912	reisen	0		
5913	wollen	0		
5914	wir	0		(mention_id=922|references=(entity=(entity_id=13|fullname=Ich|gender=m)),(entity=(entity_id=10|fullname=Heinrich|gender=m)))
5915	!	0		
5916	gleich	0		
5917	über	0		
5918	Hamburg	0		
5919	nach	0		
5920	England	0		
5921	;	0		
5922	da	0		
5923	müssen	0		
5924	wir	0	(mention_id=921|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)),(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=923|references=(entity=(entity_id=13|fullname=Ich|gender=m)),(entity=(entity_id=10|fullname=Heinrich|gender=m)))
5925	sie	0	(mention_id=922|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))	(mention_id=924|references=(entity=(entity_id=17|fullname=Marie|gender=f|specialcase_entity=nonfact)))
5926	finden	0		
5927	!	0		
5928	Heinrich	0	(mention_id=923|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=925|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
5929	.	0		
5930	Da	0		
5931	gewiß	0		
5932	am	0		
5933	wenigsten	0		
5934	.	0		
5935	Ich	0	(mention_id=924|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=926|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
5936	.	0		
5937	Warum	0		
5938	?	0		
5939	Er	0	(mention_id=925|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=927|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
5940	.	0		
5941	Weil	0		
5942	sie	0	(mention_id=926|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)),(entity=(entity_id=entity_0005|fullname=Maries Mutter|gender=f)))	(mention_id=928|references=(entity=(entity_id=17|fullname=Marie|gender=f|specialcase_entity=nonfact)))
5943	England	0		
5944	mehr	0		
5945	vermeiden	0		
5946	als	0		
5947	suchen	0		
5948	werden	0		
5949	.	0		
5950	Mehrere	0		
5951	Aeußerungen	0		
5952	der	0		
5953	Mutter	0	(mention_id=927|references=(entity=(entity_id=entity_0005|fullname=Maries Mutter|gender=f)))	(mention_id=929|references=(entity=(entity_id=40|fullname=die Mutter|gender=f)))
5954	verriethen	0		
5955	das	0		
5956	.	0		
5957	Ich	0	(mention_id=928|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=930|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
5958	.	0		
5959	Aber	0		
5960	Engländerinnen	0	(mention_id=929|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)),(entity=(entity_id=entity_0005|fullname=Maries Mutter|gender=f)))	(mention_id=931|references=(entity=(entity_id=generic_0001|fullname=Engländerinnen im Allgemeinen|gender=u|specialcase_entity=generic)))
5961	waren	0		
5962	sie	0	(mention_id=930|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)),(entity=(entity_id=entity_0005|fullname=Maries Mutter|gender=f)))	(mention_id=932|references=(entity=(entity_id=17|fullname=Marie|gender=f|specialcase_entity=nonfact)))
5963	;	0		
5964	das	0		
5965	ist	0		
5966	gewiß	0		
5967	.	0		
5968	Er	0	(mention_id=931|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=933|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
5969	.	0		
5970	Nach	0		
5971	ihrer	0	(mention_id=932|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)),(entity=(entity_id=entity_0005|fullname=Maries Mutter|gender=f)))	(mention_id=934|references=(entity=(entity_id=17|fullname=Marie|gender=f|specialcase_entity=nonfact)))
5972	Aussprache	0		
5973	kam	0		
5974	es	0		
5975	mir	0	(mention_id=933|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=935|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
5976	selbst	0		
5977	so	0		
5978	vor	0		
5979	.	0		
5980	Das	0		
5981	widerspricht	0		
5982	aber	0		
5983	meiner	0	(mention_id=934|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=936|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
5984	Vermuthung	0		
5985	ganz	0		
5986	und	0		
5987	gar	0		
5988	nicht	0		
5989	.	0		
5990	Glauben	0		
5991	Sie	0	(mention_id=935|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=937|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
5992	mir	0	(mention_id=936|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=938|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
5993	,	0		
5994	lassen	0		
5995	Sie	0	(mention_id=937|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=939|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
5996	uns	0	(mention_id=938|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)),(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=940|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)),(entity=(entity_id=13|fullname=Ich|gender=m)))
5997	nach	0		
5998	Berlin	0		
5999	gehn	0		
6000	.	0		
6001	Ich	0	(mention_id=939|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=941|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6002	.	0		
6003	Sollten	0		
6004	sie	0	(mention_id=940|references=(entity=(entity_id=entity_0005|fullname=Maries Mutter|gender=f)),(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))	(mention_id=942|references=(entity=(entity_id=17|fullname=Marie|gender=f|specialcase_entity=nonfact)))
6005	da	0		
6006	seyn	0		
6007	?	0		
6008	–	0		
6009	Er	0	(mention_id=941|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=943|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
6010	.	0		
6011	Wer	0		
6012	weiß	0		
6013	!	0		
6014	–	0		
6015	überdem	0		
6016	war	0		
6017	es	0		
6018	ja	0		
6019	auch	0		
6020	unser	0	(mention_id=942|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)),(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=944|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)),(entity=(entity_id=13|fullname=Ich|gender=m)))
6021	Plan	0		
6022	über	0		
6023	Berlin	0		
6024	und	0		
6025	Wien	0		
6026	nach	0		
6027	Italien	0		
6028	zu	0		
6029	reisen	0		
6030	.	0		
6031	Ich	0	(mention_id=943|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=945|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6032	.	0		
6033	Ach	0		
6034	Berlin	0		
6035	,	0		
6036	Wien	0		
6037	,	0		
6038	Italien	0		
6039	,	0		
6040	die	0		
6041	ganze	0		
6042	Welt	0		
6043	ist	0		
6044	mir	0	(mention_id=944|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=946|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6045	zuwider	0		
6046	,	0		
6047	finde	0		
6048	ich	0	(mention_id=945|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=947|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6049	sie	0	(mention_id=946|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))	
6050	nicht	0		
6051	;	0		
6052	so	0		
6053	ist	0		
6054	mir	0	(mention_id=947|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=948|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6055	das	0		
6056	Leben	0		
6057	eine	0		
6058	Last	0		
6059	.	0		
6060	Er	0	(mention_id=948|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=949|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
6061	.	0		
6062	Fassen	0		
6063	Sie	0	(mention_id=949|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=950|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
6064	Muth	0		
6065	!	0		
6066	es	0		
6067	müßte	0		
6068	...	0		
6069	Ich	0	(mention_id=950|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=951|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6070	.	0		
6071	Muth	0		
6072	!	0		
6073	zu	0		
6074	einem	0		
6075	Leben	0		
6076	ohne	0		
6077	Liebe	0		
6078	?	0		
6079	–	0		
6080	Er	0	(mention_id=951|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=952|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
6081	.	0		
6082	Wer	0		
6083	sagt	0		
6084	das	0		
6085	?	0		
6086	Ich	0	(mention_id=952|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=953|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6087	.	0		
6088	Ihr	0	(mention_id=953|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)),(entity=(entity_id=generic_0141|fullname=generic_0020|gender=u|specialcase_entity=generic)))	(mention_id=954|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6089	,	0		
6090	Ihr	0	(mention_id=954|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)),(entity=(entity_id=generic_0142|fullname=generic_0021|gender=u|specialcase_entity=generic)))	(mention_id=955|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6091	Alle	0	(mention_id=955|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)),(entity=(entity_id=generic_0143|fullname=generic_0022|gender=u|specialcase_entity=generic)))	(mention_id=956|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6092	!	0		
6093	mein	0	(mention_id=956|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=957|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6094	steifer	0		
6095	Herr	0	(mention_id=957|references=(entity=(entity_id=entity_0021|fullname=Hofmeister|gender=m)))	(mention_id=958|references=(entity=(entity_id=11|fullname=Herr Hofmeister|gender=m)))
6096	Hofmeister	0	(mention_id=957|references=(entity=(entity_id=entity_0021|fullname=Hofmeister|gender=m)))	(mention_id=958|references=(entity=(entity_id=11|fullname=Herr Hofmeister|gender=m)))
6097	dazu	0		
6098	.	0		
6099	–	0		
6100	Gottlob	0		
6101	daß	0		
6102	ich	0	(mention_id=958|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=959|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6103	ihn	0	(mention_id=959|references=(entity=(entity_id=entity_0021|fullname=Hofmeister|gender=m)))	(mention_id=960|references=(entity=(entity_id=11|fullname=Herr Hofmeister|gender=m)))
6104	endlich	0		
6105	einmal	0		
6106	los	0		
6107	bin	0		
6108	!	0		
6109	–	0		
6110	ginge	0		
6111	es	0		
6112	nach	0		
6113	Eurem	0	(mention_id=960|references=(entity=(entity_id=entity_0021|fullname=Hofmeister|gender=m)),(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=961|references=(entity=(entity_id=11|fullname=Herr Hofmeister|gender=m)))
6114	Willen	0		
6115	,	0		
6116	so	0		
6117	säße	0		
6118	ich	0	(mention_id=961|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=962|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6119	den	0		
6120	ganzen	0		
6121	Tag	0		
6122	und	0		
6123	schwitzte	0		
6124	über	0		
6125	großen	0		
6126	Quartanten	0		
6127	.	0		
6128	Ach	0		
6129	das	0		
6130	ekelhafte	0		
6131	Gewäsch	0		
6132	von	0		
6133	Pflicht	0		
6134	!	0		
6135	wie	0		
6136	ist	0		
6137	es	0		
6138	mir	0	(mention_id=962|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=963|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6139	doch	0		
6140	in	0		
6141	den	0		
6142	Tod	0		
6143	zuwider	0		
6144	!	0		
6145	Pflicht	0		
6146	!	0		
6147	Pflicht	0		
6148	und	0		
6149	nichts	0		
6150	als	0		
6151	Pflicht	0		
6152	!	0		
6153	–	0		
6154	der	0		
6155	Henker	0		(mention_id=964|references=(entity=(entity_id=generic_0002|fullname=der Henker|gender=u|specialcase_entity=generic)))
6156	hole	0		
6157	Eure	0	(mention_id=963|references=(entity=(entity_id=entity_0021|fullname=Hofmeister|gender=m)),(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=965|references=(entity=(entity_id=11|fullname=Herr Hofmeister|gender=m)))
6158	Pflicht	0		
6159	!	0		
6160	–	0		
6161	meine	0	(mention_id=964|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=966|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6162	erste	0		
6163	Pflicht	0		
6164	ist	0		
6165	mich	0	(mention_id=965|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=967|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6166	glücklich	0		
6167	zu	0		
6168	machen	0		
6169	!	0		
6170	–	0		
6171	Er	0	(mention_id=966|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)))	(mention_id=968|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
6172	.	0		
6173	Mögten	0		
6174	Sie	0	(mention_id=967|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=969|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
6175	nur	0		
6176	den	0		
6177	rechten	0		
6178	Weg	0		
6179	dazu	0		
6180	nicht	0		
6181	verfehlen	0		
6182	;	0		
6183	wenn	0		
6184	Sie	0	(mention_id=968|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=970|references=(entity=(entity_id=10|fullname=Heinrich|gender=m)))
6185	doch	0		
6186	einmal	0		
6187	nicht	0		
6188	mehr	0		
6189	als	0		
6190	glücklich	0		
6191	seyn	0		
6192	wollen	0		
6193	.	0		
6194	»	0		
6195	Nein	0		
6196	bey	0		
6197	Gott	0		
6198	!	0		
6199	«	0		
6200	rief	0		
6201	ich	0	(mention_id=969|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=971|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6202	,	0		
6203	mit	0		
6204	einem	0		
6205	bittern	0		
6206	Lächeln	0		
6207	–	0		
6208	»	0		
6209	mehr	0		
6210	will	0		
6211	ich	0	(mention_id=970|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=972|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6212	nicht	0		
6213	seyn	0		
6214	!	0		
6215	Und	0		
6216	mein	0	(mention_id=971|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=973|references=(entity=(entity_id=13|fullname=Ich|gender=m)))
6217	hochweiser	0		
6218	Herr	0	(mention_id=972|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)|specialcase_reference=figurative))	(mention_id=974|references=(entity=(entity_id=12|fullname=Herr Professor|gender=m)))
6219	Professor	0	(mention_id=972|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)|specialcase_reference=figurative))	(mention_id=974|references=(entity=(entity_id=12|fullname=Herr Professor|gender=m)))
6220	,	0		
6221	womit	0		
6222	könnten	0		
6223	Sie	0	(mention_id=973|references=(entity=(entity_id=entity_0004|fullname=Heinrich|gender=m)|specialcase_reference=figurative))	(mention_id=975|references=(entity=(entity_id=12|fullname=Herr Professor|gender=m)))
6224	denn	0		
