i	token	is_section_start	gold	pred
14085	Drittes	1		
14086	Kapitel	0		
14087	.	0		
14088	Ein	0		
14089	prangender	0		
14090	Morgen	0		
14091	glänzte	0		
14092	über	0		
14093	die	0		
14094	Welt	0		
14095	.	0		
14096	Spät	0		
14097	aufwachend	0		
14098	,	0		
14099	wunderte	0		
14100	sich	0		(mention_id=1459|references=(entity=(entity_id=24|fullname=Moorfeld|gender=m)))
14101	Moorfeld	0	(mention_id=1477|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=1460|references=(entity=(entity_id=24|fullname=Moorfeld|gender=m)))
14102	,	0		
14103	daß	0		
14104	der	0		
14105	Lärm	0		
14106	des	0		
14107	Hafenlebens	0		
14108	,	0		
14109	das	0		
14110	unmittelbar	0		
14111	unter	0		
14112	seinen	0	(mention_id=1478|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=1461|references=(entity=(entity_id=24|fullname=Moorfeld|gender=m)))
14113	Fenstern	0		
14114	lag	0		
14115	,	0		
14116	nicht	0		
14117	längst	0		
14118	ihn	0	(mention_id=1479|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=1462|references=(entity=(entity_id=24|fullname=Moorfeld|gender=m)))
14119	erweckt	0		
14120	.	0		
14121	Er	0	(mention_id=1480|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=1463|references=(entity=(entity_id=24|fullname=Moorfeld|gender=m)))
14122	trat	0		
14123	an's	0		
14124	Fenster	0		
14125	.	0		
14126	Ja	0		
14127	freilich	0		
14128	!	0		
14129	da	0		
14130	lag	0		
14131	Schiff	0		
14132	an	0		
14133	Schiff	0		
14134	im	0		
14135	Hudson	0		
14136	—	0		
14137	alle	0		
14138	Flaggen	0		
14139	aufgehißt	0		
14140	,	0		
14141	alle	0		
14142	Räume	0		
14143	grabähnlich	0		
14144	stumm	0		
14145	—	0		
14146	eine	0		
14147	ganze	0		
14148	Flotte	0		
14149	des	0		
14150	fliegenden	0		
14151	Holländers	0		
14152	schien	0		
14153	vor	0		
14154	Anker	0		
14155	.	0		
14156	Es	0		
14157	herrschte	0		
14158	also	0		
14159	heute	0		
14160	jenes	0		
14161	Gespenst	0		
14162	,	0		
14163	das	0		
14164	man	0		
14165	in	0		
14166	den	0		
14167	puritanisch	0		
14168	quäckerischen	0		
14169	Landen	0		
14170	Sonntag	0		
14171	nennt	0		
14172	.	0		
14173	Die	0		
14174	Strömung	0		
14175	des	0		
14176	Flusses	0		
14177	war	0		
14178	die	0		
14179	einzige	0		
14180	Bewegung	0		
14181	in	0		
14182	diesem	0		
14183	Bilde	0		
14184	der	0		
14185	unheimlichsten	0		
14186	Ruhe	0		
14187	.	0		
14188	—	0		
14189	Der	0		
14190	Europäer	0	(mention_id=1481|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=1464|references=(entity=(entity_id=generic_0001|fullname=ein Europäer im Allgemeinen|gender=u|specialcase_entity=generic)))
14191	sann	0		
14192	darüber	0		
14193	nach	0		
14194	,	0		
14195	was	0		
14196	mit	0		
14197	einem	0		
14198	solchen	0		
14199	Tage	0		
14200	der	0		
14201	heiligen	0		
14202	Langeweile	0		
14203	anzufangen	0		
14204	sei	0		
14205	.	0		
14206	Sein	0	(mention_id=1482|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=1465|references=(entity=(entity_id=24|fullname=Moorfeld|gender=m)))
14207	Blick	0		
14208	fiel	0		
14209	auf	0		
14210	seine	0	(mention_id=1483|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=1466|references=(entity=(entity_id=24|fullname=Moorfeld|gender=m)))
14211	Koffer	0		
14212	,	0		
14213	welche	0		
14214	gestern	0		
14215	unberührt	0		
14216	stehen	0		
14217	geblieben	0		
14218	.	0		
14219	Damit	0		
14220	war	0		
14221	für's	0		
14222	Erste	0		
14223	gesorgt	0		
14224	.	0		
14225	Er	0	(mention_id=1484|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=1467|references=(entity=(entity_id=24|fullname=Moorfeld|gender=m)))
14226	stand	0		
14227	auf	0		
14228	und	0		
14229	fing	0		
14230	an	0		
14231	,	0		
14232	sie	0		
14233	auszupacken	0		
14234	.	0		
14235	Das	0		
14236	ist	0		
14237	eine	0		
14238	der	0		
14239	sinnigsten	0		
14240	Menschenarbeiten	0		
14241	und	0		
14242	jedenfalls	0		
14243	das	0		
14244	harmloseste	0		
14245	Sonntagsvergnügen	0		
14246	in	0		
14247	allen	0		
14248	fünf	0		
14249	Zonen	0		
14250	auf	0		
14251	beiden	0		
14252	Hemisphären	0		
14253	.	0		
14254	Die	0		
14255	Bagatells	0		
14256	,	0		
14257	welche	0		
14258	der	0		
14259	kurzsichtige	0		
14260	Sterbliche	0	(mention_id=1485|references=(entity=(entity_id=generic_2546|fullname=kurzsichtiger Sterblicher|gender=u|specialcase_entity=generic)))	(mention_id=1468|references=(entity=(entity_id=generic_0007|fullname=der sterbliche Mensch im Allgemeinen|gender=u|specialcase_entity=generic)))
14261	„	0		
14262	leblose	0		
14263	Dinge	0		
14264	”	0		
14265	nennt	0		
14266	,	0		
14267	sind	0		
14268	keineswegs	0		
14269	so	0		
14270	leblos	0		
14271	,	0		
14272	als	0		
14273	es	0		
14274	scheint	0		
14275	:	0		
14276	Stoff	0		
14277	,	0		
14278	Form	0		
14279	oder	0		
14280	Farbe	0		
14281	spricht	0		
14282	auf	0		
14283	irgend	0		
14284	eine	0		
14285	Weise	0		
14286	zu	0		
14287	irgend	0		
14288	einem	0		
14289	Sinne	0		
14290	und	0		
14291	ein	0		
14292	Widerschein	0		
14293	geschichtlicher	0		
14294	Erinnerungen	0		
14295	spielt	0		
14296	um	0		
14297	die	0		
14298	geringste	0		
14299	Einzelnheit	0		
14300	.	0		
14301	So	0		
14302	gehen	0		
14303	die	0		
14304	Gegenstände	0		
14305	mit	0		
14306	einer	0		
14307	sanften	0		
14308	träumerischen	0		
14309	Muße	0		
14310	durch	0		
14311	die	0		
14312	Hand	0		
14313	,	0		
14314	ja	0		
14315	,	0		
14316	es	0		
14317	bleibt	0		
14318	überhaupt	0		
14319	unentschieden	0		
14320	,	0		
14321	ob	0		
14322	die	0		
14323	Hand	0		
14324	oder	0		
14325	die	0		
14326	Phantasie	0		
14327	bei	0		
14328	einer	0		
14329	Arbeit	0		
14330	dieser	0		
14331	Art	0		
14332	vorherrscht	0		
14333	.	0		
14334	Leuchtet	0		
14335	dazu	0		
14336	ein	0		
14337	blauer	0		
14338	geräuschloser	0		
14339	Tag	0		
14340	zu	0		
14341	hellen	0		
14342	Fenstern	0		
14343	in	0		
14344	die	0		
14345	einsiedlerische	0		
14346	Stube	0		
14347	,	0		
14348	so	0		
14349	faßt	0		
14350	sich	0		
14351	das	0		
14352	Ganze	0		
14353	in	0		
14354	eine	0		
14355	gewisse	0		
14356	Stimmung	0		
14357	zusammen	0		
14358	,	0		
14359	welche	0		
14360	scheinbar	0		
14361	mit	0		
14362	Taschenspiegeln	0		
14363	und	0		
14364	Rasirmessern	0		
14365	nichts	0		
14366	zu	0		
14367	thun	0		
14368	hat	0		
14369	,	0		
14370	aber	0		
14371	nichts	0		
14372	desto	0		
14373	weniger	0		
14374	da	0		
14375	ist	0		
14376	,	0		
14377	und	0		
14378	recht	0		
14379	tief	0		
14380	und	0		
14381	lebendig	0		
14382	da	0		
14383	sein	0		
14384	kann	0		
14385	.	0		
14386	In	0		
14387	dieser	0		
14388	Stimmung	0		
14389	hatte	0		
14390	der	0		
14391	Freund	0	(mention_id=1486|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))	(mention_id=1469|references=(entity=(entity_id=24|fullname=Moorfeld|gender=m)))
