i	token	is_section_start	gold	pred
15132	Viertes	1		
15133	Buch	0		
15134	Erstes	0		
15135	Kapitel	0		
15136	Die	0		
15137	Freude	0		
15138	meiner	0	(mention_id=2379|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=2384|references=(entity=(entity_id=5|fullname=Gustav|gender=m)))
15139	Tante	0	(mention_id=2380|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))	(mention_id=2385|references=(entity=(entity_id=26|fullname=die Tante|gender=f)))
15140	,	0		
15141	mich	0	(mention_id=2381|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=2386|references=(entity=(entity_id=5|fullname=Gustav|gender=m)))
15142	nach	0		
15143	einem	0		
15144	Jahre	0		
15145	wieder	0		
15146	zu	0		
15147	umarmen	0		
15148	,	0		
15149	war	0		
15150	unbeschreiblich	0		
15151	.	0		
15152	Sie	0	(mention_id=2382|references=(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))	(mention_id=2387|references=(entity=(entity_id=26|fullname=die Tante|gender=f)))
15153	fand	0		
15154	mich	0	(mention_id=2383|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=2388|references=(entity=(entity_id=5|fullname=Gustav|gender=m)))
15155	größer	0		
15156	,	0		
15157	männlicher	0		
15158	,	0		
15159	und	0		
15160	wollte	0		
15161	einen	0		
15162	besondern	0		
15163	Zug	0		
15164	von	0		
15165	Erfahrung	0		
15166	in	0		
15167	meiner	0	(mention_id=2384|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=2389|references=(entity=(entity_id=5|fullname=Gustav|gender=m)))
15168	Phisiognomie	0		
15169	entdecken	0		
15170	.	0		
15171	Ich	0	(mention_id=2385|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=2390|references=(entity=(entity_id=5|fullname=Gustav|gender=m)))
15172	lächelte	0		
15173	schweigend	0		
15174	und	0		
15175	nahm	0		
15176	mir	0	(mention_id=2386|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))	(mention_id=2391|references=(entity=(entity_id=5|fullname=Gustav|gender=m)))
15177	die	0		
15178	neue	0		
